x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.345e-11,9.866e-13
43.9,0.0000,0.0000,1.262e-22,6.753e-24
46.4,0.7472,0.5185,1.689e-04,1.022e-05
48.8,0.0000,0.0000,8.506e-23,1.427e-23
49.9,4.0527,2.3390,2.867e-04,5.022e-05
50.8,8.3300,5.7327,1.049e-03,1.196e-04
57.5,51.8051,34.0035,6.853e-03,7.016e-04
65.9,127.2472,67.6607,1.096e-02,1.427e-03
71.9,192.2933,91.2725,1.248e-02,1.945e-03
77.9,264.1749,114.5531,1.352e-02,2.456e-03
86.4,374.9248,148.1430,1.405e-02,3.193e-03
89.9,422.5871,158.8952,1.494e-02,3.422e-03
92.2,454.0439,165.7276,1.535e-02,3.567e-03
100.8,577.3229,198.8485,1.418e-02,4.287e-03
106.6,661.6333,220.2088,1.343e-02,4.746e-03
113.9,770.1804,247.1177,1.237e-02,5.318e-03
121.0,875.2914,272.3874,1.140e-02,5.849e-03
126.7,960.7893,292.5993,1.068e-02,6.270e-03
135.3,1087.8973,321.7138,9.910e-03,6.867e-03
141.1,1171.3888,341.4136,9.407e-03,7.267e-03
146.9,1255.0701,356.9035,9.751e-03,7.572e-03
155.4,1373.5553,378.4292,9.667e-03,7.987e-03
161.1,1451.4031,396.1219,9.007e-03,8.329e-03
167.9,1540.7721,415.0315,8.855e-03,8.686e-03
175.4,1635.1943,435.2943,8.973e-03,9.062e-03
181.1,1703.4459,450.0721,9.223e-03,9.331e-03
189.7,1798.7946,470.9470,9.677e-03,9.704e-03
195.4,1856.7585,484.9247,1.000e-02,9.950e-03
203.9,1933.1973,500.4804,1.022e-02,1.021e-02
204.1,1934.4016,500.7400,1.022e-02,1.021e-02
209.9,1981.2629,510.4595,1.025e-02,1.034e-02
215.9,2032.6743,520.9190,1.035e-02,1.050e-02
223.8,2099.3099,533.7138,1.055e-02,1.069e-02
230.9,2159.7284,544.5718,1.074e-02,1.085e-02
238.0,2218.3776,554.8611,1.092e-02,1.100e-02
245.9,2283.0296,565.7459,1.109e-02,1.116e-02
251.9,2329.9869,573.5877,1.121e-02,1.127e-02
257.9,2376.2863,581.3724,1.133e-02,1.139e-02
260.9,2398.2740,584.3282,1.136e-02,1.143e-02
263.9,2420.4391,587.1009,1.139e-02,1.147e-02
269.9,2462.6671,594.0234,1.158e-02,1.157e-02
277.6,2514.4315,602.1959,1.184e-02,1.170e-02
284.9,2560.9132,609.7217,1.212e-02,1.182e-02
291.6,2601.1358,616.2864,1.235e-02,1.192e-02
299.9,2646.6421,623.9276,1.259e-02,1.205e-02
305.7,2676.3274,628.9638,1.272e-02,1.214e-02
311.9,2705.5390,634.3966,1.287e-02,1.224e-02
317.9,2731.6698,638.1581,1.282e-02,1.230e-02
319.8,2739.0940,639.1254,1.281e-02,1.232e-02
325.4,2760.7975,643.0763,1.300e-02,1.239e-02
333.8,2789.1710,648.3511,1.322e-02,1.249e-02
339.4,2805.4370,651.5369,1.332e-02,1.255e-02
347.8,2825.5765,655.7576,1.336e-02,1.264e-02
353.9,2837.1207,658.4087,1.331e-02,1.269e-02
359.9,2845.5899,660.6157,1.321e-02,1.273e-02
367.3,2852.1015,663.0546,1.300e-02,1.278e-02
