x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.003e-10,1.250e-11
43.9,0.0000,0.0000,1.053e-22,5.181e-24
46.4,0.6505,0.4415,1.427e-04,9.299e-06
48.8,0.0000,0.0000,1.643e-22,1.439e-23
49.9,3.5252,2.0679,2.311e-04,4.532e-05
50.8,7.3153,5.0482,8.693e-04,1.078e-04
57.5,45.3828,29.8757,5.713e-03,6.321e-04
65.9,111.4648,59.6210,9.023e-03,1.286e-03
71.9,168.3924,80.5749,1.016e-02,1.754e-03
77.9,231.3426,101.2629,1.089e-02,2.215e-03
86.4,328.2119,131.1752,1.110e-02,2.882e-03
89.9,369.9456,140.6961,1.182e-02,3.088e-03
92.2,397.3859,146.7524,1.215e-02,3.218e-03
100.8,505.2361,176.3288,1.095e-02,3.870e-03
106.6,578.8085,195.4071,1.022e-02,4.286e-03
113.9,673.6292,219.4604,9.261e-03,4.805e-03
121.0,765.1356,242.0627,8.480e-03,5.288e-03
126.7,839.6720,260.1548,7.999e-03,5.670e-03
135.3,949.8971,286.2291,7.693e-03,6.215e-03
141.1,1022.3663,303.9051,7.708e-03,6.581e-03
146.9,1094.4036,317.7471,8.012e-03,6.858e-03
155.4,1196.2517,337.1362,8.049e-03,7.238e-03
161.1,1262.3377,353.2020,7.973e-03,7.555e-03
167.9,1338.1939,370.3670,8.140e-03,7.887e-03
175.4,1416.5266,388.8115,8.454e-03,8.238e-03
181.1,1472.8353,402.2584,8.704e-03,8.491e-03
189.7,1548.1608,421.4862,9.036e-03,8.843e-03
195.4,1592.8048,433.8203,9.166e-03,9.073e-03
203.2,1641.7931,449.2802,9.321e-03,9.318e-03
203.9,1645.6151,450.2659,9.330e-03,9.329e-03
204.5,1648.9419,451.0100,9.337e-03,9.335e-03
204.6,1649.2402,451.1787,9.337e-03,9.337e-03
209.9,1678.6605,459.6637,9.294e-03,9.447e-03
215.9,1715.8840,469.2852,9.342e-03,9.606e-03
223.8,1766.5894,481.1731,9.510e-03,9.790e-03
230.9,1814.0562,491.2221,9.691e-03,9.947e-03
238.0,1861.4319,500.7351,9.871e-03,1.009e-02
245.9,1914.5064,510.7783,1.007e-02,1.025e-02
251.9,1953.7410,517.9956,1.022e-02,1.036e-02
257.9,1992.6232,525.1614,1.040e-02,1.047e-02
260.9,2011.3266,527.8253,1.048e-02,1.051e-02
263.9,2030.0910,530.3077,1.050e-02,1.054e-02
269.9,2066.2531,536.6179,1.048e-02,1.064e-02
277.6,2110.7725,544.0262,1.057e-02,1.076e-02
284.9,2151.0925,550.8287,1.073e-02,1.087e-02
291.6,2186.1364,556.7413,1.093e-02,1.097e-02
299.9,2226.0700,563.6011,1.119e-02,1.109e-02
305.7,2252.2225,568.1009,1.137e-02,1.117e-02
311.9,2278.1265,572.9678,1.160e-02,1.126e-02
317.9,2301.3697,576.2277,1.161e-02,1.131e-02
319.8,2308.0321,577.0542,1.158e-02,1.133e-02
325.4,2327.4492,580.5698,1.170e-02,1.139e-02
333.8,2353.0790,585.2405,1.187e-02,1.149e-02
339.4,2367.8790,588.0580,1.196e-02,1.154e-02
347.8,2386.4199,591.7828,1.203e-02,1.162e-02
353.9,2397.1995,594.1115,1.202e-02,1.166e-02
359.9,2405.2690,596.0721,1.198e-02,1.170e-02
367.3,2411.7405,598.0955,1.184e-02,1.175e-02
374.2,2414.1082,599.2932,1.178e-02,1.177e-02
374.9,2414.1467,599.2867,1.178e-02,1.177e-02
375.6,2414.1431,599.2035,1.178e-02,1.177e-02
381.2,2412.6676,598.0306,1.190e-02,1.174e-02
389.6,2405.8238,595.4181,1.219e-02,1.168e-02
395.1,2398.4170,593.3685,1.231e-02,1.164e-02
401.9,2386.3590,590.4997,1.240e-02,1.157e-02
409.0,2370.7001,587.0851,1.241e-02,1.150e-02
414.5,2356.1433,584.1329,1.234e-02,1.144e-02
422.8,2330.8942,579.2855,1.218e-02,1.134e-02
428.9,2309.5405,575.2862,1.197e-02,1.126e-02
431.9,2298.3524,573.3657,1.201e-02,1.122e-02
436.6,2279.8572,570.1107,1.204e-02,1.116e-02
443.9,2248.5076,564.2653,1.175e-02,1.105e-02
449.9,2220.5511,559.2413,1.153e-02,1.096e-02
455.9,2190.8531,554.0049,1.127e-02,1.086e-02
464.1,2147.1912,546.4373,1.091e-02,1.073e-02
469.6,2116.2950,541.1217,1.066e-02,1.064e-02
477.8,2067.2327,532.8480,1.035e-02,1.050e-02
483.3,2033.1344,526.8755,1.016e-02,1.040e-02
488.9,1996.9604,521.2233,1.010e-02,1.031e-02
497.0,1942.7875,512.1456,1.000e-02,1.017e-02
502.5,1904.7012,505.0429,9.835e-03,1.006e-02
509.9,1852.3261,495.2795,9.670e-03,9.904e-03
516.1,1807.1335,486.6125,9.527e-03,9.766e-03
521.9,1765.6854,478.2934,9.402e-03,9.634e-03
529.8,1708.7580,466.3733,9.244e-03,9.444e-03
536.9,1659.0962,454.9635,9.130e-03,9.260e-03
543.4,1615.0343,443.9996,9.073e-03,9.078e-03
545.2,1604.0686,440.9149,9.053e-03,9.039e-03
545.9,1599.8968,439.9710,9.043e-03,9.029e-03
546.6,1595.7075,438.9507,9.033e-03,9.019e-03
551.5,1562.4232,429.0819,8.976e-03,8.877e-03
556.9,1518.5297,417.2844,8.816e-03,8.656e-03
563.9,1456.1207,401.6781,8.567e-03,8.373e-03
570.5,1390.3517,386.3387,8.369e-03,8.087e-03
575.9,1332.5440,373.1339,8.323e-03,7.838e-03
583.9,1241.2227,352.8505,8.628e-03,7.449e-03
590.9,1158.5093,334.7395,9.273e-03,7.097e-03
597.4,1077.9069,316.4660,1.059e-02,6.732e-03
602.9,1008.5351,303.2492,1.069e-02,6.473e-03
608.9,931.2920,288.4073,1.054e-02,6.177e-03
616.2,835.3848,266.1562,1.209e-02,5.713e-03
623.9,733.1861,242.9802,1.364e-02,5.224e-03
629.6,656.9539,225.2107,1.503e-02,4.844e-03
635.9,573.3555,205.5055,1.661e-02,4.416e-03
643.0,480.1293,182.8934,1.850e-02,3.918e-03
648.4,411.2004,165.9221,1.982e-02,3.538e-03
656.4,311.9297,140.0203,2.229e-02,2.938e-03
659.9,269.8987,130.1450,2.185e-02,2.723e-03
662.9,235.6118,120.9912,2.028e-02,2.535e-03
669.7,162.2268,95.7107,1.739e-02,1.993e-03
677.7,87.7611,66.4202,1.358e-02,1.366e-03
683.9,41.6764,43.1314,9.810e-03,8.737e-04
690.9,8.2017,15.3476,3.708e-03,3.077e-04
695.3,0.0000,0.0000,3.372e-22,2.152e-23
696.4,0.1446,1.6956,5.145e-04,3.181e-05
700.3,0.1248,1.4162,4.316e-04,2.695e-05
704.9,0.1791,0.8168,3.130e-04,1.792e-05
705.5,0.1693,0.7765,3.274e-04,1.815e-05
711.6,0.0000,0.0000,3.361e-22,3.223e-23
716.9,0.8429,5.1450,4.165e-04,1.583e-04
722.2,0.0000,0.0000,3.777e-15,1.574e-16
725.0,9.8868,19.1574,3.812e-03,7.207e-04
733.5,107.3483,106.1084,2.691e-02,4.067e-03
742.0,282.0753,191.9018,4.343e-02,7.254e-03
750.5,511.3554,277.8864,5.872e-02,1.040e-02
759.0,779.4303,363.1651,7.235e-02,1.347e-02
