x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,6.863e-11,2.861e-12
43.9,0.0000,0.0000,2.541e-23,1.219e-24
46.4,0.1499,0.1236,3.298e-05,3.289e-06
48.8,0.0000,0.0000,4.656e-23,3.505e-24
49.9,0.8110,0.5908,5.472e-05,1.607e-05
50.8,1.6829,1.4306,2.023e-04,3.827e-05
57.5,10.4406,8.4468,1.326e-03,2.246e-04
65.9,25.6418,16.9673,2.106e-03,4.569e-04
71.9,38.7359,23.0011,2.387e-03,6.229e-04
77.9,53.2137,28.9567,2.578e-03,7.865e-04
86.4,75.4891,37.5651,2.674e-03,1.023e-03
89.9,85.0844,40.2886,2.849e-03,1.096e-03
92.2,91.3930,42.0223,2.930e-03,1.143e-03
100.8,116.1838,50.5199,2.728e-03,1.374e-03
106.6,133.0917,55.9832,2.620e-03,1.521e-03
113.9,154.8771,62.8528,2.491e-03,1.705e-03
121.0,175.8951,69.2888,2.414e-03,1.876e-03
126.7,193.0099,74.4260,2.391e-03,2.011e-03
135.3,218.3106,81.8074,2.438e-03,2.204e-03
141.1,234.9378,86.7935,2.513e-03,2.333e-03
146.9,251.4605,90.6877,2.616e-03,2.432e-03
155.4,274.8094,96.1179,2.686e-03,2.566e-03
161.1,289.9529,100.6039,2.732e-03,2.678e-03
167.9,307.3263,105.3764,2.820e-03,2.795e-03
175.4,325.2572,110.4830,2.937e-03,2.918e-03
181.1,338.1383,114.1897,3.026e-03,3.006e-03
189.7,355.3577,119.4612,3.150e-03,3.129e-03
195.4,365.5533,122.8315,3.221e-03,3.208e-03
203.2,376.7277,126.9835,3.294e-03,3.292e-03
203.9,377.5986,127.2431,3.297e-03,3.296e-03
204.5,378.3564,127.4346,3.300e-03,3.298e-03
204.6,378.4243,127.4773,3.300e-03,3.299e-03
209.9,385.1202,129.6880,3.309e-03,3.335e-03
215.9,393.5820,132.2344,3.343e-03,3.388e-03
223.8,405.0943,135.3549,3.402e-03,3.449e-03
230.9,415.8617,137.9856,3.458e-03,3.499e-03
238.0,426.5997,140.4676,3.515e-03,3.546e-03
245.9,438.6229,143.0813,3.576e-03,3.595e-03
251.9,447.5061,144.9569,3.624e-03,3.630e-03
257.9,456.3075,146.8177,3.676e-03,3.664e-03
260.9,460.5397,147.5067,3.699e-03,3.676e-03
263.9,464.7859,148.1526,3.705e-03,3.687e-03
269.9,472.9670,149.8081,3.709e-03,3.718e-03
277.6,483.0376,151.7510,3.734e-03,3.753e-03
284.9,492.1575,153.5382,3.772e-03,3.787e-03
291.6,500.0842,155.0937,3.815e-03,3.817e-03
299.9,509.1182,156.9021,3.873e-03,3.852e-03
305.7,515.0359,158.0907,3.914e-03,3.875e-03
311.9,520.8989,159.3785,3.969e-03,3.902e-03
317.9,526.1614,160.2358,3.982e-03,3.918e-03
319.8,527.6704,160.4544,3.979e-03,3.922e-03
325.4,532.0688,161.3995,3.996e-03,3.942e-03
333.8,537.8785,162.6562,4.024e-03,3.968e-03
339.4,541.2355,163.4147,4.041e-03,3.984e-03
347.8,545.4451,164.4167,4.057e-03,4.006e-03
353.9,547.8951,165.0417,4.062e-03,4.020e-03
359.9,549.7313,165.5665,4.062e-03,4.032e-03
367.3,551.2058,166.1007,4.054e-03,4.044e-03
374.2,551.7468,166.4162,4.055e-03,4.051e-03
374.9,551.7558,166.4140,4.054e-03,4.051e-03
375.6,551.7550,166.3912,4.054e-03,4.050e-03
381.2,551.4192,166.0698,4.065e-03,4.042e-03
389.6,549.8617,165.3555,4.097e-03,4.023e-03
395.1,548.1774,164.7929,4.109e-03,4.009e-03
401.9,545.4380,164.0062,4.114e-03,3.990e-03
409.0,541.8832,163.0710,4.107e-03,3.967e-03
414.5,538.5811,162.2636,4.091e-03,3.948e-03
422.8,532.8571,160.9419,4.058e-03,3.918e-03
428.9,528.0191,159.8530,4.022e-03,3.894e-03
431.9,525.4848,159.3345,4.025e-03,3.883e-03
436.6,521.2965,158.4630,4.019e-03,3.864e-03
443.9,514.1991,156.9009,3.944e-03,3.830e-03
449.9,507.8714,155.5600,3.888e-03,3.802e-03
455.9,501.1504,154.1654,3.828e-03,3.773e-03
464.1,491.2703,152.1538,3.748e-03,3.732e-03
469.6,484.2789,150.7433,3.696e-03,3.704e-03
477.8,473.1757,148.5524,3.630e-03,3.661e-03
483.3,465.4578,146.9701,3.589e-03,3.630e-03
488.9,457.2682,145.4782,3.569e-03,3.602e-03
497.0,445.0001,143.0937,3.522e-03,3.557e-03
502.5,436.3715,141.2311,3.469e-03,3.521e-03
509.9,424.5010,138.6633,3.412e-03,3.471e-03
516.1,414.2523,136.3792,3.364e-03,3.426e-03
521.9,404.8481,134.1812,3.322e-03,3.383e-03
529.8,391.9212,131.0218,3.269e-03,3.320e-03
536.9,380.6328,127.9868,3.227e-03,3.259e-03
543.4,370.6044,125.0539,3.196e-03,3.198e-03
545.2,368.1063,124.2432,3.188e-03,3.185e-03
545.9,367.1556,123.9974,3.185e-03,3.181e-03
546.6,366.2007,123.7314,3.181e-03,3.178e-03
551.5,358.6081,121.0981,3.147e-03,3.129e-03
556.9,348.5852,117.8659,3.080e-03,3.053e-03
563.9,334.3205,113.5886,2.991e-03,2.955e-03
570.5,319.2766,109.3609,2.910e-03,2.855e-03
575.9,306.0450,105.7077,2.860e-03,2.768e-03
583.9,285.1310,100.0716,2.845e-03,2.632e-03
590.9,266.1762,95.0174,2.898e-03,2.508e-03
597.4,247.6965,89.8891,3.081e-03,2.380e-03
602.9,231.7846,86.1871,3.067e-03,2.288e-03
608.9,214.0611,82.0201,2.996e-03,2.183e-03
616.2,192.0454,75.7229,3.227e-03,2.020e-03
623.9,168.5763,69.1410,3.481e-03,1.848e-03
629.6,151.0640,64.0728,3.734e-03,1.714e-03
635.9,131.8547,58.4303,4.037e-03,1.563e-03
643.0,110.4273,51.9217,4.417e-03,1.386e-03
648.4,94.5811,47.0140,4.688e-03,1.252e-03
656.4,71.7548,39.4448,5.214e-03,1.040e-03
659.9,62.0890,36.6111,5.104e-03,9.639e-04
662.9,54.2032,34.0466,4.741e-03,8.976e-04
669.7,37.3235,26.8793,4.054e-03,7.059e-04
677.7,20.1927,18.5798,3.157e-03,4.841e-04
683.9,9.5898,12.0075,2.276e-03,3.097e-04
690.9,1.8874,4.2590,8.593e-04,1.091e-04
695.3,0.0000,0.0000,1.017e-22,5.969e-24
696.4,0.0333,0.4616,1.189e-04,1.129e-05
700.3,0.0296,0.3858,9.987e-05,9.487e-06
704.9,0.0428,0.2180,7.362e-05,5.637e-06
705.5,0.0405,0.2049,7.739e-05,5.440e-06
711.6,0.0000,0.0000,8.088e-23,7.740e-24
716.9,0.2017,1.2574,9.944e-05,3.861e-05
722.2,0.0000,0.0000,9.917e-16,4.145e-17
725.0,2.3654,4.6880,9.155e-04,1.754e-04
733.5,25.6808,25.9520,6.457e-03,9.893e-04
742.0,67.4800,46.9470,1.042e-02,1.765e-03
750.5,122.3295,67.9826,1.410e-02,2.531e-03
759.0,186.4597,88.8362,1.737e-02,3.277e-03
767.5,257.2501,109.5986,2.050e-02,4.010e-03
768.9,269.2891,112.2016,2.096e-02,4.103e-03
774.9,322.1349,123.7912,2.082e-02,4.485e-03
783.9,404.3500,146.2201,1.853e-02,5.179e-03
