x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,8.223e-11,3.429e-12
43.9,0.0000,0.0000,3.043e-23,1.457e-24
46.4,0.1797,0.1458,3.955e-05,3.791e-06
48.8,0.0000,0.0000,5.487e-23,4.193e-24
49.9,0.9728,0.6960,6.547e-05,1.850e-05
50.8,2.0185,1.6861,2.425e-04,4.404e-05
57.5,12.5227,9.9566,1.590e-03,2.585e-04
65.9,30.7549,19.9928,2.523e-03,5.257e-04
71.9,46.4596,27.0983,2.859e-03,7.167e-04
77.9,63.8235,34.1124,3.085e-03,9.049e-04
86.4,90.5386,44.2519,3.194e-03,1.177e-03
89.9,102.0459,47.4610,3.403e-03,1.261e-03
92.2,109.6116,49.5037,3.500e-03,1.314e-03
100.8,139.3409,59.5159,3.246e-03,1.580e-03
106.6,159.6163,65.9550,3.107e-03,1.749e-03
113.9,185.7390,74.0539,2.939e-03,1.961e-03
121.0,210.9402,81.6439,2.831e-03,2.157e-03
126.7,231.4600,87.7041,2.791e-03,2.312e-03
135.3,261.7923,96.4144,2.832e-03,2.534e-03
141.1,281.7244,102.3007,2.911e-03,2.682e-03
146.9,301.5301,106.8985,3.030e-03,2.795e-03
155.4,329.5157,113.3130,3.104e-03,2.950e-03
161.1,347.6649,118.6148,3.149e-03,3.077e-03
167.9,368.4845,124.2573,3.246e-03,3.211e-03
175.4,389.9701,130.2977,3.378e-03,3.352e-03
181.1,405.4030,134.6841,3.480e-03,3.453e-03
189.7,426.0310,140.9259,3.620e-03,3.593e-03
195.4,438.2427,144.9167,3.700e-03,3.684e-03
203.2,451.6238,149.8463,3.782e-03,3.780e-03
203.9,452.6665,150.1556,3.786e-03,3.785e-03
204.5,453.5738,150.3847,3.788e-03,3.787e-03
204.6,453.6551,150.4359,3.789e-03,3.788e-03
209.9,461.6705,153.0706,3.797e-03,3.829e-03
215.9,471.7973,156.0950,3.834e-03,3.889e-03
