x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.617e-10,1.090e-11
43.9,0.0000,0.0000,9.218e-23,4.519e-24
46.4,0.5677,0.3923,1.246e-04,8.476e-06
48.8,0.0000,0.0000,1.458e-22,1.259e-23
49.9,3.0760,1.8345,2.021e-04,4.116e-05
50.8,6.3830,4.4762,7.593e-04,9.793e-05
57.5,39.5992,26.4895,4.989e-03,5.745e-04
65.9,97.2586,52.8865,7.883e-03,1.169e-03
71.9,146.9296,71.4841,8.884e-03,1.593e-03
77.9,201.8541,89.8411,9.525e-03,2.012e-03
86.4,286.3708,116.3742,9.724e-03,2.616e-03
89.9,322.7816,124.8140,1.035e-02,2.803e-03
92.2,346.7217,130.1811,1.064e-02,2.922e-03
100.8,440.8116,156.3902,9.613e-03,3.513e-03
106.6,504.9944,173.2850,8.991e-03,3.889e-03
113.9,587.7094,194.5713,8.175e-03,4.359e-03
121.0,667.5288,214.5586,7.521e-03,4.795e-03
126.7,732.5414,230.5455,7.125e-03,5.141e-03
135.3,828.6762,253.5667,6.891e-03,5.632e-03
141.1,891.8760,269.1568,6.922e-03,5.962e-03
146.9,954.6953,281.3566,7.196e-03,6.212e-03
155.4,1043.5022,298.4208,7.242e-03,6.553e-03
161.1,1101.1212,312.5465,7.189e-03,6.838e-03
167.9,1167.2518,327.6197,7.345e-03,7.135e-03
175.4,1235.5344,343.7961,7.626e-03,7.449e-03
181.1,1284.6125,355.5738,7.850e-03,7.674e-03
189.7,1350.2566,372.3902,8.146e-03,7.988e-03
195.4,1389.1553,383.1613,8.269e-03,8.192e-03
203.2,1431.8295,396.6305,8.411e-03,8.408e-03
203.9,1435.1581,397.4870,8.419e-03,8.418e-03
204.5,1438.0555,398.1314,8.425e-03,8.424e-03
204.6,1438.3153,398.2772,8.425e-03,8.425e-03
209.9,1463.9330,405.6148,8.390e-03,8.520e-03
215.9,1496.3378,413.9302,8.432e-03,8.659e-03
223.8,1540.4685,424.1836,8.576e-03,8.817e-03
230.9,1581.7734,432.8362,8.732e-03,8.951e-03
238.0,1622.9929,441.0136,8.886e-03,9.076e-03
245.9,1669.1661,449.6344,9.054e-03,9.208e-03
251.9,1703.2957,455.8237,9.187e-03,9.302e-03
257.9,1737.1175,461.9648,9.337e-03,9.397e-03
260.9,1753.3857,464.2455,9.412e-03,9.428e-03
263.9,1769.7072,466.3680,9.426e-03,9.457e-03
269.9,1801.1600,471.7671,9.405e-03,9.542e-03
277.6,1839.8814,478.1036,9.479e-03,9.643e-03
284.9,1874.9501,483.9230,9.620e-03,9.738e-03
291.6,1905.4303,488.9824,9.785e-03,9.823e-03
299.9,1940.1648,494.8559,1.001e-02,9.924e-03
305.7,1962.9137,498.7120,1.016e-02,9.991e-03
311.9,1985.4476,502.8870,1.037e-02,1.007e-02
317.9,2005.6685,505.6797,1.037e-02,1.011e-02
319.8,2011.4650,506.3862,1.035e-02,1.012e-02
325.4,2028.3590,509.4040,1.045e-02,1.018e-02
333.8,2050.6615,513.4171,1.059e-02,1.026e-02
339.4,2063.5419,515.8409,1.066e-02,1.031e-02
347.8,2079.6810,519.0493,1.072e-02,1.037e-02
353.9,2089.0661,521.0580,1.072e-02,1.041e-02
359.9,2096.0932,522.7520,1.068e-02,1.045e-02
367.3,2101.7300,524.5037,1.056e-02,1.048e-02
374.2,2103.7933,525.5429,1.052e-02,1.051e-02
374.9,2103.8270,525.5367,1.052e-02,1.050e-02
375.6,2103.8238,525.4631,1.051e-02,1.050e-02
381.2,2102.5389,524.4271,1.061e-02,1.048e-02
389.6,2096.5792,522.1344,1.086e-02,1.043e-02
395.1,2090.1300,520.3431,1.097e-02,1.039e-02
401.9,2079.6329,517.8433,1.104e-02,1.033e-02
409.0,2066.0030,514.8756,1.104e-02,1.027e-02
414.5,2053.3344,512.3151,1.099e-02,1.021e-02
422.8,2031.3630,508.1196,1.085e-02,1.013e-02
428.9,2012.7836,504.6647,1.067e-02,1.006e-02
431.9,2003.0495,503.0042,1.070e-02,1.003e-02
436.6,1986.9589,500.1900,1.073e-02,9.974e-03
443.9,1959.6867,495.1513,1.048e-02,9.878e-03
449.9,1935.3677,490.8235,1.028e-02,9.798e-03
455.9,1909.5346,486.3180,1.006e-02,9.717e-03
464.1,1871.5560,479.8118,9.746e-03,9.603e-03
469.6,1844.6818,475.2450,9.538e-03,9.524e-03
477.8,1802.0058,468.1398,9.273e-03,9.406e-03
483.3,1772.3455,463.0121,9.110e-03,9.320e-03
488.9,1740.8785,458.1508,9.062e-03,9.245e-03
497.0,1693.7523,450.3336,8.974e-03,9.124e-03
502.5,1660.6179,444.2260,8.828e-03,9.027e-03
509.9,1615.0492,435.8194,8.686e-03,8.894e-03
516.1,1575.7254,428.3510,8.562e-03,8.776e-03
521.9,1539.6564,421.1748,8.455e-03,8.663e-03
529.8,1490.1093,410.8799,8.321e-03,8.498e-03
536.9,1446.8775,401.0104,8.223e-03,8.338e-03
543.4,1408.5108,391.5108,8.175e-03,8.180e-03
545.2,1398.9606,388.8380,8.158e-03,8.146e-03
545.9,1395.3271,388.0196,8.149e-03,8.137e-03
546.6,1391.6783,387.1332,8.140e-03,8.128e-03
551.5,1362.6837,378.5377,8.087e-03,8.002e-03
556.9,1324.4399,368.2366,7.943e-03,7.807e-03
563.9,1270.0536,354.5963,7.721e-03,7.555e-03
570.5,1212.7310,341.1709,7.544e-03,7.301e-03
575.9,1162.3408,329.6009,7.497e-03,7.079e-03
583.9,1082.7287,311.8070,7.744e-03,6.731e-03
590.9,1010.6118,295.8996,8.284e-03,6.416e-03
597.4,940.3291,279.8276,9.403e-03,6.089e-03
602.9,879.8336,268.2007,9.481e-03,5.856e-03
608.9,812.4695,255.1309,9.346e-03,5.589e-03
616.2,728.8211,235.5079,1.067e-02,5.171e-03
623.9,639.6783,215.0506,1.199e-02,4.731e-03
629.6,573.1801,199.3518,1.319e-02,4.387e-03
635.9,500.2527,181.9293,1.455e-02,4.001e-03
643.0,418.9219,161.9191,1.619e-02,3.550e-03
648.4,358.7857,146.8891,1.734e-02,3.207e-03
656.4,272.1742,123.9204,1.948e-02,2.664e-03
659.9,235.5022,115.1767,1.909e-02,2.469e-03
662.9,205.5862,107.0855,1.773e-02,2.299e-03
669.7,141.5553,84.7078,1.519e-02,1.808e-03
677.7,76.5794,58.7759,1.186e-02,1.240e-03
683.9,36.3668,38.1577,8.568e-03,7.931e-04
690.9,7.1569,13.5755,3.238e-03,2.793e-04
695.3,0.0000,0.0000,3.002e-22,1.910e-23
696.4,0.1262,1.4976,4.492e-04,2.889e-05
700.3,0.1096,1.2510,3.769e-04,2.445e-05
704.9,0.1575,0.7209,2.743e-04,1.607e-05
705.5,0.1489,0.6850,2.873e-04,1.620e-05
711.6,0.0000,0.0000,2.959e-22,2.837e-23
716.9,0.7415,4.5286,3.662e-04,1.391e-04
722.2,0.0000,0.0000,3.300e-15,1.376e-16
725.0,8.6973,16.8605,3.354e-03,6.335e-04
733.5,94.4324,93.3802,2.368e-02,3.575e-03
742.0,248.1367,168.8849,3.821e-02,6.377e-03
750.5,449.8309,244.5551,5.166e-02,9.143e-03
759.0,685.6532,319.6003,6.365e-02,1.184e-02
767.5,945.9684,394.3741,7.507e-02,1.449e-02
768.9,990.2391,403.7500,7.675e-02,1.483e-02
774.9,1184.5669,445.5168,7.624e-02,1.621e-02
783.9,1486.8950,526.4870,6.775e-02,1.873e-02
792.9,1798.8337,603.1083,6.114e-02,2.106e-02
801.7,2106.2041,677.6538,5.465e-02,2.328e-02
810.2,2409.7143,747.8642,4.931e-02,2.536e-02
818.8,2711.9955,819.8860,4.374e-02,2.743e-02
825.9,2962.0211,865.6255,4.312e-02,2.882e-02
833.1,3209.6835,910.8825,4.246e-02,3.018e-02
841.7,3502.1084,978.9179,3.841e-02,3.209e-02
850.3,3783.1403,1040.8445,3.655e-02,3.384e-02
858.9,4052.5051,1101.1808,3.575e-02,3.554e-02
867.5,4300.3088,1158.2216,3.618e-02,3.714e-02
876.1,4524.1024,1213.0125,3.811e-02,3.874e-02
882.2,4657.8045,1246.9524,3.959e-02,3.957e-02
882.4,4660.0163,1247.7321,3.960e-02,3.958e-02
882.9,4671.4976,1249.8347,3.964e-02,3.962e-02
883.6,4686.3259,1252.5866,3.968e-02,3.967e-02
884.7,4706.8637,1257.8812,3.979e-02,3.978e-02
893.4,4912.1118,1304.6874,4.162e-02,4.099e-02
902.0,5141.6762,1350.6827,4.311e-02,4.215e-02
910.7,5391.0940,1395.5614,4.428e-02,4.326e-02
919.3,5653.0094,1439.2252,4.533e-02,4.431e-02
928.0,5924.6609,1481.2597,4.640e-02,4.531e-02
936.9,6208.9267,1523.6846,4.759e-02,4.629e-02
939.9,6306.0525,1535.0889,4.813e-02,4.657e-02
945.4,6482.5722,1556.2952,4.793e-02,4.704e-02
954.1,6765.5145,1596.8629,4.625e-02,4.785e-02
962.8,7049.1491,1634.1110,4.547e-02,4.858e-02
971.5,7332.0016,1670.1378,4.521e-02,4.926e-02
980.2,7613.3627,1703.9856,4.554e-02,4.988e-02
988.9,7891.2372,1737.3943,4.649e-02,5.045e-02
