x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,9.267e-11,3.864e-12
43.9,0.0000,0.0000,3.431e-23,1.645e-24
46.4,0.2023,0.1667,4.453e-05,4.429e-06
48.8,0.0000,0.0000,6.279e-23,4.732e-24
49.9,1.0952,0.7968,7.387e-05,2.164e-05
50.8,2.2725,1.9294,2.731e-04,5.153e-05
57.5,14.0983,11.3918,1.790e-03,3.025e-04
65.9,34.6250,22.8824,2.843e-03,6.152e-04
71.9,52.3064,31.0193,3.223e-03,8.387e-04
77.9,71.8562,39.0508,3.481e-03,1.059e-03
86.4,101.9353,50.6599,3.610e-03,1.377e-03
89.9,114.8920,54.3330,3.845e-03,1.476e-03
92.2,123.4108,56.6710,3.956e-03,1.539e-03
100.8,156.8862,68.1310,3.682e-03,1.850e-03
106.6,179.7173,75.4991,3.535e-03,2.048e-03
113.9,209.1344,84.7639,3.360e-03,2.296e-03
121.0,237.5151,93.4441,3.254e-03,2.526e-03
126.7,260.6252,100.3728,3.222e-03,2.708e-03
135.3,294.7887,110.3285,3.284e-03,2.967e-03
141.1,317.2402,117.0538,3.385e-03,3.141e-03
146.9,339.5506,122.3064,3.523e-03,3.274e-03
155.4,371.0780,129.6309,3.618e-03,3.455e-03
161.1,391.5258,135.6823,3.678e-03,3.606e-03
167.9,414.9844,142.1201,3.797e-03,3.763e-03
175.4,439.1956,149.0089,3.954e-03,3.928e-03
181.1,456.5882,154.0094,4.075e-03,4.047e-03
189.7,479.8383,161.1212,4.240e-03,4.212e-03
195.4,493.6046,165.6681,4.337e-03,4.319e-03
203.2,508.6922,171.2707,4.435e-03,4.432e-03
203.9,509.8680,171.6210,4.439e-03,4.438e-03
204.5,510.8912,171.8796,4.442e-03,4.441e-03
204.6,510.9829,171.9373,4.442e-03,4.441e-03
209.9,520.0235,174.9211,4.455e-03,4.490e-03
215.9,531.4481,178.3572,4.501e-03,4.562e-03
223.8,546.9912,182.5685,4.579e-03,4.643e-03
230.9,561.5283,186.1189,4.656e-03,4.711e-03
238.0,576.0258,189.4684,4.731e-03,4.774e-03
245.9,592.2581,192.9959,4.814e-03,4.839e-03
251.9,604.2513,195.5272,4.878e-03,4.886e-03
257.9,616.1338,198.0385,4.949e-03,4.933e-03
260.9,621.8477,198.9684,4.979e-03,4.949e-03
263.9,627.5804,199.8400,4.987e-03,4.964e-03
269.9,638.6256,202.0741,4.993e-03,5.005e-03
277.6,652.2217,204.6960,5.026e-03,5.053e-03
284.9,664.5344,207.1076,5.078e-03,5.098e-03
291.6,675.2362,209.2064,5.135e-03,5.138e-03
299.9,687.4330,211.6466,5.214e-03,5.185e-03
305.7,695.4224,213.2504,5.269e-03,5.217e-03
311.9,703.3381,214.9880,5.343e-03,5.252e-03
317.9,710.4432,216.1446,5.361e-03,5.274e-03
319.8,712.4806,216.4396,5.356e-03,5.279e-03
325.4,718.4190,217.7146,5.380e-03,5.306e-03
333.8,726.2628,219.4099,5.417e-03,5.341e-03
339.4,730.7954,220.4331,5.440e-03,5.363e-03
347.8,736.4791,221.7849,5.462e-03,5.393e-03
353.9,739.7870,222.6280,5.469e-03,5.412e-03
359.9,742.2662,223.3359,5.469e-03,5.427e-03
367.3,744.2572,224.0567,5.458e-03,5.444e-03
374.2,744.9877,224.4823,5.458e-03,5.453e-03
374.9,744.9998,224.4795,5.458e-03,5.453e-03
375.6,744.9987,224.4486,5.457e-03,5.452e-03
381.2,744.5453,224.0151,5.473e-03,5.441e-03
389.6,742.4424,223.0516,5.515e-03,5.416e-03
395.1,740.1682,222.2928,5.532e-03,5.397e-03
401.9,736.4695,221.2317,5.539e-03,5.371e-03
409.0,731.6699,219.9702,5.529e-03,5.341e-03
414.5,727.2117,218.8811,5.508e-03,5.315e-03
422.8,719.4834,217.0983,5.464e-03,5.274e-03
428.9,712.9515,215.6294,5.415e-03,5.242e-03
431.9,709.5299,214.9300,5.419e-03,5.227e-03
436.6,703.8751,213.7542,5.411e-03,5.201e-03
443.9,694.2928,211.6466,5.310e-03,5.156e-03
449.9,685.7497,209.8375,5.235e-03,5.118e-03
455.9,676.6758,207.9559,5.154e-03,5.079e-03
464.1,663.3366,205.2418,5.045e-03,5.024e-03
469.6,653.8976,203.3386,4.976e-03,4.986e-03
477.8,638.9073,200.3822,4.886e-03,4.928e-03
483.3,628.4875,198.2472,4.831e-03,4.887e-03
488.9,617.4307,196.2340,4.805e-03,4.849e-03
497.0,600.8678,193.0163,4.741e-03,4.788e-03
502.5,589.2183,190.5026,4.670e-03,4.739e-03
509.9,573.1920,187.0375,4.593e-03,4.672e-03
516.1,559.3551,183.9551,4.528e-03,4.612e-03
521.9,546.6584,180.9890,4.472e-03,4.554e-03
529.8,529.2054,176.7256,4.401e-03,4.470e-03
536.9,513.9645,172.6302,4.344e-03,4.388e-03
543.4,500.4245,168.6727,4.302e-03,4.306e-03
545.2,497.0517,167.5786,4.292e-03,4.288e-03
545.9,495.7680,167.2468,4.287e-03,4.283e-03
546.6,494.4787,166.8876,4.283e-03,4.278e-03
551.5,484.2272,163.3340,4.236e-03,4.212e-03
556.9,470.6942,158.9736,4.147e-03,4.110e-03
563.9,451.4337,153.2031,4.027e-03,3.978e-03
570.5,431.1207,147.4997,3.918e-03,3.844e-03
575.9,413.2549,142.5715,3.851e-03,3.727e-03
583.9,385.0155,134.9686,3.831e-03,3.543e-03
590.9,359.4214,128.1509,3.905e-03,3.377e-03
597.4,334.4687,121.2335,4.154e-03,3.204e-03
602.9,312.9831,116.2400,4.135e-03,3.081e-03
608.9,289.0512,110.6194,4.039e-03,2.940e-03
616.2,259.3235,102.1258,4.352e-03,2.720e-03
623.9,227.6330,93.2485,4.697e-03,2.488e-03
629.6,203.9859,86.4130,5.039e-03,2.307e-03
635.9,178.0475,78.8030,5.449e-03,2.104e-03
643.0,149.1135,70.0254,5.963e-03,1.867e-03
648.4,127.7161,63.4069,6.330e-03,1.686e-03
656.4,96.8931,53.1996,7.040e-03,1.401e-03
