x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.623e-10,1.507e-11
43.9,0.0000,0.0000,1.264e-22,6.243e-24
46.4,0.7832,0.5187,1.717e-04,1.054e-05
48.8,0.0000,0.0000,1.933e-22,1.726e-23
49.9,4.2448,2.4346,2.774e-04,5.164e-05
50.8,8.8088,5.9479,1.045e-03,1.227e-04
57.5,54.6478,35.2029,6.872e-03,7.194e-04
65.9,134.2227,70.2088,1.085e-02,1.464e-03
71.9,202.7759,94.8632,1.221e-02,1.998e-03
77.9,278.5842,119.2135,1.307e-02,2.524e-03
86.4,395.2447,154.4371,1.331e-02,3.285e-03
89.9,445.5073,165.6591,1.417e-02,3.520e-03
92.2,478.5559,172.8000,1.456e-02,3.669e-03
100.8,608.4556,207.6760,1.308e-02,4.415e-03
106.6,697.0751,230.1942,1.218e-02,4.890e-03
113.9,811.2973,258.6105,1.098e-02,5.485e-03
121.0,921.5359,285.3399,9.992e-03,6.039e-03
126.7,1011.3388,306.7580,9.370e-03,6.478e-03
135.3,1144.1531,337.6610,8.942e-03,7.105e-03
141.1,1231.4847,358.6401,8.925e-03,7.526e-03
146.9,1318.3038,375.0854,9.276e-03,7.846e-03
155.4,1441.0676,398.1660,9.295e-03,8.285e-03
161.1,1520.7353,417.3161,9.179e-03,8.653e-03
167.9,1612.1945,437.8110,9.364e-03,9.038e-03
175.4,1706.6536,459.8717,9.730e-03,9.448e-03
181.1,1774.5670,475.9836,1.002e-02,9.743e-03
189.7,1865.4337,499.0678,1.041e-02,1.016e-02
195.4,1919.3034,513.9057,1.055e-02,1.043e-02
203.2,1978.4346,532.5618,1.072e-02,1.072e-02
203.9,1983.0493,533.7554,1.073e-02,1.073e-02
204.5,1987.0664,534.6605,1.074e-02,1.074e-02
204.6,1987.4266,534.8663,1.074e-02,1.074e-02
209.9,2022.9591,545.2071,1.068e-02,1.087e-02
215.9,2067.9315,556.9426,1.074e-02,1.107e-02
223.8,2129.2134,571.4800,1.095e-02,1.129e-02
230.9,2186.5955,583.7964,1.117e-02,1.148e-02
238.0,2243.8795,595.4808,1.139e-02,1.167e-02
245.9,2308.0635,607.8392,1.163e-02,1.186e-02
251.9,2355.5170,616.7310,1.182e-02,1.199e-02
257.9,2402.5470,625.5672,1.203e-02,1.213e-02
260.9,2425.1715,628.8562,1.214e-02,1.218e-02
263.9,2447.8695,631.9263,1.216e-02,1.222e-02
269.9,2491.6147,639.7236,1.214e-02,1.235e-02
277.6,2545.4707,648.8819,1.225e-02,1.250e-02
284.9,2594.2470,657.2898,1.246e-02,1.264e-02
291.6,2636.6394,664.5955,1.270e-02,1.277e-02
299.9,2684.9442,673.0653,1.303e-02,1.291e-02
305.7,2716.5767,678.6152,1.325e-02,1.301e-02
311.9,2747.9057,684.6101,1.354e-02,1.312e-02
317.9,2776.0139,688.6329,1.353e-02,1.319e-02
319.8,2784.0697,689.6556,1.351e-02,1.320e-02
325.4,2807.5474,693.9824,1.366e-02,1.329e-02
333.8,2838.5309,699.7245,1.387e-02,1.340e-02
339.4,2856.4189,703.1827,1.399e-02,1.347e-02
347.8,2878.8222,707.7473,1.407e-02,1.356e-02
353.9,2891.8438,710.5959,1.407e-02,1.361e-02
359.9,2901.5884,712.9889,1.401e-02,1.366e-02
367.3,2909.4006,715.4522,1.383e-02,1.371e-02
374.2,2912.2570,716.9059,1.376e-02,1.374e-02
374.9,2912.3034,716.8991,1.375e-02,1.374e-02
375.6,2912.2989,716.8009,1.375e-02,1.374e-02
381.2,2910.5170,715.4110,1.390e-02,1.371e-02
389.6,2902.2526,712.2879,1.427e-02,1.364e-02
395.1,2893.3066,709.8240,1.443e-02,1.359e-02
401.9,2878.7389,706.3616,1.454e-02,1.351e-02
409.0,2859.8167,702.2265,1.455e-02,1.343e-02
414.5,2842.2225,698.6413,1.446e-02,1.335e-02
422.8,2811.6997,692.7389,1.426e-02,1.323e-02
428.9,2785.8813,687.8571,1.401e-02,1.313e-02
431.9,2772.3531,685.5156,1.405e-02,1.309e-02
436.6,2749.9874,681.5470,1.410e-02,1.302e-02
443.9,2712.0742,674.3918,1.375e-02,1.288e-02
449.9,2678.2617,668.2373,1.348e-02,1.277e-02
455.9,2642.3412,661.8127,1.316e-02,1.265e-02
464.1,2589.5289,652.5189,1.271e-02,1.249e-02
469.6,2552.1568,645.9851,1.241e-02,1.238e-02
477.8,2492.8117,635.8101,1.203e-02,1.220e-02
483.3,2451.5681,628.4625,1.178e-02,1.208e-02
488.9,2407.8160,621.5253,1.171e-02,1.197e-02
497.0,2342.2986,610.4017,1.160e-02,1.180e-02
502.5,2296.2413,601.6818,1.139e-02,1.166e-02
509.9,2232.9109,589.7160,1.119e-02,1.147e-02
516.1,2178.2740,579.1051,1.102e-02,1.130e-02
521.9,2128.1707,568.9336,1.087e-02,1.114e-02
529.8,2059.3710,554.3826,1.067e-02,1.091e-02
536.9,1999.3690,540.4826,1.053e-02,1.068e-02
543.4,1946.1524,527.1546,1.046e-02,1.046e-02
545.2,1932.9119,523.4051,1.043e-02,1.042e-02
545.9,1927.8752,522.2588,1.042e-02,1.040e-02
546.6,1922.8176,521.0228,1.041e-02,1.039e-02
551.5,1882.6424,509.1096,1.035e-02,1.022e-02
556.9,1829.6763,494.9150,1.016e-02,9.963e-03
563.9,1754.3881,476.1630,9.870e-03,9.631e-03
570.5,1675.0628,457.7653,9.639e-03,9.296e-03
575.9,1605.3526,441.9517,9.597e-03,9.005e-03
583.9,1495.2455,417.7008,9.998e-03,8.551e-03
590.9,1395.5351,396.0829,1.082e-02,8.141e-03
597.4,1298.3823,374.3110,1.245e-02,7.719e-03
602.9,1214.7767,358.5684,1.258e-02,7.419e-03
608.9,1121.6942,340.9142,1.243e-02,7.076e-03
616.2,1006.1345,314.5005,1.435e-02,6.541e-03
623.9,883.0083,287.0234,1.625e-02,5.979e-03
629.6,791.1754,265.9816,1.795e-02,5.541e-03
635.9,690.4756,242.6727,1.988e-02,5.050e-03
643.0,578.1880,215.9579,2.219e-02,4.478e-03
648.4,495.1704,195.9285,2.379e-02,4.043e-03
656.4,375.6168,165.4146,2.678e-02,3.356e-03
659.9,325.0001,153.7556,2.625e-02,3.109e-03
662.9,283.7105,142.9229,2.437e-02,2.895e-03
669.7,195.3402,113.0654,2.090e-02,2.275e-03
677.7,105.6724,78.4803,1.632e-02,1.559e-03
683.9,50.1814,50.9812,1.180e-02,9.964e-04
690.9,9.8752,18.1453,4.459e-03,3.508e-04
695.3,0.0000,0.0000,3.952e-22,2.532e-23
696.4,0.1741,2.0088,6.191e-04,3.624e-05
700.3,0.1489,1.6776,5.190e-04,3.075e-05
704.9,0.2132,0.9686,3.747e-04,2.080e-05
705.5,0.2016,0.9213,3.914e-04,2.119e-05
711.6,0.0000,0.0000,3.998e-22,3.835e-23
716.9,1.0035,6.1221,4.963e-04,1.888e-04
722.2,0.0000,0.0000,4.541e-15,1.892e-16
725.0,11.7705,22.8002,4.538e-03,8.592e-04
733.5,127.8035,126.2970,3.204e-02,4.848e-03
742.0,335.8245,228.4090,5.170e-02,8.649e-03
750.5,608.7920,330.7531,6.990e-02,1.240e-02
759.0,927.9442,432.2634,8.613e-02,1.606e-02
767.5,1280.2393,533.4247,1.016e-01,1.966e-02
768.9,1340.1527,546.1098,1.039e-01,2.012e-02
774.9,1603.1396,602.6042,1.032e-01,2.200e-02
783.9,2012.2797,712.1398,9.168e-02,2.542e-02
792.9,2434.4161,815.8244,8.274e-02,2.859e-02
801.7,2850.3598,916.7272,7.397e-02,3.162e-02
810.2,3261.0669,1011.7868,6.677e-02,3.444e-02
818.8,3670.0970,1109.3307,5.927e-02,3.727e-02
825.9,4008.4056,1171.2796,5.846e-02,3.917e-02
833.1,4343.5040,1232.6023,5.757e-02,4.102e-02
841.7,4739.1517,1324.8291,5.213e-02,4.363e-02
850.3,5119.3635,1408.7945,4.966e-02,4.603e-02
858.9,5483.7665,1490.6270,4.864e-02,4.835e-02
867.5,5818.9725,1568.0065,4.925e-02,5.054e-02
876.1,6121.6645,1642.3774,5.189e-02,5.273e-02
882.2,6302.4747,1688.3965,5.389e-02,5.387e-02
882.4,6305.4648,1689.4505,5.391e-02,5.389e-02
882.9,6320.9902,1692.2907,5.396e-02,5.394e-02
883.6,6341.0405,1696.0094,5.402e-02,5.401e-02
884.7,6368.8085,1703.1876,5.417e-02,5.415e-02
893.4,6646.3323,1766.7931,5.664e-02,5.582e-02
