x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.716e-10,1.131e-11
43.9,0.0000,0.0000,9.556e-23,4.689e-24
46.4,0.5889,0.4050,1.292e-04,8.691e-06
48.8,0.0000,0.0000,1.506e-22,1.306e-23
49.9,3.1911,1.8947,2.096e-04,4.224e-05
50.8,6.6220,4.6237,7.875e-04,1.005e-04
57.5,41.0815,27.3623,5.175e-03,5.895e-04
65.9,100.8996,54.6228,8.176e-03,1.199e-03
71.9,152.4304,73.8281,9.212e-03,1.635e-03
77.9,209.4119,92.7862,9.875e-03,2.065e-03
86.4,297.0944,120.1905,1.008e-02,2.685e-03
89.9,334.8693,128.9090,1.073e-02,2.877e-03
92.2,359.7065,134.4537,1.103e-02,2.999e-03
100.8,457.3229,161.5307,9.956e-03,3.606e-03
106.6,523.9120,178.9881,9.307e-03,3.992e-03
113.9,609.7292,200.9871,8.454e-03,4.475e-03
121.0,692.5435,221.6478,7.768e-03,4.923e-03
126.7,759.9966,238.1766,7.351e-03,5.278e-03
135.3,859.7419,261.9836,7.098e-03,5.784e-03
141.1,925.3168,278.1102,7.126e-03,6.123e-03
146.9,990.4979,290.7324,7.407e-03,6.380e-03
155.4,1082.6461,308.3942,7.451e-03,6.731e-03
161.1,1142.4343,323.0184,7.392e-03,7.024e-03
167.9,1211.0565,338.6287,7.552e-03,7.330e-03
175.4,1281.9136,355.3874,7.841e-03,7.654e-03
181.1,1332.8439,367.5934,8.071e-03,7.886e-03
189.7,1400.9678,385.0282,8.377e-03,8.210e-03
195.4,1441.3379,396.2000,8.502e-03,8.421e-03
203.2,1485.6290,410.1791,8.647e-03,8.645e-03
203.9,1489.0840,411.0687,8.656e-03,8.655e-03
204.5,1492.0914,411.7385,8.662e-03,8.660e-03
204.6,1492.3610,411.8902,8.662e-03,8.661e-03
209.9,1518.9523,419.5210,8.625e-03,8.761e-03
215.9,1552.5907,428.1701,8.668e-03,8.904e-03
223.8,1598.4043,438.8409,8.818e-03,9.070e-03
230.9,1641.2864,447.8499,8.981e-03,9.209e-03
238.0,1684.0814,456.3680,9.142e-03,9.340e-03
245.9,1732.0208,465.3516,9.317e-03,9.477e-03
251.9,1767.4568,471.8030,9.455e-03,9.575e-03
257.9,1802.5736,478.2053,9.611e-03,9.675e-03
260.9,1819.4650,480.5836,9.689e-03,9.707e-03
263.9,1836.4116,482.7978,9.705e-03,9.737e-03
269.9,1869.0695,488.4291,9.683e-03,9.827e-03
277.6,1909.2745,495.0387,9.761e-03,9.932e-03
284.9,1945.6870,501.1085,9.909e-03,1.003e-02
291.6,1977.3350,506.3853,1.008e-02,1.012e-02
299.9,2013.3999,512.5100,1.031e-02,1.023e-02
305.7,2037.0198,516.5302,1.047e-02,1.030e-02
311.9,2060.4162,520.8815,1.069e-02,1.038e-02
317.9,2081.4106,523.7933,1.069e-02,1.042e-02
319.8,2087.4287,524.5303,1.067e-02,1.044e-02
325.4,2104.9684,527.6750,1.077e-02,1.050e-02
333.8,2128.1225,531.8558,1.092e-02,1.058e-02
339.4,2141.4943,534.3799,1.100e-02,1.063e-02
347.8,2158.2483,537.7201,1.106e-02,1.069e-02
353.9,2167.9904,539.8105,1.105e-02,1.074e-02
359.9,2175.2844,541.5725,1.101e-02,1.077e-02
367.3,2181.1350,543.3936,1.089e-02,1.081e-02
374.2,2183.2762,544.4734,1.084e-02,1.083e-02
374.9,2183.3111,544.4670,1.084e-02,1.083e-02
375.6,2183.3079,544.3909,1.084e-02,1.083e-02
381.2,2181.9742,543.3198,1.095e-02,1.081e-02
389.6,2175.7881,540.9450,1.120e-02,1.075e-02
395.1,2169.0937,539.0875,1.131e-02,1.071e-02
401.9,2158.1970,536.4932,1.139e-02,1.065e-02
409.0,2144.0476,533.4113,1.139e-02,1.059e-02
414.5,2130.8957,530.7506,1.134e-02,1.053e-02
422.8,2108.0854,526.3886,1.119e-02,1.044e-02
428.9,2088.7960,522.7947,1.101e-02,1.037e-02
431.9,2078.6898,521.0677,1.104e-02,1.034e-02
436.6,2061.9838,518.1410,1.107e-02,1.028e-02
443.9,2033.6681,512.8964,1.081e-02,1.018e-02
449.9,2008.4182,508.3909,1.061e-02,1.010e-02
455.9,1981.5961,503.6989,1.037e-02,1.001e-02
464.1,1942.1631,496.9219,1.005e-02,9.895e-03
469.6,1914.2596,492.1642,9.828e-03,9.813e-03
477.8,1869.9494,484.7610,9.552e-03,9.689e-03
483.3,1839.1534,479.4178,9.381e-03,9.600e-03
488.9,1806.4818,474.3547,9.331e-03,9.522e-03
497.0,1757.5523,466.2158,9.241e-03,9.396e-03
502.5,1723.1506,459.8543,9.089e-03,9.294e-03
509.9,1675.8399,451.1013,8.941e-03,9.156e-03
516.1,1635.0141,443.3269,8.812e-03,9.033e-03
521.9,1597.5683,435.8589,8.701e-03,8.914e-03
529.8,1546.1320,425.1487,8.560e-03,8.743e-03
536.9,1501.2541,414.8856,8.458e-03,8.577e-03
543.4,1461.4292,405.0115,8.408e-03,8.413e-03
545.2,1451.5166,402.2335,8.390e-03,8.377e-03
545.9,1447.7453,401.3829,8.381e-03,8.369e-03
546.6,1443.9581,400.4623,8.372e-03,8.359e-03
551.5,1413.8649,391.5406,8.318e-03,8.229e-03
556.9,1374.1742,380.8560,8.169e-03,8.027e-03
563.9,1317.7330,366.7115,7.941e-03,7.768e-03
570.5,1258.2468,352.7951,7.758e-03,7.505e-03
575.9,1205.9565,340.8056,7.711e-03,7.276e-03
583.9,1123.3447,322.3725,7.973e-03,6.918e-03
590.9,1048.5130,305.8992,8.540e-03,6.593e-03
597.4,975.5862,289.2614,9.708e-03,6.256e-03
602.9,912.8164,277.2259,9.791e-03,6.016e-03
608.9,842.9211,263.7005,9.654e-03,5.742e-03
616.2,756.1314,243.4015,1.103e-02,5.312e-03
623.9,663.6430,222.2446,1.241e-02,4.859e-03
