x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.164e-10,9.024e-12
43.9,0.0000,0.0000,7.889e-23,3.797e-24
46.4,0.4725,0.3615,1.039e-04,8.797e-06
48.8,0.0000,0.0000,1.355e-22,1.084e-23
49.9,2.5584,1.7145,1.706e-04,4.276e-05
50.8,5.3086,4.1625,6.355e-04,1.018e-04
57.5,32.9345,24.5958,4.170e-03,5.976e-04
65.9,80.8859,49.3001,6.607e-03,1.215e-03
71.9,122.1903,66.7651,7.469e-03,1.656e-03
77.9,167.8588,84.0060,8.040e-03,2.091e-03
86.4,238.1234,108.9305,8.277e-03,2.719e-03
89.9,268.3898,116.8306,8.815e-03,2.913e-03
92.2,288.2892,121.8581,9.063e-03,3.037e-03
100.8,366.4855,146.4757,8.313e-03,3.650e-03
106.6,419.8164,162.3204,7.883e-03,4.040e-03
113.9,488.5302,182.2616,7.341e-03,4.527e-03
121.0,554.8224,200.9628,6.949e-03,4.980e-03
126.7,608.8021,215.9041,6.753e-03,5.338e-03
135.3,688.5983,237.3936,6.737e-03,5.846e-03
141.1,741.0372,251.9276,6.872e-03,6.187e-03
146.9,793.1458,263.2852,7.149e-03,6.447e-03
155.4,866.7801,279.1448,7.277e-03,6.801e-03
161.1,914.5363,292.2629,7.324e-03,7.094e-03
167.9,969.3226,306.2361,7.525e-03,7.400e-03
175.4,1025.8655,321.2080,7.820e-03,7.723e-03
181.1,1066.4833,332.0896,8.051e-03,7.954e-03
189.7,1120.7791,347.5928,8.366e-03,8.274e-03
195.4,1152.9262,357.5070,8.531e-03,8.482e-03
203.2,1188.1577,369.8224,8.705e-03,8.701e-03
203.9,1190.9032,370.6003,8.714e-03,8.711e-03
204.5,1193.2927,371.1808,8.719e-03,8.717e-03
204.6,1193.5068,371.3114,8.720e-03,8.718e-03
209.9,1214.6176,377.9428,8.720e-03,8.813e-03
215.9,1241.2934,385.5007,8.788e-03,8.949e-03
223.8,1277.5832,394.7943,8.935e-03,9.105e-03
230.9,1311.5233,402.6297,9.084e-03,9.235e-03
238.0,1345.3709,410.0261,9.232e-03,9.356e-03
245.9,1383.2693,417.8162,9.394e-03,9.482e-03
251.9,1411.2709,423.4053,9.521e-03,9.572e-03
257.9,1439.0149,428.9488,9.662e-03,9.661e-03
260.9,1452.3564,431.0029,9.726e-03,9.692e-03
263.9,1465.7422,432.9223,9.741e-03,9.719e-03
269.9,1491.5331,437.8267,9.737e-03,9.799e-03
277.6,1523.2824,443.5794,9.802e-03,9.893e-03
284.9,1552.0361,448.8649,9.915e-03,9.981e-03
291.6,1577.0299,453.4604,1.005e-02,1.006e-02
299.9,1605.5170,458.7973,1.023e-02,1.015e-02
305.7,1624.1787,462.3021,1.035e-02,1.022e-02
311.9,1642.6692,466.0973,1.052e-02,1.029e-02
317.9,1659.2671,468.6270,1.054e-02,1.033e-02
319.8,1664.0269,469.2694,1.053e-02,1.034e-02
325.4,1677.9005,472.0341,1.059e-02,1.039e-02
333.8,1696.2269,475.7091,1.069e-02,1.047e-02
339.4,1706.8176,477.9275,1.074e-02,1.051e-02
347.8,1720.0987,480.8604,1.079e-02,1.057e-02
353.9,1727.8287,482.6926,1.079e-02,1.061e-02
359.9,1733.6224,484.2343,1.078e-02,1.064e-02
367.3,1738.2750,485.8150,1.072e-02,1.068e-02
374.2,1739.9816,486.7519,1.070e-02,1.069e-02
374.9,1740.0097,486.7458,1.070e-02,1.069e-02
375.6,1740.0073,486.6782,1.070e-02,1.069e-02
381.2,1738.9478,485.7323,1.076e-02,1.067e-02
389.6,1734.0340,483.6370,1.091e-02,1.062e-02
395.1,1728.7200,481.9927,1.097e-02,1.058e-02
401.9,1720.0774,479.6958,1.101e-02,1.053e-02
409.0,1708.8630,476.9668,1.100e-02,1.047e-02
414.5,1698.4467,474.6116,1.095e-02,1.041e-02
422.8,1680.3911,470.7542,1.084e-02,1.033e-02
428.9,1665.1317,467.5764,1.072e-02,1.027e-02
431.9,1657.1385,466.0565,1.074e-02,1.024e-02
436.6,1643.9293,463.4915,1.074e-02,1.019e-02
443.9,1621.5466,458.8955,1.052e-02,1.009e-02
449.9,1601.5926,454.9483,1.035e-02,1.002e-02
455.9,1580.3999,450.8403,1.016e-02,9.942e-03
464.1,1549.2473,444.9098,9.915e-03,9.833e-03
469.6,1527.2047,440.7480,9.752e-03,9.759e-03
477.8,1492.2000,434.2763,9.545e-03,9.647e-03
483.3,1467.8695,429.6016,9.418e-03,9.567e-03
488.9,1442.0526,425.1836,9.371e-03,9.494e-03
497.0,1403.3807,418.1018,9.260e-03,9.376e-03
502.5,1376.1819,412.5662,9.119e-03,9.282e-03
509.9,1338.7648,404.9384,8.973e-03,9.154e-03
516.1,1306.4599,398.1548,8.850e-03,9.039e-03
521.9,1276.8167,391.6301,8.744e-03,8.927e-03
529.8,1236.0686,382.2578,8.610e-03,8.765e-03
536.9,1200.4835,373.2605,8.507e-03,8.607e-03
543.4,1168.8676,364.5824,8.443e-03,8.449e-03
545.2,1160.9915,362.1567,8.425e-03,8.415e-03
545.9,1157.9939,361.4164,8.416e-03,8.406e-03
546.6,1154.9832,360.6146,8.407e-03,8.397e-03
551.5,1131.0445,352.7757,8.330e-03,8.269e-03
556.9,1099.4425,343.2811,8.167e-03,8.070e-03
563.9,1054.4639,330.7038,7.939e-03,7.814e-03
570.5,1007.0266,318.2961,7.743e-03,7.554e-03
575.9,965.3027,307.5862,7.648e-03,7.326e-03
583.9,899.3511,291.0854,7.727e-03,6.969e-03
590.9,839.5754,276.3089,8.036e-03,6.644e-03
597.4,781.2964,261.3418,8.789e-03,6.307e-03
602.9,731.1136,250.5335,8.803e-03,6.066e-03
608.9,675.2161,238.3746,8.635e-03,5.790e-03
616.2,605.7797,220.0410,9.545e-03,5.359e-03
623.9,531.7566,200.9022,1.050e-02,4.904e-03
629.6,476.5200,186.1856,1.140e-02,4.549e-03
635.9,415.9300,169.8232,1.244e-02,4.149e-03
643.0,348.3414,150.9823,1.373e-02,3.682e-03
648.4,298.3572,136.7981,1.463e-02,3.326e-03
656.4,226.3535,114.9981,1.635e-02,2.764e-03
659.9,195.8631,106.7898,1.602e-02,2.562e-03
662.9,170.9874,99.3006,1.488e-02,2.386e-03
669.7,117.7401,78.4487,1.273e-02,1.876e-03
677.7,63.7000,54.2992,9.926e-03,1.287e-03
683.9,30.2520,35.1494,7.163e-03,8.236e-04
690.9,5.9540,12.4811,2.706e-03,2.902e-04
695.3,0.0000,0.0000,2.882e-22,1.757e-23
696.4,0.1051,1.3619,3.747e-04,3.002e-05
700.3,0.0939,1.1381,3.149e-04,2.530e-05
704.9,0.1359,0.6497,2.328e-04,1.567e-05
705.5,0.1285,0.6142,2.450e-04,1.543e-05
711.6,0.0000,0.0000,2.561e-22,2.453e-23
716.9,0.6400,3.9296,3.152e-04,1.202e-04
722.2,0.0000,0.0000,2.990e-15,1.248e-16
725.0,7.5057,14.6249,2.897e-03,5.477e-04
733.5,81.4898,80.9698,2.045e-02,3.091e-03
742.0,214.1276,146.4569,3.300e-02,5.512e-03
