x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,6.580e-11,2.742e-12
43.9,0.0000,0.0000,2.443e-23,1.174e-24
46.4,0.1434,0.1224,3.157e-05,3.379e-06
48.8,0.0000,0.0000,4.611e-23,3.377e-24
49.9,0.7762,0.5860,5.264e-05,1.656e-05
50.8,1.6107,1.4177,1.939e-04,3.942e-05
57.5,9.9925,8.3686,1.270e-03,2.314e-04
65.9,24.5415,16.8221,2.020e-03,4.707e-04
71.9,37.0742,22.8107,2.293e-03,6.418e-04
77.9,50.9317,28.7207,2.480e-03,8.104e-04
86.4,72.2536,37.2609,2.583e-03,1.054e-03
89.9,81.4385,39.9612,2.751e-03,1.130e-03
92.2,87.4775,41.6800,2.831e-03,1.178e-03
100.8,111.2098,50.1049,2.655e-03,1.416e-03
106.6,127.3968,55.5180,2.565e-03,1.568e-03
113.9,148.2548,62.3206,2.463e-03,1.758e-03
121.0,168.3796,68.6898,2.411e-03,1.935e-03
126.7,184.7686,73.7705,2.407e-03,2.075e-03
135.3,208.9986,81.0659,2.476e-03,2.274e-03
141.1,224.9240,85.9897,2.563e-03,2.407e-03
146.9,240.7508,89.8339,2.668e-03,2.510e-03
155.4,263.1190,95.1889,2.750e-03,2.650e-03
161.1,277.6283,99.6085,2.808e-03,2.766e-03
167.9,294.2763,104.3061,2.905e-03,2.887e-03
175.4,311.4609,109.3277,3.029e-03,3.015e-03
181.1,323.8080,112.9693,3.122e-03,3.107e-03
189.7,340.3163,118.1417,3.252e-03,3.235e-03
195.4,350.0934,121.4479,3.329e-03,3.317e-03
203.2,360.8121,125.4996,3.407e-03,3.405e-03
203.9,361.6477,125.7511,3.411e-03,3.410e-03
204.5,362.3748,125.9352,3.413e-03,3.412e-03
204.6,362.4399,125.9762,3.413e-03,3.412e-03
209.9,368.8660,128.1161,3.427e-03,3.451e-03
215.9,376.9896,130.5966,3.466e-03,3.506e-03
223.8,388.0454,133.6288,3.527e-03,3.570e-03
230.9,398.3882,136.1842,3.587e-03,3.623e-03
238.0,408.7047,138.5932,3.646e-03,3.673e-03
245.9,420.2572,141.1294,3.710e-03,3.724e-03
251.9,428.7936,142.9493,3.759e-03,3.761e-03
257.9,437.2514,144.7550,3.814e-03,3.797e-03
260.9,441.3187,145.4234,3.836e-03,3.810e-03
263.9,445.3993,146.0506,3.843e-03,3.821e-03
269.9,453.2616,147.6604,3.850e-03,3.853e-03
277.6,462.9395,149.5506,3.876e-03,3.891e-03
284.9,471.7034,151.2908,3.914e-03,3.926e-03
291.6,479.3203,152.8065,3.956e-03,3.957e-03
299.9,488.0003,154.5706,4.012e-03,3.993e-03
305.7,493.6854,155.7311,4.052e-03,4.018e-03
311.9,499.3174,156.9893,4.106e-03,4.045e-03
317.9,504.3719,157.8264,4.121e-03,4.062e-03
319.8,505.8211,158.0403,4.119e-03,4.066e-03
325.4,510.0449,158.9673,4.135e-03,4.086e-03
333.8,515.6226,160.2006,4.161e-03,4.113e-03
339.4,518.8450,160.9453,4.177e-03,4.130e-03
347.8,522.8847,161.9294,4.194e-03,4.152e-03
353.9,525.2351,162.5430,4.200e-03,4.166e-03
359.9,526.9961,163.0580,4.202e-03,4.178e-03
367.3,528.4099,163.5811,4.199e-03,4.191e-03
374.2,528.9285,163.8894,4.201e-03,4.198e-03
374.9,528.9371,163.8872,4.201e-03,4.198e-03
375.6,528.9363,163.8647,4.200e-03,4.197e-03
381.2,528.6142,163.5477,4.209e-03,4.189e-03
389.6,527.1203,162.8431,4.233e-03,4.170e-03
395.1,525.5046,162.2881,4.241e-03,4.155e-03
401.9,522.8761,161.5123,4.244e-03,4.135e-03
409.0,519.4644,160.5905,4.235e-03,4.113e-03
414.5,516.2947,159.7951,4.219e-03,4.093e-03
422.8,510.7990,158.4942,4.187e-03,4.062e-03
428.9,506.1531,157.4231,4.154e-03,4.037e-03
431.9,503.7192,156.9141,4.155e-03,4.026e-03
436.6,499.6964,156.0602,4.146e-03,4.006e-03
443.9,492.8788,154.5308,4.072e-03,3.972e-03
449.9,486.7998,153.2190,4.017e-03,3.942e-03
455.9,480.3426,151.8556,3.959e-03,3.912e-03
464.1,470.8493,149.8908,3.881e-03,3.870e-03
469.6,464.1314,148.5142,3.830e-03,3.840e-03
477.8,453.4620,146.3777,3.766e-03,3.796e-03
483.3,446.0457,144.8355,3.725e-03,3.764e-03
488.9,438.1761,143.3820,3.705e-03,3.734e-03
497.0,426.3879,141.0610,3.654e-03,3.686e-03
502.5,418.0974,139.2500,3.599e-03,3.648e-03
509.9,406.6927,136.7523,3.538e-03,3.596e-03
516.1,396.8474,134.5300,3.488e-03,3.549e-03
521.9,387.8143,132.3907,3.444e-03,3.504e-03
529.8,375.4001,129.3137,3.387e-03,3.437e-03
536.9,364.5623,126.3558,3.342e-03,3.373e-03
543.4,354.9375,123.4935,3.307e-03,3.309e-03
545.2,352.5407,122.7076,3.298e-03,3.295e-03
545.9,351.6286,122.4703,3.295e-03,3.292e-03
