x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,5.005e-10,2.081e-11
43.9,0.0000,0.0000,1.740e-22,8.620e-24
46.4,1.0808,0.7066,2.369e-04,1.408e-05
48.8,0.0000,0.0000,2.636e-22,2.377e-23
49.9,5.8582,3.3200,3.822e-04,6.918e-05
50.8,12.1571,8.1144,1.441e-03,1.644e-04
57.5,75.4193,48.0280,9.478e-03,9.632e-04
65.9,185.2420,95.7543,1.496e-02,1.961e-03
71.9,279.8549,129.3635,1.683e-02,2.676e-03
77.9,384.4828,162.5644,1.801e-02,3.381e-03
86.4,545.4973,210.6029,1.832e-02,4.402e-03
89.9,614.8715,225.9155,1.950e-02,4.717e-03
92.2,660.4866,235.6612,2.004e-02,4.918e-03
100.8,839.7853,283.2613,1.798e-02,5.918e-03
106.6,962.1099,314.0106,1.672e-02,6.557e-03
113.9,1119.7814,352.8336,1.503e-02,7.357e-03
121.0,1271.9609,389.3722,1.363e-02,8.101e-03
126.7,1395.9362,418.6668,1.274e-02,8.692e-03
135.3,1579.3000,460.9606,1.211e-02,9.536e-03
141.1,1699.8787,489.6946,1.206e-02,1.010e-02
146.9,1819.7559,512.2313,1.254e-02,1.054e-02
155.4,1989.2774,543.8941,1.255e-02,1.113e-02
161.1,2099.2965,570.1832,1.237e-02,1.163e-02
167.9,2225.6096,598.3444,1.261e-02,1.215e-02
175.4,2356.0768,628.6844,1.311e-02,1.270e-02
181.1,2449.8885,650.8644,1.351e-02,1.311e-02
189.7,2575.4201,682.6756,1.403e-02,1.367e-02
195.4,2649.8519,703.1450,1.421e-02,1.404e-02
203.2,2731.5685,728.9233,1.444e-02,1.444e-02
203.9,2737.9469,730.5755,1.445e-02,1.445e-02
204.5,2743.4993,731.8315,1.447e-02,1.446e-02
204.6,2743.9972,732.1173,1.447e-02,1.447e-02
209.9,2793.1177,746.4800,1.439e-02,1.465e-02
215.9,2855.2997,762.7865,1.446e-02,1.492e-02
223.8,2940.0488,783.0131,1.475e-02,1.523e-02
230.9,3019.4157,800.1692,1.506e-02,1.550e-02
238.0,3098.6563,816.4626,1.537e-02,1.575e-02
245.9,3187.4486,833.7122,1.570e-02,1.602e-02
251.9,3253.1007,846.1310,1.597e-02,1.622e-02
257.9,3318.1690,858.4776,1.626e-02,1.641e-02
260.9,3349.4724,863.0760,1.641e-02,1.648e-02
263.9,3380.8773,867.3721,1.644e-02,1.654e-02
269.9,3441.4050,878.2787,1.641e-02,1.672e-02
277.6,3515.9229,891.0918,1.657e-02,1.693e-02
284.9,3583.4126,902.8541,1.687e-02,1.712e-02
291.6,3642.0680,913.0729,1.721e-02,1.730e-02
299.9,3708.9022,924.9158,1.767e-02,1.751e-02
305.7,3752.6667,932.6716,1.797e-02,1.764e-02
311.9,3796.0092,941.0442,1.837e-02,1.780e-02
317.9,3834.8935,946.6676,1.836e-02,1.789e-02
319.8,3846.0370,948.0992,1.833e-02,1.791e-02
325.4,3878.5128,954.1396,1.854e-02,1.803e-02
333.8,3921.3663,962.1514,1.884e-02,1.818e-02
339.4,3946.1047,966.9727,1.901e-02,1.828e-02
347.8,3977.0830,973.3313,1.913e-02,1.840e-02
353.9,3995.0856,977.2957,1.912e-02,1.848e-02
359.9,4008.5554,980.6224,1.904e-02,1.855e-02
367.3,4019.3520,984.0421,1.878e-02,1.862e-02
374.2,4023.2983,986.0571,1.868e-02,1.866e-02
374.9,4023.3623,986.0484,1.868e-02,1.866e-02
375.6,4023.3559,985.9143,1.867e-02,1.865e-02
381.2,4020.8929,984.0122,1.889e-02,1.861e-02
389.6,4009.4692,979.7175,1.941e-02,1.852e-02
395.1,3997.1019,976.3194,1.963e-02,1.845e-02
401.9,3976.9602,971.5342,1.978e-02,1.835e-02
409.0,3950.7946,965.8091,1.979e-02,1.823e-02
414.5,3926.4624,960.8381,1.968e-02,1.812e-02
422.8,3884.2462,952.6432,1.940e-02,1.796e-02
428.9,3848.5332,945.8569,1.904e-02,1.782e-02
431.9,3829.8197,942.6039,1.909e-02,1.776e-02
436.6,3798.8801,937.0903,1.917e-02,1.766e-02
443.9,3746.4301,927.1295,1.868e-02,1.747e-02
449.9,3699.6511,918.5585,1.831e-02,1.732e-02
455.9,3649.9542,909.6044,1.787e-02,1.716e-02
464.1,3576.8853,896.6451,1.725e-02,1.693e-02
469.6,3525.1781,887.5305,1.683e-02,1.677e-02
477.8,3443.0703,873.3327,1.628e-02,1.653e-02
483.3,3386.0077,863.0785,1.594e-02,1.636e-02
488.9,3325.4764,853.4086,1.584e-02,1.620e-02
497.0,3234.8356,837.9161,1.569e-02,1.596e-02
502.5,3171.1208,825.7595,1.541e-02,1.577e-02
509.9,3083.5154,809.0926,1.513e-02,1.550e-02
516.1,3007.9421,794.3206,1.489e-02,1.527e-02
521.9,2938.6450,780.1701,1.467e-02,1.504e-02
529.8,2843.5007,759.9434,1.440e-02,1.472e-02
536.9,2760.5361,740.6417,1.420e-02,1.441e-02
543.4,2686.9685,722.1549,1.410e-02,1.411e-02
545.2,2668.6673,716.9543,1.407e-02,1.404e-02
545.9,2661.7061,715.3652,1.405e-02,1.403e-02
546.6,2654.7159,713.6540,1.403e-02,1.401e-02
551.5,2599.1961,697.1900,1.396e-02,1.378e-02
556.9,2526.0112,677.6067,1.371e-02,1.342e-02
563.9,2421.9988,651.7543,1.330e-02,1.297e-02
570.5,2312.4219,626.4149,1.299e-02,1.252e-02
575.9,2216.1368,604.6519,1.294e-02,1.212e-02
583.9,2064.0679,571.3064,1.352e-02,1.150e-02
590.9,1926.3717,541.6073,1.468e-02,1.095e-02
597.4,1792.2176,511.7261,1.697e-02,1.038e-02
602.9,1676.7785,490.1227,1.716e-02,9.972e-03
608.9,1548.2610,465.9138,1.696e-02,9.509e-03
616.2,1388.7210,429.7333,1.965e-02,8.787e-03
623.9,1218.7458,392.1213,2.231e-02,8.030e-03
629.6,1091.9780,363.3370,2.468e-02,7.441e-03
635.9,952.9759,331.4701,2.736e-02,6.780e-03
643.0,797.9855,294.9707,3.056e-02,6.010e-03
648.4,683.4003,267.6210,3.278e-02,5.425e-03
656.4,518.3920,225.9961,3.691e-02,4.503e-03
659.9,448.5321,210.0726,3.619e-02,4.171e-03
662.9,391.5463,195.2585,3.360e-02,3.883e-03
669.7,269.5840,154.4720,2.881e-02,3.051e-03
677.7,145.8340,107.2338,2.251e-02,2.090e-03
683.9,69.2526,69.6733,1.627e-02,1.335e-03
690.9,13.6280,24.8015,6.150e-03,4.701e-04
695.3,0.0000,0.0000,5.379e-22,3.450e-23
696.4,0.2402,2.7487,8.540e-04,4.856e-05
700.3,0.2045,2.2953,7.158e-04,4.123e-05
704.9,0.2924,1.3260,5.154e-04,2.816e-05
705.5,0.2766,1.2616,5.379e-04,2.878e-05
711.6,0.0000,0.0000,5.481e-22,5.258e-23
716.9,1.3763,8.3950,6.811e-04,2.593e-04
722.2,0.0000,0.0000,6.262e-15,2.608e-16
725.0,16.1443,31.2674,6.224e-03,1.179e-03
733.5,175.2959,173.2074,4.394e-02,6.656e-03
742.0,460.6180,313.2439,7.091e-02,1.187e-02
750.5,835.0197,453.6020,9.588e-02,1.703e-02
759.0,1272.7666,592.8209,1.181e-01,2.205e-02
767.5,1755.9692,731.5680,1.393e-01,2.700e-02
768.9,1838.1456,748.9662,1.425e-01,2.762e-02
774.9,2198.8517,826.4453,1.415e-01,3.021e-02
783.9,2760.0153,976.6741,1.258e-01,3.490e-02
792.9,3338.9987,1118.8894,1.135e-01,3.927e-02
801.7,3909.4827,1257.2990,1.015e-01,4.343e-02
810.2,4472.7778,1387.7016,9.161e-02,4.731e-02
818.8,5033.7655,1521.5234,8.133e-02,5.120e-02
825.9,5497.7516,1606.5094,8.024e-02,5.380e-02
833.1,5957.3285,1690.6461,7.902e-02,5.635e-02
841.7,6499.9384,1817.2017,7.159e-02,5.994e-02
850.3,7021.3681,1932.4253,6.822e-02,6.324e-02
858.9,7521.1051,2044.7287,6.683e-02,6.644e-02
867.5,7980.7877,2150.9243,6.769e-02,6.945e-02
876.1,8395.8655,2253.0054,7.132e-02,7.246e-02
882.2,8643.7946,2316.1455,7.407e-02,7.404e-02
882.4,8647.8944,2317.5902,7.409e-02,7.406e-02
882.9,8669.1824,2321.4821,7.416e-02,7.413e-02
883.6,8696.6744,2326.5784,7.424e-02,7.422e-02
884.7,8734.7475,2336.4258,7.444e-02,7.443e-02
893.4,9115.2711,2423.7466,7.782e-02,7.673e-02
902.0,9540.8457,2509.5110,8.059e-02,7.894e-02
910.7,10003.1972,2593.1404,8.280e-02,8.105e-02
919.3,10488.6797,2674.4516,8.479e-02,8.305e-02
928.0,10992.1735,2752.6663,8.683e-02,8.495e-02
936.9,11519.0027,2831.5532,8.911e-02,8.681e-02
939.9,11698.9978,2852.7040,9.012e-02,8.734e-02
945.4,12026.1094,2892.0236,8.977e-02,8.824e-02
954.1,12550.4035,2967.3264,8.675e-02,8.977e-02
962.8,13075.9347,3036.3711,8.540e-02,9.115e-02
971.5,13599.9742,3103.0845,8.503e-02,9.245e-02
980.2,14121.2044,3165.6790,8.574e-02,9.363e-02
988.9,14635.9313,3227.4092,8.760e-02,9.473e-02
996.9,15101.4148,3271.8975,8.929e-02,9.555e-02
1003.5,15474.7681,3306.3186,8.962e-02,9.612e-02
1012.2,15963.3355,3360.1646,9.009e-02,9.687e-02
1020.9,16431.8481,3408.5448,9.109e-02,9.752e-02
1029.7,16878.7421,3454.3474,9.250e-02,9.808e-02
1038.5,17290.6732,3496.9304,9.433e-02,9.855e-02
