x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.299e-11,5.478e-13
43.9,0.0000,0.0000,6.955e-23,3.908e-24
46.4,0.4057,0.3021,9.180e-05,6.631e-06
48.8,0.0000,0.0000,5.039e-23,8.286e-24
49.9,2.1993,1.3774,1.568e-04,3.231e-05
50.8,4.5206,3.3626,5.713e-04,7.699e-05
57.5,28.1137,19.9216,3.729e-03,4.521e-04
65.9,69.0520,39.7624,5.972e-03,9.189e-04
71.9,104.3462,53.7183,6.814e-03,1.252e-03
77.9,143.3461,67.4773,7.395e-03,1.580e-03
86.4,203.4272,87.3279,7.717e-03,2.053e-03
89.9,229.2807,93.6596,8.205e-03,2.200e-03
92.2,246.3427,97.6837,8.432e-03,2.294e-03
100.8,313.2010,117.2378,7.842e-03,2.755e-03
106.6,358.9170,129.8264,7.475e-03,3.049e-03
113.9,417.7640,145.6625,6.960e-03,3.415e-03
121.0,474.7349,160.5095,6.508e-03,3.754e-03
126.7,521.0649,172.3659,6.186e-03,4.022e-03
135.3,589.9230,189.4142,5.876e-03,4.403e-03
141.1,635.1387,200.9271,5.689e-03,4.657e-03
146.9,680.4446,209.9587,5.903e-03,4.851e-03
155.4,744.5708,222.4817,5.909e-03,5.113e-03
161.1,786.6875,232.7642,5.638e-03,5.329e-03
167.9,835.0198,243.7227,5.618e-03,5.553e-03
175.4,886.0622,255.4361,5.730e-03,5.789e-03
181.1,922.9409,263.9551,5.889e-03,5.957e-03
189.7,974.4328,275.9551,6.160e-03,6.188e-03
195.4,1005.7154,283.9609,6.354e-03,6.340e-03
203.9,1046.9353,292.8235,6.507e-03,6.497e-03
204.1,1047.5842,292.9694,6.508e-03,6.499e-03
209.9,1072.8266,298.4255,6.529e-03,6.576e-03
215.9,1100.4997,304.2960,6.594e-03,6.671e-03
223.8,1136.3387,311.4485,6.705e-03,6.780e-03
230.9,1168.8140,317.4995,6.812e-03,6.872e-03
238.0,1200.3198,323.2165,6.912e-03,6.956e-03
245.9,1235.0361,329.2491,7.013e-03,7.045e-03
251.9,1260.2399,333.5882,7.082e-03,7.109e-03
257.9,1285.0862,337.8912,7.155e-03,7.172e-03
260.9,1296.8820,339.5210,7.171e-03,7.195e-03
263.9,1308.7739,341.0492,7.188e-03,7.216e-03
269.9,1331.4237,344.8764,7.276e-03,7.273e-03
277.6,1359.1859,349.3922,7.404e-03,7.342e-03
284.9,1384.1111,353.5536,7.541e-03,7.408e-03
291.6,1405.6797,357.1859,7.659e-03,7.467e-03
299.9,1430.0814,361.4193,7.786e-03,7.538e-03
305.7,1446.0014,364.2139,7.857e-03,7.586e-03
311.9,1461.6682,367.2334,7.939e-03,7.641e-03
317.9,1475.6858,369.3185,7.926e-03,7.677e-03
319.8,1479.6685,369.8546,7.924e-03,7.686e-03
325.4,1491.3144,372.0626,8.013e-03,7.727e-03
333.8,1506.5434,375.0140,8.120e-03,7.784e-03
339.4,1515.2775,376.7991,8.168e-03,7.819e-03
347.8,1526.0965,379.1666,8.193e-03,7.867e-03
353.9,1532.3021,380.6549,8.176e-03,7.897e-03
359.9,1536.8575,381.8949,8.134e-03,7.922e-03
367.3,1540.3628,383.2643,8.048e-03,7.950e-03
374.9,1541.3935,383.6893,7.985e-03,7.960e-03
375.1,1541.3902,383.6693,7.984e-03,7.960e-03
381.2,1540.1187,382.8360,8.046e-03,7.940e-03
389.6,1535.5443,381.1411,8.194e-03,7.898e-03
395.1,1530.7634,379.8193,8.260e-03,7.867e-03
401.9,1523.1409,377.9840,8.309e-03,7.824e-03
409.0,1513.2810,375.8137,8.313e-03,7.776e-03
414.5,1504.1918,373.9467,8.278e-03,7.735e-03
422.8,1488.3999,370.9025,8.185e-03,7.671e-03
428.9,1475.1141,368.3938,8.066e-03,7.619e-03
431.9,1468.0978,367.2277,8.076e-03,7.596e-03
436.6,1456.5877,365.2451,8.105e-03,7.559e-03
443.9,1436.9811,361.6059,7.978e-03,7.488e-03
449.9,1419.5619,358.5028,7.875e-03,7.430e-03
455.9,1400.9410,355.2776,7.746e-03,7.372e-03
