x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,6.168e-11,2.571e-12
43.9,0.0000,0.0000,2.290e-23,1.100e-24
46.4,0.1345,0.1147,2.960e-05,3.168e-06
48.8,0.0000,0.0000,4.323e-23,3.166e-24
49.9,0.7277,0.5493,4.935e-05,1.552e-05
50.8,1.5100,1.3291,1.818e-04,3.696e-05
57.5,9.3680,7.8456,1.191e-03,2.169e-04
65.9,23.0077,15.7707,1.893e-03,4.413e-04
71.9,34.7571,21.3850,2.149e-03,6.017e-04
77.9,47.7484,26.9256,2.325e-03,7.598e-04
86.4,67.7377,34.9321,2.421e-03,9.881e-04
89.9,76.3486,37.4637,2.579e-03,1.059e-03
92.2,82.0102,39.0750,2.654e-03,1.104e-03
100.8,104.2592,46.9733,2.489e-03,1.328e-03
106.6,119.4345,52.0481,2.405e-03,1.470e-03
113.9,138.9888,58.4256,2.310e-03,1.648e-03
121.0,157.8559,64.3967,2.260e-03,1.814e-03
126.7,173.2205,69.1599,2.257e-03,1.945e-03
135.3,195.9362,75.9993,2.321e-03,2.132e-03
141.1,210.8663,80.6153,2.403e-03,2.257e-03
146.9,225.7038,84.2193,2.502e-03,2.353e-03
155.4,246.6741,89.2396,2.578e-03,2.484e-03
161.1,260.2765,93.3830,2.633e-03,2.593e-03
167.9,275.8840,97.7870,2.724e-03,2.707e-03
175.4,291.9946,102.4948,2.839e-03,2.827e-03
181.1,303.5700,105.9088,2.927e-03,2.913e-03
189.7,319.0465,110.7579,3.048e-03,3.032e-03
195.4,328.2125,113.8574,3.121e-03,3.110e-03
203.2,338.2613,117.6559,3.194e-03,3.193e-03
203.9,339.0447,117.8916,3.198e-03,3.196e-03
204.5,339.7264,118.0643,3.200e-03,3.199e-03
204.6,339.7874,118.1027,3.200e-03,3.199e-03
209.9,345.8119,120.1088,3.213e-03,3.235e-03
215.9,353.4278,122.4343,3.249e-03,3.287e-03
223.8,363.7926,125.2770,3.307e-03,3.347e-03
230.9,373.4889,127.6726,3.363e-03,3.397e-03
238.0,383.1607,129.9311,3.418e-03,3.443e-03
245.9,393.9912,132.3088,3.478e-03,3.491e-03
251.9,401.9940,134.0150,3.524e-03,3.526e-03
257.9,409.9232,135.7078,3.575e-03,3.560e-03
260.9,413.7363,136.3344,3.596e-03,3.572e-03
263.9,417.5618,136.9224,3.602e-03,3.583e-03
269.9,424.9327,138.4316,3.609e-03,3.613e-03
277.6,434.0058,140.2037,3.634e-03,3.648e-03
284.9,442.2220,141.8352,3.669e-03,3.681e-03
291.6,449.3628,143.2561,3.709e-03,3.709e-03
299.9,457.5003,144.9099,3.762e-03,3.744e-03
305.7,462.8301,145.9979,3.799e-03,3.767e-03
311.9,468.1100,147.1775,3.849e-03,3.792e-03
317.9,472.8486,147.9623,3.864e-03,3.808e-03
319.8,474.2073,148.1628,3.861e-03,3.812e-03
325.4,478.1670,149.0318,3.877e-03,3.831e-03
333.8,483.3962,150.1880,3.901e-03,3.856e-03
339.4,486.4172,150.8862,3.916e-03,3.872e-03
347.8,490.2044,151.8088,3.932e-03,3.893e-03
