x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.524e-11,1.483e-12
43.9,0.0000,0.0000,1.935e-22,1.021e-23
46.4,1.1543,0.7512,2.607e-04,1.319e-05
48.8,0.0000,0.0000,1.229e-22,2.093e-23
49.9,6.2624,3.3897,4.405e-04,6.624e-05
50.8,12.8716,8.3306,1.617e-03,1.574e-04
57.5,80.0500,49.4404,1.057e-02,9.226e-04
65.9,196.6310,98.1620,1.688e-02,1.879e-03
71.9,297.1542,132.3015,1.921e-02,2.564e-03
77.9,408.2487,165.9916,2.078e-02,3.239e-03
86.4,579.4336,214.6538,2.153e-02,4.217e-03
89.9,653.1120,230.2881,2.289e-02,4.520e-03
92.2,701.7419,240.2327,2.351e-02,4.713e-03
100.8,892.3419,288.4011,2.161e-02,5.673e-03
106.6,1022.7133,319.5537,2.038e-02,6.286e-03
113.9,1190.5903,358.9032,1.862e-02,7.053e-03
121.0,1353.1853,395.9668,1.698e-02,7.767e-03
126.7,1485.4668,425.7017,1.573e-02,8.335e-03
135.3,1682.1749,468.6778,1.431e-02,9.144e-03
141.1,1811.4178,497.8727,1.334e-02,9.689e-03
146.9,1940.9849,520.9118,1.382e-02,1.011e-02
155.4,2124.4944,553.0959,1.358e-02,1.068e-02
161.1,2245.1025,579.6309,1.237e-02,1.115e-02
167.9,2383.6016,608.1376,1.199e-02,1.165e-02
175.4,2529.9849,638.8339,1.208e-02,1.218e-02
181.1,2635.8342,661.3387,1.242e-02,1.256e-02
189.7,2783.7723,693.2996,1.310e-02,1.310e-02
195.4,2873.7522,714.8463,1.357e-02,1.346e-02
203.9,2992.4875,739.0476,1.385e-02,1.383e-02
204.1,2994.3592,739.4602,1.385e-02,1.384e-02
209.9,3067.2131,754.9832,1.389e-02,1.404e-02
215.9,3147.1858,771.7593,1.406e-02,1.430e-02
223.8,3250.9025,792.4257,1.438e-02,1.460e-02
230.9,3344.9833,810.0721,1.470e-02,1.486e-02
238.0,3436.3460,826.8907,1.499e-02,1.511e-02
245.9,3537.0848,844.7689,1.528e-02,1.538e-02
251.9,3610.2717,857.6880,1.547e-02,1.557e-02
257.9,3682.4384,870.5395,1.567e-02,1.576e-02
260.9,3716.7173,875.4331,1.570e-02,1.583e-02
263.9,3751.2692,880.0445,1.576e-02,1.590e-02
269.9,3817.1060,891.5344,1.610e-02,1.608e-02
277.6,3897.8101,905.1060,1.656e-02,1.629e-02
284.9,3970.2792,917.5901,1.704e-02,1.649e-02
291.6,4032.9845,928.4636,1.744e-02,1.667e-02
299.9,4103.9203,941.0876,1.784e-02,1.689e-02
305.7,4150.1858,949.3783,1.804e-02,1.703e-02
311.9,4195.7073,958.2895,1.826e-02,1.719e-02
317.9,4236.4185,964.4763,1.817e-02,1.729e-02
319.8,4247.9846,966.0761,1.816e-02,1.732e-02
325.4,4281.7881,972.5330,1.849e-02,1.743e-02
333.8,4325.9684,981.1246,1.886e-02,1.760e-02
339.4,4351.2865,986.2908,1.903e-02,1.769e-02
347.8,4382.6211,993.1048,1.908e-02,1.782e-02
353.9,4400.5730,997.3638,1.900e-02,1.790e-02
359.9,4413.7368,1000.8889,1.881e-02,1.797e-02
367.3,4423.8511,1004.7540,1.844e-02,1.804e-02
374.9,4426.8152,1006.0285,1.814e-02,1.807e-02
375.1,4426.8055,1005.9795,1.814e-02,1.807e-02
381.2,4423.1370,1003.8681,1.840e-02,1.802e-02
389.6,4409.9291,999.4184,1.899e-02,1.793e-02
395.1,4396.1147,995.8815,1.926e-02,1.785e-02
401.9,4374.0641,990.8959,1.947e-02,1.774e-02
409.0,4345.5193,984.9227,1.952e-02,1.762e-02
414.5,4319.1812,979.7281,1.943e-02,1.751e-02
422.8,4273.3939,971.1646,1.914e-02,1.734e-02
428.9,4234.8434,964.0407,1.874e-02,1.720e-02
431.9,4214.4834,960.7269,1.878e-02,1.714e-02
