x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.245e-11,5.261e-13
43.9,0.0000,0.0000,6.660e-23,3.932e-24
46.4,0.3841,0.3003,8.698e-05,7.019e-06
48.8,0.0000,0.0000,5.088e-23,8.243e-24
49.9,2.0815,1.3839,1.493e-04,3.424e-05
50.8,4.2784,3.3691,5.421e-04,8.158e-05
57.5,26.6075,19.9411,3.536e-03,4.791e-04
65.9,65.3509,39.8884,5.670e-03,9.738e-04
71.9,98.7512,53.9485,6.479e-03,1.327e-03
77.9,135.6569,67.8135,7.043e-03,1.675e-03
86.4,192.5076,87.8237,7.374e-03,2.176e-03
89.9,216.9694,94.1934,7.842e-03,2.332e-03
92.2,233.1124,98.2439,8.060e-03,2.431e-03
100.8,296.3654,117.9643,7.541e-03,2.921e-03
106.6,339.6117,130.6520,7.226e-03,3.233e-03
113.9,395.2737,146.6067,6.788e-03,3.621e-03
121.0,449.1540,161.5581,6.418e-03,3.981e-03
126.7,492.9650,173.4934,6.166e-03,4.266e-03
135.3,558.0686,190.6478,5.954e-03,4.670e-03
141.1,600.8113,202.2283,5.839e-03,4.940e-03
146.9,643.6324,211.3062,6.062e-03,5.147e-03
155.4,704.2294,223.8923,6.109e-03,5.427e-03
161.1,744.0197,234.2286,5.914e-03,5.656e-03
167.9,789.6728,245.2373,5.941e-03,5.896e-03
175.4,837.8734,256.9992,6.086e-03,6.147e-03
181.1,872.6900,265.5493,6.257e-03,6.326e-03
189.7,921.2876,277.5874,6.539e-03,6.573e-03
195.4,950.8010,285.6137,6.741e-03,6.735e-03
203.9,989.6716,294.4874,6.914e-03,6.903e-03
204.1,990.2833,294.6326,6.915e-03,6.905e-03
209.9,1014.0719,300.0751,6.946e-03,6.988e-03
215.9,1040.1403,305.9484,7.020e-03,7.090e-03
223.8,1073.8856,313.0983,7.137e-03,7.207e-03
230.9,1104.4531,319.1478,7.250e-03,7.305e-03
238.0,1134.0981,324.8629,7.356e-03,7.395e-03
245.9,1166.7565,330.8938,7.465e-03,7.490e-03
251.9,1190.4603,335.2320,7.541e-03,7.557e-03
257.9,1213.8258,339.5348,7.622e-03,7.625e-03
260.9,1224.9164,341.1631,7.642e-03,7.650e-03
263.9,1236.0981,342.6931,7.659e-03,7.672e-03
269.9,1257.3919,346.5328,7.740e-03,7.733e-03
277.6,1283.4906,351.0633,7.857e-03,7.805e-03
284.9,1306.9204,355.2393,7.984e-03,7.874e-03
291.6,1327.1950,358.8846,8.094e-03,7.936e-03
299.9,1350.1328,363.1338,8.216e-03,8.011e-03
305.7,1365.0987,365.9388,8.288e-03,8.061e-03
311.9,1379.8274,368.9688,8.373e-03,8.118e-03
317.9,1393.0071,371.0587,8.373e-03,8.156e-03
319.8,1396.7519,371.5976,8.372e-03,8.165e-03
325.4,1407.7036,373.8227,8.449e-03,8.208e-03
333.8,1422.0270,376.7954,8.543e-03,8.267e-03
339.4,1430.2439,378.5921,8.588e-03,8.304e-03
347.8,1440.4248,380.9724,8.615e-03,8.352e-03
353.9,1446.2667,382.4660,8.606e-03,8.384e-03
359.9,1450.5565,383.7080,8.577e-03,8.410e-03
367.3,1453.8591,385.0727,8.515e-03,8.439e-03
374.9,1454.8314,385.4883,8.473e-03,8.449e-03
375.1,1454.8283,385.4682,8.473e-03,8.448e-03
381.2,1453.6301,384.6394,8.519e-03,8.428e-03
389.6,1449.3209,382.9490,8.634e-03,8.385e-03
395.1,1444.8183,381.6254,8.684e-03,8.353e-03
401.9,1437.6424,379.7844,8.718e-03,8.309e-03
409.0,1428.3624,377.6042,8.715e-03,8.259e-03
414.5,1419.8104,375.7269,8.680e-03,8.217e-03
422.8,1404.9544,372.6644,8.593e-03,8.150e-03
428.9,1392.4589,370.1387,8.486e-03,8.097e-03
431.9,1385.8601,368.9676,8.492e-03,8.074e-03
436.6,1375.0364,366.9804,8.508e-03,8.034e-03
443.9,1356.6002,363.3291,8.378e-03,7.961e-03
449.9,1340.2224,360.2155,8.275e-03,7.900e-03
455.9,1322.7150,356.9787,8.150e-03,7.839e-03
464.1,1297.0533,352.3202,7.967e-03,7.754e-03
469.6,1278.7619,349.0586,7.836e-03,7.697e-03
477.8,1249.8104,344.0033,7.655e-03,7.610e-03
483.3,1229.4835,340.3448,7.520e-03,7.548e-03
488.9,1208.0208,336.9505,7.476e-03,7.493e-03
497.0,1175.5550,331.5276,7.427e-03,7.404e-03
502.5,1152.7981,327.2400,7.321e-03,7.333e-03
509.9,1120.9428,321.3530,7.205e-03,7.236e-03
516.1,1093.5128,316.1139,7.099e-03,7.149e-03
521.9,1067.7015,311.0776,7.002e-03,7.065e-03
529.8,1032.1797,303.8339,6.872e-03,6.943e-03
536.9,999.9707,296.9023,6.769e-03,6.824e-03
543.4,971.3199,290.1155,6.689e-03,6.705e-03
545.9,960.1432,287.7333,6.682e-03,6.665e-03
546.2,959.3015,287.4989,6.681e-03,6.662e-03
551.5,935.1866,280.9369,6.588e-03,6.548e-03
556.9,906.8149,273.4672,6.438e-03,6.395e-03
563.9,867.6373,263.5828,6.272e-03,6.196e-03
570.5,827.0676,253.8051,6.177e-03,5.993e-03
575.9,791.8847,245.3545,6.189e-03,5.816e-03
583.9,736.7081,232.3163,6.430e-03,5.536e-03
590.9,687.1209,220.6286,6.838e-03,5.281e-03
597.4,638.9529,208.7727,7.626e-03,5.016e-03
602.9,597.6347,200.2221,7.649e-03,4.826e-03
608.9,551.6776,190.5726,7.520e-03,4.608e-03
616.2,494.7369,175.9748,8.389e-03,4.267e-03
623.9,434.1070,160.7323,9.217e-03,3.906e-03
629.6,388.9366,149.0053,9.962e-03,3.625e-03
635.9,339.4002,135.9616,1.081e-02,3.308e-03
643.0,284.1994,120.9381,1.182e-02,2.937e-03
648.4,243.3809,109.6258,1.252e-02,2.654e-03
656.4,184.6209,92.2411,1.385e-02,2.206e-03
659.9,159.7374,85.6918,1.355e-02,2.045e-03
662.9,139.4464,79.6980,1.259e-02,1.905e-03
669.7,96.0073,62.9943,1.075e-02,1.499e-03
677.7,51.9365,43.6386,8.353e-03,1.029e-03
683.9,24.6592,28.2716,6.010e-03,6.584e-04
