x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.418e-12,1.453e-13
43.9,0.0000,0.0000,1.868e-23,1.241e-24
46.4,0.1070,0.0934,2.427e-05,2.515e-06
48.8,0.0000,0.0000,1.649e-23,2.536e-24
49.9,0.5797,0.4369,4.225e-05,1.232e-05
50.8,1.1915,1.0592,1.519e-04,2.936e-05
57.5,7.4098,6.2604,9.891e-04,1.724e-04
65.9,18.1995,12.5651,1.591e-03,3.506e-04
71.9,27.5015,17.0213,1.825e-03,4.778e-04
77.9,37.7799,21.4151,1.993e-03,6.032e-04
86.4,53.6140,27.7551,2.106e-03,7.842e-04
89.9,60.4273,29.7665,2.240e-03,8.405e-04
92.2,64.9237,31.0461,2.304e-03,8.763e-04
100.8,82.5427,37.2887,2.195e-03,1.053e-03
106.6,94.5897,41.2976,2.134e-03,1.166e-03
113.9,110.0962,46.3310,2.055e-03,1.307e-03
121.0,125.1076,51.0398,1.998e-03,1.437e-03
126.7,137.3146,54.7923,1.969e-03,1.541e-03
135.3,155.4559,60.1761,1.970e-03,1.688e-03
141.1,167.3676,63.8027,1.982e-03,1.786e-03
146.9,179.3021,66.6412,2.061e-03,1.862e-03
155.4,196.1927,70.5691,2.107e-03,1.965e-03
161.1,207.2850,73.7898,2.097e-03,2.049e-03
167.9,220.0131,77.2111,2.138e-03,2.137e-03
175.4,233.4532,80.8575,2.208e-03,2.230e-03
181.1,243.1625,83.5015,2.274e-03,2.296e-03
189.7,256.7171,87.2145,2.374e-03,2.388e-03
195.4,264.9502,89.6824,2.446e-03,2.448e-03
203.9,275.7959,92.3950,2.515e-03,2.511e-03
204.1,275.9666,92.4382,2.516e-03,2.512e-03
209.9,282.6053,94.0693,2.533e-03,2.543e-03
215.9,289.8817,95.8477,2.564e-03,2.582e-03
223.8,299.3029,98.0017,2.609e-03,2.627e-03
230.9,307.8379,99.8224,2.650e-03,2.664e-03
238.0,316.1161,101.5401,2.689e-03,2.699e-03
245.9,325.2361,103.3518,2.731e-03,2.735e-03
251.9,331.8557,104.6553,2.761e-03,2.761e-03
257.9,338.3806,105.9489,2.794e-03,2.787e-03
260.9,341.4777,106.4380,2.803e-03,2.796e-03
263.9,344.6001,106.8992,2.809e-03,2.804e-03
269.9,350.5462,108.0619,2.832e-03,2.827e-03
277.6,357.8334,109.4357,2.865e-03,2.854e-03
284.9,364.3748,110.7051,2.901e-03,2.880e-03
291.6,370.0347,111.8157,2.934e-03,2.902e-03
299.9,376.4372,113.1136,2.972e-03,2.929e-03
305.7,380.6139,113.9724,2.996e-03,2.947e-03
311.9,384.7240,114.9014,3.025e-03,2.968e-03
317.9,388.4013,115.5414,3.033e-03,2.981e-03
319.8,389.4460,115.7075,3.033e-03,2.985e-03
325.4,392.5011,116.3984,3.051e-03,3.000e-03
333.8,396.4961,117.3224,3.074e-03,3.020e-03
339.4,398.7876,117.8812,3.086e-03,3.033e-03
347.8,401.6262,118.6210,3.097e-03,3.050e-03
353.9,403.2546,119.0844,3.099e-03,3.061e-03
359.9,404.4503,119.4686,3.097e-03,3.070e-03
367.3,405.3707,119.8869,3.091e-03,3.080e-03
374.9,405.6417,120.0094,3.091e-03,3.083e-03
375.1,405.6408,120.0031,3.091e-03,3.083e-03
381.2,405.3066,119.7459,3.097e-03,3.076e-03
389.6,404.1053,119.2201,3.114e-03,3.061e-03
395.1,402.8501,118.8068,3.120e-03,3.050e-03
401.9,400.8494,118.2315,3.122e-03,3.035e-03
409.0,398.2617,117.5504,3.116e-03,3.018e-03
414.5,395.8766,116.9641,3.105e-03,3.004e-03
422.8,391.7329,116.0092,3.080e-03,2.981e-03
428.9,388.2469,115.2226,3.053e-03,2.962e-03
431.9,386.4059,114.8599,3.052e-03,2.954e-03
436.6,383.3858,114.2478,3.048e-03,2.940e-03
443.9,378.2411,113.1243,3.005e-03,2.914e-03
449.9,373.6701,112.1678,2.972e-03,2.892e-03
455.9,368.7834,111.1754,2.934e-03,2.870e-03
464.1,361.6198,109.7502,2.880e-03,2.839e-03
469.6,356.5131,108.7546,2.843e-03,2.818e-03
477.8,348.4296,107.2150,2.792e-03,2.786e-03
483.3,342.7537,106.1023,2.755e-03,2.763e-03
488.9,336.7604,105.0723,2.739e-03,2.743e-03
497.0,327.6943,103.4318,2.710e-03,2.709e-03
502.5,321.3392,102.1375,2.672e-03,2.682e-03
509.9,312.4435,100.3589,2.628e-03,2.645e-03
516.1,304.7839,98.7756,2.590e-03,2.612e-03
521.9,297.5767,97.2522,2.555e-03,2.581e-03
529.8,287.6590,95.0582,2.509e-03,2.534e-03
536.9,278.6678,92.9552,2.471e-03,2.489e-03
543.4,270.6716,90.8904,2.439e-03,2.444e-03
545.9,267.5530,90.1671,2.434e-03,2.428e-03
546.2,267.3181,90.0970,2.434e-03,2.427e-03
551.5,260.5898,88.1021,2.397e-03,2.385e-03
556.9,252.6752,85.7975,2.341e-03,2.328e-03
563.9,241.7482,82.7490,2.276e-03,2.254e-03
570.5,230.4345,79.7247,2.226e-03,2.178e-03
575.9,220.6243,77.1059,2.202e-03,2.113e-03
583.9,205.2411,73.0558,2.217e-03,2.009e-03
590.9,191.4182,69.4162,2.277e-03,1.916e-03
597.4,177.9923,65.7132,2.433e-03,1.818e-03
602.9,166.4770,63.0428,2.420e-03,1.749e-03
608.9,153.6698,60.0259,2.365e-03,1.669e-03
