x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,6.235e-12,2.640e-13
43.9,0.0000,0.0000,3.333e-23,2.060e-24
46.4,0.1904,0.1559,4.316e-05,3.847e-06
48.8,0.0000,0.0000,2.683e-23,4.278e-24
49.9,1.0317,0.7246,7.450e-05,1.879e-05
50.8,2.1206,1.7602,2.694e-04,4.477e-05
57.5,13.1877,10.4104,1.756e-03,2.629e-04
65.9,32.3898,20.8603,2.820e-03,5.344e-04
71.9,48.9432,28.2378,3.227e-03,7.283e-04
77.9,67.2332,35.5137,3.514e-03,9.193e-04
86.4,95.4061,46.0162,3.692e-03,1.195e-03
89.9,107.5278,49.3539,3.927e-03,1.280e-03
92.2,115.5270,51.4772,4.037e-03,1.335e-03
100.8,146.8685,61.8290,3.801e-03,1.604e-03
106.6,168.2950,68.4851,3.661e-03,1.775e-03
113.9,195.8706,76.8514,3.471e-03,1.989e-03
121.0,222.5607,84.6877,3.317e-03,2.187e-03
126.7,244.2606,90.9404,3.219e-03,2.343e-03
135.3,276.5028,99.9228,3.153e-03,2.566e-03
141.1,297.6679,105.9836,3.126e-03,2.715e-03
146.9,318.8691,110.7316,3.248e-03,2.829e-03
155.4,348.8665,117.3123,3.291e-03,2.983e-03
161.1,368.5606,122.7162,3.223e-03,3.110e-03
167.9,391.1528,128.4674,3.258e-03,3.242e-03
175.4,415.0008,134.6086,3.348e-03,3.381e-03
181.1,432.2234,139.0700,3.444e-03,3.480e-03
189.7,456.2570,145.3474,3.597e-03,3.617e-03
195.4,470.8484,149.5296,3.707e-03,3.706e-03
203.9,490.0589,154.1461,3.806e-03,3.800e-03
204.1,490.3611,154.2212,3.807e-03,3.801e-03
209.9,502.1118,157.0391,3.827e-03,3.847e-03
215.9,514.9843,160.0896,3.870e-03,3.904e-03
223.8,531.6417,163.7988,3.936e-03,3.969e-03
230.9,546.7263,166.9370,3.997e-03,4.024e-03
238.0,561.3517,169.9012,4.056e-03,4.074e-03
245.9,577.4609,173.0292,4.117e-03,4.127e-03
251.9,589.1509,175.2794,4.160e-03,4.164e-03
257.9,600.6732,177.5117,4.206e-03,4.202e-03
260.9,606.1416,178.3560,4.219e-03,4.216e-03
263.9,611.6551,179.1507,4.228e-03,4.228e-03
269.9,622.1534,181.1487,4.267e-03,4.262e-03
277.6,635.0202,183.5066,4.325e-03,4.302e-03
284.9,646.5705,185.6811,4.387e-03,4.340e-03
291.6,656.5655,187.5801,4.442e-03,4.374e-03
299.9,667.8734,189.7946,4.505e-03,4.414e-03
305.7,675.2518,191.2569,4.543e-03,4.442e-03
311.9,682.5134,192.8366,4.589e-03,4.473e-03
317.9,689.0121,193.9254,4.594e-03,4.494e-03
319.8,690.8586,194.2069,4.594e-03,4.499e-03
325.4,696.2594,195.3719,4.629e-03,4.522e-03
333.8,703.3239,196.9281,4.673e-03,4.554e-03
339.4,707.3774,197.8683,4.695e-03,4.574e-03
347.8,712.4009,199.1130,4.710e-03,4.600e-03
353.9,715.2842,199.8931,4.709e-03,4.617e-03
359.9,717.4021,200.5407,4.699e-03,4.631e-03
367.3,719.0333,201.2493,4.677e-03,4.646e-03
374.9,719.5141,201.4616,4.664e-03,4.652e-03
375.1,719.5125,201.4511,4.664e-03,4.652e-03
381.2,718.9206,201.0207,4.682e-03,4.640e-03
389.6,716.7926,200.1410,4.728e-03,4.618e-03
395.1,714.5695,199.4502,4.747e-03,4.600e-03
401.9,711.0276,198.4881,4.759e-03,4.577e-03
409.0,706.4481,197.3479,4.754e-03,4.550e-03
414.5,702.2288,196.3656,4.735e-03,4.527e-03
422.8,694.9004,194.7630,4.692e-03,4.491e-03
428.9,688.7376,193.4409,4.642e-03,4.463e-03
431.9,685.4831,192.8292,4.644e-03,4.450e-03
436.6,680.1455,191.7933,4.645e-03,4.428e-03
443.9,671.0544,189.8890,4.576e-03,4.388e-03
449.9,662.9789,188.2653,4.522e-03,4.356e-03
455.9,654.3467,186.5778,4.459e-03,4.322e-03
464.1,641.6943,184.1499,4.367e-03,4.276e-03
469.6,632.6757,182.4506,4.303e-03,4.244e-03
477.8,618.4008,179.8180,4.214e-03,4.196e-03
483.3,608.3777,177.9130,4.148e-03,4.162e-03
488.9,597.7939,176.1479,4.124e-03,4.132e-03
497.0,581.7826,173.3320,4.090e-03,4.082e-03
502.5,570.5582,171.1057,4.032e-03,4.043e-03
509.9,554.8437,168.0486,3.967e-03,3.989e-03
516.1,541.3101,165.3278,3.909e-03,3.941e-03
521.9,528.5727,162.7117,3.857e-03,3.894e-03
529.8,511.0393,158.9481,3.787e-03,3.826e-03
536.9,495.1359,155.3456,3.730e-03,3.760e-03
543.4,480.9844,151.8162,3.685e-03,3.693e-03
545.9,475.4622,150.5786,3.680e-03,3.671e-03
546.2,475.0463,150.4574,3.679e-03,3.669e-03
551.5,463.1277,147.0489,3.626e-03,3.606e-03
556.9,449.1010,143.1525,3.544e-03,3.521e-03
563.9,429.7260,137.9973,3.450e-03,3.411e-03
570.5,409.6578,132.8939,3.388e-03,3.299e-03
575.9,392.2504,128.4811,3.378e-03,3.200e-03
583.9,364.9458,121.6685,3.464e-03,3.046e-03
590.9,340.4018,115.5578,3.632e-03,2.905e-03
597.4,316.5564,109.3532,3.983e-03,2.759e-03
602.9,296.0990,104.8811,3.983e-03,2.654e-03
608.9,273.3420,99.8335,3.907e-03,2.533e-03
616.2,245.1420,92.1859,4.298e-03,2.346e-03
623.9,215.1109,84.1960,4.678e-03,2.147e-03
629.6,192.7344,78.0439,5.027e-03,1.992e-03
635.9,168.1932,71.1960,5.427e-03,1.817e-03
643.0,140.8429,63.3003,5.913e-03,1.613e-03
648.4,120.6173,57.3495,6.250e-03,1.458e-03
656.4,91.4995,48.1829,6.895e-03,1.212e-03
659.9,79.1683,44.7446,6.743e-03,1.123e-03
662.9,69.1125,41.6165,6.265e-03,1.046e-03
669.7,47.5844,32.8759,5.348e-03,8.230e-04
677.7,25.7421,22.7502,4.152e-03,5.648e-04
683.9,12.2225,14.7205,2.985e-03,3.615e-04
690.9,2.4053,5.2257,1.126e-03,1.274e-04
695.3,0.0000,0.0000,9.388e-23,8.685e-24
696.4,0.0424,0.5686,1.548e-04,1.318e-05
700.3,0.0381,0.4755,1.300e-04,1.107e-05
704.9,0.0557,0.2743,9.564e-05,6.505e-06
705.5,0.0519,0.2609,1.005e-04,6.240e-06
711.6,0.0000,0.0000,4.873e-23,6.126e-24
716.9,0.2593,1.5140,1.208e-04,4.540e-05
722.2,0.0000,0.0000,2.501e-16,2.015e-18
725.0,3.0335,5.8363,1.210e-03,2.005e-04
733.5,33.1161,32.7260,8.490e-03,1.128e-03
742.0,87.0417,58.9028,1.373e-02,2.020e-03
750.5,157.8380,85.1215,1.859e-02,2.907e-03
759.0,240.6139,111.1029,2.293e-02,3.777e-03
767.5,332.0864,137.0194,2.706e-02,4.637e-03
768.9,347.5980,140.2939,2.767e-02,4.745e-03
774.9,415.9026,154.2808,2.752e-02,5.194e-03
783.9,522.1807,180.9550,2.463e-02,6.019e-03
792.9,632.0112,206.4719,2.236e-02,6.789e-03
801.7,740.3155,231.4263,2.013e-02,7.526e-03
810.2,847.5577,255.0789,1.826e-02,8.217e-03
818.8,954.5429,279.4631,1.628e-02,8.918e-03
825.9,1043.4601,295.0882,1.603e-02,9.377e-03
833.1,1131.7549,310.6397,1.568e-02,9.827e-03
841.7,1236.8213,334.0541,1.401e-02,1.048e-02
850.3,1338.6127,355.5647,1.311e-02,1.107e-02
858.9,1437.8316,376.7236,1.257e-02,1.166e-02
867.5,1530.9594,396.9241,1.246e-02,1.221e-02
876.1,1618.4644,416.7499,1.279e-02,1.277e-02
882.7,1677.8962,429.8650,1.313e-02,1.310e-02
882.9,1679.0001,430.1258,1.314e-02,1.310e-02
884.7,1695.1005,433.0543,1.322e-02,1.318e-02
893.4,1776.0192,450.2176,1.362e-02,1.361e-02
902.0,1863.6715,466.8453,1.397e-02,1.403e-02
910.7,1955.7979,483.0938,1.430e-02,1.443e-02
919.3,2051.1779,498.8972,1.464e-02,1.482e-02
928.0,2148.5889,514.1437,1.501e-02,1.518e-02
936.9,2250.0640,529.6001,1.545e-02,1.555e-02
939.9,2284.3539,533.7024,1.562e-02,1.564e-02
945.4,2347.0065,541.2734,1.564e-02,1.581e-02
954.1,2446.8147,555.9382,1.537e-02,1.612e-02
962.8,2546.9112,569.4750,1.533e-02,1.640e-02
971.5,2646.4485,582.6700,1.543e-02,1.667e-02
980.2,2745.7355,595.1540,1.568e-02,1.692e-02
988.9,2843.7484,607.6340,1.611e-02,1.716e-02
996.9,2932.8907,616.6071,1.644e-02,1.733e-02
1003.5,3004.4981,623.6472,1.653e-02,1.744e-02
1012.2,3099.0663,634.9202,1.666e-02,1.763e-02
1020.9,3190.4495,645.1800,1.688e-02,1.779e-02
1029.7,3279.3344,655.0707,1.716e-02,1.794e-02
1038.5,3362.9779,664.3992,1.751e-02,1.807e-02
1047.2,3441.8693,673.3610,1.801e-02,1.819e-02
1053.8,3494.4264,679.2659,1.830e-02,1.825e-02
1053.9,3495.2704,679.3713,1.829e-02,1.825e-02
1056.0,3512.0078,680.9372,1.824e-02,1.826e-02
1064.8,3585.9338,688.6452,1.799e-02,1.832e-02
1073.6,3665.0805,695.8699,1.781e-02,1.837e-02
1082.4,3747.7046,702.7246,1.770e-02,1.840e-02
1091.2,3832.6933,709.1881,1.766e-02,1.843e-02
1100.0,3919.1147,715.2546,1.771e-02,1.845e-02
1108.8,4006.4573,721.0399,1.784e-02,1.846e-02
