x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.220e-11,5.146e-13
43.9,0.0000,0.0000,6.531e-23,3.704e-24
46.4,0.3801,0.2857,8.602e-05,6.349e-06
48.8,0.0000,0.0000,4.778e-23,7.837e-24
49.9,2.0604,1.3053,1.471e-04,3.094e-05
50.8,4.2351,3.1848,5.355e-04,7.372e-05
57.5,26.3382,18.8642,3.495e-03,4.329e-04
65.9,64.6907,37.6687,5.598e-03,8.800e-04
71.9,97.7553,50.9012,6.389e-03,1.199e-03
77.9,134.2912,63.9477,6.936e-03,1.513e-03
86.4,190.5756,82.7720,7.242e-03,1.966e-03
89.9,214.7951,88.7738,7.701e-03,2.107e-03
92.2,230.7786,92.5887,7.914e-03,2.197e-03
100.8,293.4099,111.1337,7.368e-03,2.639e-03
106.6,336.2347,123.0713,7.030e-03,2.920e-03
113.9,391.3589,138.0875,6.556e-03,3.270e-03
121.0,444.7244,152.1646,6.143e-03,3.595e-03
126.7,488.1212,163.4054,5.851e-03,3.852e-03
135.3,552.6179,179.5673,5.575e-03,4.217e-03
141.1,594.9681,190.4811,5.412e-03,4.460e-03
146.9,637.4015,199.0415,5.616e-03,4.646e-03
155.4,697.4596,210.9110,5.630e-03,4.898e-03
161.1,736.9028,220.6576,5.387e-03,5.104e-03
167.9,782.1653,231.0437,5.377e-03,5.320e-03
175.4,829.9632,242.1444,5.489e-03,5.545e-03
181.1,864.4960,250.2172,5.642e-03,5.706e-03
189.7,912.7095,261.5877,5.900e-03,5.928e-03
195.4,941.9982,269.1728,6.085e-03,6.074e-03
203.9,980.5874,277.5677,6.234e-03,6.224e-03
204.1,981.1949,277.7058,6.235e-03,6.226e-03
209.9,1004.8234,282.8707,6.257e-03,6.300e-03
215.9,1030.7250,288.4310,6.319e-03,6.391e-03
223.8,1064.2667,295.2045,6.425e-03,6.496e-03
230.9,1094.6583,300.9352,6.528e-03,6.584e-03
238.0,1124.1406,306.3493,6.624e-03,6.665e-03
245.9,1156.6257,312.0625,6.721e-03,6.750e-03
251.9,1180.2085,316.1719,6.787e-03,6.810e-03
257.9,1203.4564,320.2472,6.858e-03,6.872e-03
260.9,1214.4929,321.7904,6.874e-03,6.894e-03
263.9,1225.6195,323.2381,6.889e-03,6.914e-03
269.9,1246.8110,326.8651,6.972e-03,6.968e-03
277.6,1272.7854,331.1446,7.091e-03,7.034e-03
284.9,1296.1051,335.0882,7.218e-03,7.097e-03
291.6,1316.2844,338.5305,7.328e-03,7.153e-03
299.9,1339.1144,342.5424,7.447e-03,7.221e-03
305.7,1354.0091,345.1907,7.515e-03,7.267e-03
311.9,1368.6671,348.0520,7.593e-03,7.319e-03
317.9,1381.7823,350.0273,7.583e-03,7.353e-03
319.8,1385.5087,350.5354,7.582e-03,7.362e-03
325.4,1396.4053,352.6294,7.664e-03,7.402e-03
333.8,1410.6548,355.4279,7.762e-03,7.456e-03
339.4,1418.8277,357.1203,7.807e-03,7.489e-03
347.8,1428.9519,359.3644,7.831e-03,7.534e-03
353.9,1434.7595,360.7745,7.816e-03,7.563e-03
359.9,1439.0229,361.9489,7.779e-03,7.587e-03
367.3,1442.3039,363.2447,7.703e-03,7.614e-03
374.9,1443.2689,363.6452,7.647e-03,7.624e-03
375.1,1443.2658,363.6263,7.646e-03,7.623e-03
381.2,1442.0756,362.8383,7.701e-03,7.604e-03
389.6,1437.7940,361.2345,7.836e-03,7.564e-03
395.1,1433.3194,359.9828,7.895e-03,7.535e-03
401.9,1426.1859,358.2441,7.938e-03,7.494e-03
409.0,1416.9588,356.1874,7.941e-03,7.448e-03
414.5,1408.4536,354.4177,7.908e-03,7.409e-03
422.8,1393.6766,351.5320,7.821e-03,7.348e-03
428.9,1381.2453,349.1534,7.711e-03,7.299e-03
431.9,1374.6803,348.0484,7.719e-03,7.277e-03
436.6,1363.9108,346.1702,7.744e-03,7.241e-03
443.9,1345.5660,342.7219,7.623e-03,7.174e-03
449.9,1329.2682,339.7816,7.526e-03,7.119e-03
455.9,1311.8459,336.7252,7.404e-03,7.063e-03
464.1,1286.3081,332.3262,7.223e-03,6.985e-03
469.6,1268.1055,329.2462,7.092e-03,6.933e-03
477.8,1239.2951,324.4711,6.909e-03,6.854e-03
483.3,1219.0687,321.0162,6.772e-03,6.798e-03
488.9,1197.7133,317.8060,6.732e-03,6.749e-03
497.0,1165.4136,312.6704,6.700e-03,6.668e-03
502.5,1142.7756,308.6115,6.603e-03,6.605e-03
509.9,1111.0918,303.0385,6.499e-03,6.517e-03
516.1,1083.8142,298.0795,6.401e-03,6.440e-03
521.9,1058.1512,293.3128,6.312e-03,6.365e-03
529.8,1022.8418,286.4581,6.192e-03,6.255e-03
536.9,990.8360,279.8996,6.097e-03,6.149e-03
543.4,962.3763,273.4803,6.025e-03,6.042e-03
545.9,951.2776,271.2248,6.022e-03,6.006e-03
546.2,950.4419,271.0022,6.022e-03,6.004e-03
551.5,926.5028,264.7864,5.940e-03,5.901e-03
556.9,898.3467,257.7337,5.805e-03,5.765e-03
563.9,859.4787,248.3993,5.659e-03,5.586e-03
570.5,819.2393,239.1703,5.589e-03,5.404e-03
575.9,784.3505,231.1967,5.629e-03,5.244e-03
583.9,729.6455,218.8995,5.926e-03,4.993e-03
590.9,680.4928,207.8807,6.387e-03,4.764e-03
597.4,632.7545,196.7114,7.233e-03,4.526e-03
602.9,591.8113,188.6500,7.273e-03,4.355e-03
608.9,546.2765,179.5525,7.164e-03,4.158e-03
616.2,489.8677,165.8093,8.087e-03,3.851e-03
623.9,429.8122,151.4645,8.954e-03,3.526e-03
629.6,385.0753,140.4356,9.724e-03,3.272e-03
635.9,336.0184,128.1760,1.059e-02,2.986e-03
643.0,281.3572,114.0687,1.162e-02,2.652e-03
648.4,240.9406,103.4551,1.233e-02,2.396e-03
656.4,182.7635,87.1802,1.366e-02,1.992e-03
659.9,158.1279,81.0219,1.337e-02,1.847e-03
662.9,138.0398,75.3528,1.242e-02,1.720e-03
669.7,95.0365,59.5941,1.061e-02,1.354e-03
677.7,51.4100,41.3276,8.249e-03,9.291e-04
683.9,24.4087,26.8078,5.937e-03,5.948e-04
690.9,4.8031,9.5325,2.240e-03,2.096e-04
695.3,0.0000,0.0000,1.603e-22,1.583e-23
696.4,0.0846,1.0469,3.085e-04,2.170e-05
700.3,0.0746,0.8754,2.588e-04,1.827e-05
704.9,0.1084,0.5100,1.883e-04,1.114e-05
705.5,0.1009,0.4876,1.971e-04,1.089e-05
711.6,0.0000,0.0000,9.587e-23,1.187e-23
716.9,0.5042,2.9170,2.350e-04,8.750e-05
722.2,0.0000,0.0000,4.622e-16,3.904e-18
725.0,5.9000,11.2413,2.351e-03,3.869e-04
