x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.587e-11,1.088e-12
43.9,0.0000,0.0000,1.390e-22,7.449e-24
46.4,0.8225,0.5741,1.860e-04,1.143e-05
48.8,0.0000,0.0000,9.428e-23,1.578e-23
49.9,4.4612,2.5896,3.158e-04,5.607e-05
50.8,9.1696,6.3456,1.155e-03,1.335e-04
57.5,57.0266,37.6371,7.545e-03,7.836e-04
65.9,140.0718,74.9047,1.207e-02,1.594e-03
71.9,211.6729,101.0518,1.375e-02,2.172e-03
77.9,290.7976,126.8302,1.489e-02,2.742e-03
86.4,412.7059,164.0206,1.548e-02,3.565e-03
89.9,465.1698,175.9216,1.646e-02,3.820e-03
92.2,499.7953,183.4832,1.691e-02,3.982e-03
100.8,635.4912,220.1421,1.563e-02,4.785e-03
106.6,728.2918,243.7782,1.481e-02,5.297e-03
113.9,847.7677,273.5473,1.365e-02,5.935e-03
121.0,963.4589,301.4956,1.260e-02,6.527e-03
126.7,1057.5608,323.8440,1.181e-02,6.996e-03
135.3,1197.4563,356.0263,1.098e-02,7.661e-03
141.1,1289.3446,377.7941,1.044e-02,8.107e-03
146.9,1381.4394,394.9046,1.082e-02,8.447e-03
155.4,1511.8327,418.6712,1.074e-02,8.908e-03
161.1,1597.5014,438.2004,1.002e-02,9.288e-03
167.9,1695.8454,459.0630,9.866e-03,9.685e-03
175.4,1799.7455,481.4084,1.000e-02,1.010e-02
181.1,1874.8449,497.6971,1.028e-02,1.040e-02
189.7,1979.7546,520.6947,1.078e-02,1.081e-02
195.4,2043.5268,536.0839,1.114e-02,1.109e-02
203.9,2127.6188,553.1955,1.139e-02,1.137e-02
204.1,2128.9436,553.4805,1.139e-02,1.137e-02
209.9,2180.4913,564.1456,1.142e-02,1.152e-02
215.9,2237.0402,575.6178,1.153e-02,1.170e-02
223.8,2310.3290,589.6416,1.174e-02,1.190e-02
230.9,2376.7762,601.5351,1.195e-02,1.208e-02
238.0,2441.2739,612.7991,1.215e-02,1.224e-02
245.9,2512.3702,624.7092,1.234e-02,1.241e-02
251.9,2564.0059,633.2869,1.247e-02,1.254e-02
257.9,2614.9174,641.8005,1.260e-02,1.266e-02
260.9,2639.0947,645.0320,1.263e-02,1.271e-02
263.9,2663.4671,648.0620,1.266e-02,1.275e-02
269.9,2709.8994,655.6286,1.287e-02,1.286e-02
277.6,2766.8170,664.5609,1.315e-02,1.300e-02
284.9,2817.9253,672.7875,1.346e-02,1.313e-02
291.6,2862.1514,679.9644,1.371e-02,1.325e-02
299.9,2912.1871,688.3207,1.398e-02,1.339e-02
305.7,2944.8275,693.8302,1.412e-02,1.348e-02
