x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.919e-10,1.630e-11
43.9,0.0000,0.0000,1.363e-22,6.750e-24
46.4,0.8465,0.5549,1.856e-04,1.111e-05
48.8,0.0000,0.0000,2.070e-22,1.862e-23
49.9,4.5881,2.6069,2.995e-04,5.453e-05
50.8,9.5212,6.3708,1.129e-03,1.296e-04
57.5,59.0670,37.7075,7.424e-03,7.593e-04
65.9,145.0778,75.1836,1.172e-02,1.546e-03
71.9,219.1764,101.5753,1.318e-02,2.109e-03
77.9,301.1181,127.6453,1.411e-02,2.665e-03
86.4,427.2197,165.3641,1.435e-02,3.469e-03
89.9,481.5511,177.3858,1.528e-02,3.718e-03
92.2,517.2751,185.0368,1.570e-02,3.876e-03
100.8,657.6944,222.4052,1.410e-02,4.664e-03
106.6,753.4931,246.5423,1.311e-02,5.167e-03
113.9,876.9727,277.0137,1.179e-02,5.797e-03
121.0,996.1501,305.6886,1.070e-02,6.383e-03
126.7,1093.2387,328.6757,1.001e-02,6.849e-03
135.3,1236.8344,361.8588,9.524e-03,7.513e-03
141.1,1331.2603,384.3993,9.489e-03,7.961e-03
146.9,1425.1360,402.0762,9.863e-03,8.300e-03
155.4,1557.8857,426.9057,9.873e-03,8.766e-03
161.1,1644.0387,447.5182,9.736e-03,9.157e-03
167.9,1742.9493,469.5941,9.929e-03,9.568e-03
175.4,1845.1110,493.3734,1.032e-02,1.001e-02
181.1,1918.5681,510.7536,1.063e-02,1.032e-02
189.7,2016.8605,535.6753,1.104e-02,1.076e-02
195.4,2075.1394,551.7079,1.119e-02,1.105e-02
203.2,2139.1196,571.8916,1.137e-02,1.137e-02
203.9,2144.1134,573.1848,1.138e-02,1.138e-02
204.5,2148.4605,574.1673,1.139e-02,1.139e-02
204.6,2148.8503,574.3908,1.139e-02,1.139e-02
209.9,2187.3065,585.6240,1.133e-02,1.153e-02
215.9,2235.9866,598.3764,1.139e-02,1.174e-02
223.8,2302.3309,614.1900,1.161e-02,1.199e-02
230.9,2364.4599,627.5997,1.185e-02,1.220e-02
238.0,2426.4885,640.3322,1.209e-02,1.240e-02
245.9,2495.9928,653.8092,1.236e-02,1.261e-02
251.9,2547.3827,663.5107,1.256e-02,1.276e-02
257.9,2598.3153,673.1548,1.279e-02,1.291e-02
260.9,2622.8181,676.7462,1.291e-02,1.296e-02
263.9,2647.4003,680.1009,1.294e-02,1.301e-02
269.9,2694.7780,688.6183,1.291e-02,1.315e-02
277.6,2753.1065,698.6241,1.304e-02,1.331e-02
284.9,2805.9335,707.8095,1.327e-02,1.346e-02
291.6,2851.8459,715.7899,1.353e-02,1.360e-02
299.9,2904.1604,725.0392,1.389e-02,1.376e-02
305.7,2938.4175,731.0971,1.412e-02,1.387e-02
311.9,2972.3446,737.6378,1.444e-02,1.399e-02
317.9,3002.7823,742.0299,1.443e-02,1.406e-02
319.8,3011.5053,743.1476,1.440e-02,1.408e-02
325.4,3036.9271,747.8667,1.457e-02,1.417e-02
333.8,3070.4733,754.1268,1.481e-02,1.429e-02
339.4,3089.8393,757.8946,1.493e-02,1.437e-02
347.8,3114.0907,762.8645,1.503e-02,1.446e-02
353.9,3128.1847,765.9638,1.502e-02,1.453e-02
359.9,3138.7304,768.5652,1.496e-02,1.458e-02
367.3,3147.1835,771.2400,1.476e-02,1.463e-02
374.2,3150.2735,772.8166,1.468e-02,1.466e-02
374.9,3150.3236,772.8097,1.468e-02,1.466e-02
375.6,3150.3186,772.7044,1.467e-02,1.466e-02
381.2,3148.3903,771.2120,1.484e-02,1.463e-02
389.6,3139.4465,767.8460,1.525e-02,1.456e-02
