x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,7.601e-11,3.168e-12
43.9,0.0000,0.0000,2.818e-23,1.353e-24
46.4,0.1658,0.1393,3.649e-05,3.788e-06
48.8,0.0000,0.0000,5.249e-23,3.891e-24
49.9,0.8973,0.6666,6.070e-05,1.854e-05
50.8,1.8619,1.6133,2.240e-04,4.415e-05
57.5,11.5512,9.5246,1.468e-03,2.591e-04
65.9,28.3695,19.1399,2.332e-03,5.271e-04
71.9,42.8568,25.9503,2.646e-03,7.186e-04
77.9,58.8754,32.6720,2.860e-03,9.074e-04
86.4,83.5220,42.3862,2.973e-03,1.180e-03
89.9,94.1390,45.4585,3.167e-03,1.265e-03
92.2,101.1195,47.4142,3.258e-03,1.319e-03
100.8,128.5511,57.0000,3.046e-03,1.585e-03
106.6,147.2609,63.1608,2.935e-03,1.755e-03
113.9,171.3690,70.9049,2.807e-03,1.968e-03
121.0,194.6290,78.1578,2.735e-03,2.165e-03
126.7,213.5704,83.9450,2.721e-03,2.322e-03
135.3,241.5731,92.2574,2.789e-03,2.544e-03
141.1,259.9773,97.8697,2.881e-03,2.694e-03
146.9,278.2668,102.2523,3.000e-03,2.808e-03
155.4,304.1145,108.3600,3.087e-03,2.964e-03
161.1,320.8799,113.4031,3.147e-03,3.094e-03
167.9,340.1155,118.7656,3.253e-03,3.229e-03
175.4,359.9701,124.5004,3.390e-03,3.372e-03
181.1,374.2347,128.6611,3.494e-03,3.474e-03
189.7,393.3054,134.5741,3.637e-03,3.616e-03
195.4,404.5990,138.3542,3.723e-03,3.709e-03
203.2,416.9788,142.9976,3.808e-03,3.806e-03
203.9,417.9438,143.2867,3.812e-03,3.811e-03
204.5,418.7835,143.4991,3.815e-03,3.814e-03
204.6,418.8587,143.5465,3.815e-03,3.814e-03
209.9,426.2793,146.0079,3.829e-03,3.857e-03
215.9,435.6587,148.8533,3.870e-03,3.919e-03
223.8,448.4220,152.3355,3.939e-03,3.989e-03
230.9,460.3611,155.2705,4.005e-03,4.048e-03
238.0,472.2690,158.0386,4.070e-03,4.103e-03
245.9,485.6029,160.9532,4.142e-03,4.160e-03
251.9,495.4552,163.0447,4.197e-03,4.200e-03
257.9,505.2168,165.1199,4.257e-03,4.241e-03
260.9,509.9109,165.8881,4.282e-03,4.255e-03
263.9,514.6204,166.6087,4.290e-03,4.268e-03
269.9,523.6944,168.4571,4.297e-03,4.303e-03
277.6,534.8639,170.6270,4.326e-03,4.345e-03
284.9,544.9787,172.6239,4.369e-03,4.384e-03
291.6,553.7698,174.3626,4.417e-03,4.418e-03
