id,status,category,confidence,U10,gust3s,U_deck,Iu,stationarity,rms_L_max_mm,rms_V_max_mm,rms_Tcw_max_rad,rms_Tg_max_rad,peak_L_mm,peak_V_mm,peak_Tcw_rad,peak_Tg_rad,rms_csv
site_gb50009_50yr,OK,design_code,B,26.8,,32.719719359691474,0.12,stationary_ok,3719.8812544070115,390.8854734487762,0.013386576688993634,0.013046431037796761,10222.320245363437,1186.1317602746315,0.04035776685595524,0.04017911952375048,buffeting_rms_alongspan_site_gb50009_50yr.csv
site_gb50009_100yr,OK,design_code,B,28.3,,34.551046935793615,0.12,stationary_ok,4195.8198044692135,439.7975400916817,0.015093068458293056,0.014608885728030437,11529.844359837574,1333.8497885904533,0.045481426299260864,0.04497693279549794,buffeting_rms_alongspan_site_gb50009_100yr.csv
site_sutong_100yr_obs,OK,design_code,A,38.9,,47.49242847358203,0.11,stationary_ok,7705.516894451661,803.6527155362743,0.02771492844477792,0.02632197518165915,21172.90279395917,2431.205317907602,0.08336435238677138,0.08093723002972146,buffeting_rms_alongspan_site_sutong_100yr_obs.csv
hko_t10,OK,design_code,B,32.8,,40.045029664100014,0.12,stationary_ok,5802.386118377836,605.8941432493164,0.02085547806047694,0.019804279500812382,15943.28017435908,1835.246434688208,0.0627788954014653,0.06091915696072315,buffeting_rms_alongspan_hko_t10.csv
asce7_risk4_fl,OK,design_code,B,58.3,82.8,71.17759845783631,0.12,stationary_ok,19842.54313027674,2077.225163144908,0.07175589968521613,0.06992479425919446,54531.235780031195,6276.142219863553,0.2158411293157331,0.21500396099439426,buffeting_rms_alongspan_asce7_risk4_fl.csv
ss_cat1,OK,hurricane,B,28.9,,35.283577966234475,0.12,stationary_ok,4394.549008092804,460.20913936042666,0.015805643251525902,0.015257877217849554,12075.794945404235,1395.476277670612,0.04762067121877548,0.046969299628289087,buffeting_rms_alongspan_ss_cat1.csv
ss_cat2,OK,hurricane,B,37.7,,46.02736641270033,0.12,stationary_ok,7855.40176811567,819.4122995624124,0.02824882671219066,0.026781942116593835,21584.573129303357,2479.4230826525995,0.08497956973402897,0.08235413505014127,buffeting_rms_alongspan_ss_cat2.csv
ss_cat3,OK,hurricane,B,43.9,,53.59685372725582,0.12,stationary_ok,10900.438664797593,1136.973747383538,0.039243931349333176,0.03754463766543923,29952.85582385072,3437.2200835366366,0.11800873666754273,0.11543616726251092,buffeting_rms_alongspan_ss_cat3.csv
ss_cat4,OK,hurricane,B,50.9,,62.143049082399116,0.12,stationary_ok,14926.503417238726,1560.0597261218688,0.053850922084358856,0.05200147243335685,41017.98686065342,4714.59901279459,0.16193658617876333,0.15988015448895898,buffeting_rms_alongspan_ss_cat4.csv
ss_cat5,OK,hurricane,B,61.4,,74.96234211511407,0.12,stationary_ok,22098.476739139478,2314.61559559331,0.07999373939253548,0.07823771904035723,60733.11170331263,6993.075008524226,0.24065977926008777,0.24058664204937072,buffeting_rms_alongspan_ss_cat5.csv
