source,rel,target,contract,note
s10,SIMPLIFIED_BY,deck,R1-R7,
deck,HAS_LINE,line:MIB,,
deck,HAS_LINE,line:MIG,,
deck,HAS_LINE,line:MOB,,
deck,HAS_LINE,line:MOG,,
deck,HAS_LINE,line:PIB,,
deck,HAS_LINE,line:PIG,,
deck,HAS_LINE,line:POB,,
deck,HAS_LINE,line:POG,,
deck,HAS,portals,,
deck,HAS,passages,,
deck,CHECKED_BY,gate:G-P1,,
deck,CHECKED_BY,gate:G-P2,,
deck,CHECKED_BY,gate:UY,,
deck,CHECKED_BY,gate:G-P3,,
deck,CHECKED_BY,gate:G-P4,,
deck,HAS_FAMILY,family:L,,
deck,HAS_FAMILY,family:V,,
deck,HAS_FAMILY,family:T,,
table41:LS1,COMPARED_TO,attach23,,comparison_only
table41:LS1,PAIRED_WITH,mode:5,,
table41:VA1,COMPARED_TO,attach23,,comparison_only
table41:VA1,PAIRED_WITH,mode:6,,
table41:LA1,COMPARED_TO,attach23,,comparison_only
table41:LA1,PAIRED_WITH,mode:7,,
table41:TA1,COMPARED_TO,attach23,,comparison_only
table41:TA1,PAIRED_WITH,mode:9,,
table41:VS1,COMPARED_TO,attach23,,comparison_only
table41:VS1,PAIRED_WITH,mode:8,,
table41:LS2,COMPARED_TO,attach23,,comparison_only
table41:LS2,PAIRED_WITH,mode:11,,
table41:TS1,COMPARED_TO,attach23,,comparison_only
table41:TS1,PAIRED_WITH,mode:10,,
table41:SIDE1,COMPARED_TO,attach23,,comparison_only
table41:SIDE1,PAIRED_WITH,mode:12,,
table41:SIDE2,COMPARED_TO,attach23,,comparison_only
table41:SIDE2,PAIRED_WITH,mode:13,,
table41:VA2,COMPARED_TO,attach23,,comparison_only
table41:VA2,PAIRED_WITH,mode:16,,
table41:LA2,COMPARED_TO,attach23,,comparison_only
table41:LA2,PAIRED_WITH,mode:20,,
table41:SIDE3,COMPARED_TO,attach23,,comparison_only
table41:SIDE3,PAIRED_WITH,mode:21,,
table41:TS2,COMPARED_TO,attach23,,comparison_only
table41:TS2,PAIRED_WITH,mode:18,,
table41:VS2,COMPARED_TO,attach23,,comparison_only
table41:VS2,PAIRED_WITH,mode:17,,
mode:5,IN_FAMILY,family:L,,
mode:6,IN_FAMILY,family:V,,
mode:7,IN_FAMILY,family:L,,
mode:8,IN_FAMILY,family:V,,
mode:9,IN_FAMILY,family:T,,
mode:10,IN_FAMILY,family:T,,
mode:11,IN_FAMILY,family:L,,
mode:12,IN_FAMILY,family:L,,
mode:13,IN_FAMILY,family:L,,
mode:14,IN_FAMILY,family:V,,
mode:15,IN_FAMILY,family:T,,
mode:16,IN_FAMILY,family:V,,
mode:17,IN_FAMILY,family:V,,
mode:18,IN_FAMILY,family:T,,
mode:19,IN_FAMILY,family:T,,
mode:20,IN_FAMILY,family:L,,
mode:21,IN_FAMILY,family:V,,
mode:22,IN_FAMILY,family:T,,
mode:23,IN_FAMILY,family:L,,
mode:24,IN_FAMILY,family:V,,
mode:25,IN_FAMILY,family:T,,
mode:26,IN_FAMILY,family:V,,
mode:27,IN_FAMILY,family:L,,
mode:28,IN_FAMILY,family:T,,
mode:29,IN_FAMILY,family:V,,
mode:30,IN_FAMILY,family:T,,
mode:31,IN_FAMILY,family:V,,
mode:32,IN_FAMILY,family:T,,
mode:33,IN_FAMILY,family:L,,
mode:34,IN_FAMILY,family:V,,
mode:35,IN_FAMILY,family:L,,
mode:36,IN_FAMILY,family:T,,
mode:37,IN_FAMILY,family:V,,
mode:38,IN_FAMILY,family:T,,
mode:39,IN_FAMILY,family:L,,
mode:40,IN_FAMILY,family:L,,
