id,type,label,mass_t,sha,coarsen,nodes,elements,n_ropes,y_eq_m,A_eq_mm2,n,n_stations,note,pass,rel,uy_frac,verdict,n_modes,reference_hz,matched_hz,rel_pct,usage,f_hz,family,parity,half_waves,category,confidence,U10,rms_L_max_mm,stationarity
s10,source,S10 V2.0 APDL,4108.46690758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck,model,true3d_ccx.inp,,f089dee33377f1ea65ef7ec543525c85e39b323b091d3a5e27e8adfc14f4f242,4.0,5422.0,7477.0,,,,,,,,,,,,,,,,,,,,,,,,
line:MIB,rope_line,MIB,,,,,,8.0,-19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MIG,rope_line,MIG,,,,,,3.0,-19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:MOB,rope_line,MOB,,,,,,8.0,-23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MOG,rope_line,MOG,,,,,,3.0,-23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
line:PIB,rope_line,PIB,,,,,,8.0,19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:PIG,rope_line,PIG,,,,,,3.0,19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:POB,rope_line,POB,,,,,,8.0,23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:POG,rope_line,POG,,,,,,3.0,23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
portals,component,142 parametric portals,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,
passages,component,passage stations,,,,,,,,,,63.0,63 x-stations = 21 clusters of 3,,,,,,,,,,,,,,,,,,
gate:G-P1,gate,G-P1,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P2,gate,G-P2,,,,,,,,,,,,True,2.3765418143813977e-07,,,,,,,,,,,,,,,,
gate:UY,gate,UY,,,,,,,,,,,,True,,0.01549243821468093,,,,,,,,,,,,,,,
gate:G-P3,gate,G-P3,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P4,gate,G-P4,,,,,,,,,,,,,,,FAIL_resid_over_W_and_residual_RB,,,,,,,,,,,,,,
family:L,mode_family,L family,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
