mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
1,0.0001658395,V,S,9,0.8092610551994438,main,True,2.764460859135668e-06,3.4331137178121246e-05,4.4598753487086354e-14,4.001211835438174e-10
2,0.0001962857,L,S,1,0.48167518589618086,side_SE,True,1.1827684388914702e-05,1.1126472719928045e-05,1.9339653009390426e-13,1.2963345973363316e-10
3,0.0003915819,V,A,38,0.8043594024705908,main,True,4.182308104984517e-06,5.680869886881444e-06,4.3011401603049936e-14,6.620332272817962e-11
4,0.001256283,V,S,1,0.9999509984380545,main,True,9.952364186746209e-06,1.340343795610627e-05,1.269879592730432e-13,1.561619864339188e-10
5,0.03904477,L,S,1,0.9999939158637758,main,False,175336.3703028581,5289.533811609663,0.14281849182322479,0.061647539228678744
6,0.07239382,V,A,2,0.9999608022997345,main,False,48.33442373278382,165377.10646801826,0.002067756987621661,5.740611781496285e-05
7,0.07732622,L,A,2,0.9999837595501082,main,False,173912.9415914857,35444.1834442909,0.8160333747512596,0.4130985035201652
8,0.1028368,V,S,3,0.9999338662492816,main,False,109.76962154655706,160094.07219235957,0.004839670628478919,0.0023719127140988464
9,0.1060377,T,A,2,0.999961876982514,main,False,24595.115233404387,161487.5214614399,3.6551914669437604,1.8821389447715624
10,0.1105746,T,S,3,0.999934924927615,main,False,100722.02327542982,135018.62842044976,2.9752804598195035,1.5736436878479283
11,0.122247,L,S,3,0.9994315469896153,main,False,143679.6358599821,81680.86530386309,1.8851090545056626,0.9519900072366659
12,0.1236713,L,A,2,0.0011078103182904622,side_SE,False,101300.91594820993,7016.284125543914,0.30371973236967975,0.08100443228269401
13,0.1366368,L,S,1,0.00015300581317884623,side_NW,False,89688.82568764398,2231.4269610884985,0.15378617242901121,0.023659803113459006
14,0.1372938,V,A,2,0.0003854386572494154,side_SE,False,56.96102710779533,117788.30233265478,0.02834424203534182,0.014570152445136127
15,0.1404888,T,A,2,0.00033660012611411177,side_SE,False,5615.715506345157,115565.49597641877,2.615612559045217,1.3469171665442896
16,0.1489371,V,A,4,0.9997577618850967,main,False,291.29622233358157,170085.0295522317,0.011820107694811838,0.00585746418008559
17,0.1492284,V,S,1,0.9999476282831764,main,False,522.7998466647398,161714.5211536729,0.14598588094684106,0.07363942238736815
18,0.1505352,T,S,1,0.9999156807337456,main,False,13213.770679712201,160445.46853792213,3.707659552719472,1.8699938058032883
19,0.1533778,T,A,4,0.9997758816569301,main,False,102054.21174451381,143528.6500276874,3.141577770332696,1.6728276533211546
20,0.1615706,L,A,4,0.9999375718603297,main,False,142055.0650321691,86985.07569026414,2.0265721765737483,1.0138119840051625
21,0.1691286,V,S,1,0.00030608022026791857,side_NW,False,264.943176395947,82246.84150498097,0.10909676718232299,0.05404987794729734
22,0.1696232,T,S,1,0.00040745845614539405,side_NW,False,4708.090180763821,81285.55317561072,1.9114566588584307,0.9473840134303769
23,0.1794795,L,S,3,2.081990376555549e-05,side_SE,False,90078.27447547001,6610.406378225082,0.2933445685396876,0.07490658532310997
24,0.1909453,V,S,5,0.9997790233759551,main,False,890.0231561404024,168190.2823409199,0.04397659091633965,0.023096738841038935
25,0.1928147,T,S,5,0.9997804994369619,main,False,74331.71104767958,156097.31641534093,3.430880579081836,1.819316042136841
26,0.2006727,V,S,1,0.000675517281622066,side_SE,False,405.0730327674203,112157.06577041956,0.1305204846387116,0.06342721709408157
27,0.2007072,L,S,5,0.9999329765151724,main,False,158281.8799690872,59306.00742621088,1.4623289282563705,0.6909002234357425
28,0.2014654,T,S,1,0.0006449765831860822,side_SE,False,5475.938359575396,109553.8427269412,2.6242949219236245,1.276851313833725
29,0.2250967,V,A,6,0.9994969385983572,main,False,387.26674779244235,171195.32467931963,0.031011623484041514,0.016172654010388955
30,0.2281632,T,A,6,0.9994438192534708,main,False,42862.011286757144,167059.50179995055,3.656406828731242,1.947080436762357
31,0.2343328,V,A,2,0.001361872235009672,side_SE,False,902.7590885355729,94726.66441614272,0.09286952830068504,0.04844567820872289
32,0.2361094,T,A,2,0.0014210718213383232,side_SE,False,20821.29067535255,93266.75412969079,2.0787396430845337,1.0869759447336207
33,0.241961,L,A,6,0.9997997446290604,main,False,169477.36226891316,28138.864854131367,0.8382012109927448,0.3278871211068063
34,0.2524519,V,A,2,0.0010109874671548574,side_NW,False,542.3986916243342,83098.92751579774,0.07433310650038893,0.03902955922852538
35,0.2536007,L,A,4,0.00044874270277768383,side_SE,False,99254.79334014238,12346.64028950382,0.5490342248921838,0.14196442735387105
36,0.2546468,T,A,2,0.0010069504000217392,side_NW,False,13475.47170218041,81970.93888865566,1.812734852304151,0.9553648064142246
37,0.263651,V,S,7,0.999618802875655,main,False,543.3403697598985,170310.64224620693,0.0560487429478655,0.02948905360271487
38,0.2660544,T,S,7,0.9996237289234984,main,False,32591.37322764565,167549.2848224279,3.643810154011863,1.9527888215550355
39,0.2760787,L,A,2,0.0006990008352434533,side_NW,False,87231.25761116677,6208.599261829295,0.3706947173356584,0.07113269154104025
40,0.2837081,L,S,7,0.9997495814477027,main,False,168362.36979241998,18325.680442079924,0.8018016672461512,0.21250511933976296
41,0.3000005,V,A,8,0.999782861313958,main,False,413.59497924676737,170519.89087997022,0.0510657051119912,0.026391626112803195
42,0.3029168,T,A,8,0.9997810074044436,main,False,26143.1577497203,168440.22739327262,3.6656925141326737,1.963166143904697
43,0.324214,L,A,8,0.9999094188604633,main,False,170177.2158974423,12137.436942261134,0.7807679320384684,0.13713168616885976
44,0.3367824,V,A,2,0.0001267811384587804,side_SE,False,699.8959828192855,81658.25711134021,0.0844510532399099,0.04252033897241648
45,0.338916,V,S,9,0.9994900076930395,main,False,413.9547395318288,171018.99209024926,0.059777499982653734,0.031022476319534868
46,0.3392272,T,A,2,1.596045638245211e-05,side_SE,False,15809.858079116486,79965.21815432554,1.8342793854315271,0.9305873716524815
47,0.3416372,T,S,9,0.9994701220165907,main,False,21332.10868790105,169177.32411427645,3.645928705388648,1.9717636737928466
48,0.3524797,V,S,3,0.0014891425338151329,side_SE,False,1062.941387794143,95162.19761387058,0.16003968608133923,0.08376905496023636
49,0.3543623,T,S,3,0.0015719688993346699,side_SE,False,14222.042720106716,93652.97810336095,2.0766681850126054,1.0915101114150783
50,0.3645123,L,S,5,0.000631382746114417,side_SE,False,107397.45628576304,11494.19545609794,0.6103150464728303,0.13354129355311112
51,0.3686867,L,S,9,0.9996496722654675,main,False,169641.80994835854,8500.253758941803,1.0068166847152789,0.08458033748866878
52,0.3750551,V,A,10,0.998566902074924,main,False,530.1139388182996,169906.26363808347,0.09036943491723604,0.04774259285806388
53,0.3777093,V,S,3,0.007226397340498807,side_NW,False,693.6962428805282,82588.64748589374,0.14286606730212512,0.07509639882529896
54,0.3780649,T,A,10,0.9975806268599524,main,False,18487.12756389923,168332.66690802644,3.6244343156629792,1.9619174351735866
55,0.3800577,T,S,3,0.00661664305557944,side_NW,False,8659.231283458761,81967.29730730837,1.8126310304508069,0.955329793616338
56,0.3841257,L,A,4,0.0006488932085006058,side_SE,False,112782.54744703684,4790.329177145348,0.9557243399089828,0.03262811913489544
57,0.4105976,L,A,10,0.9990833617076242,main,False,166622.36143199806,7233.9135395119165,1.446211433693675,0.04872309458190176
58,0.4110756,V,S,11,0.9997308079325334,main,False,601.979095042039,169429.3506318396,0.10738459209400357,0.055695766390217095
59,0.4139471,L,S,3,0.0027303211025068333,side_NW,False,86562.190526435,4161.805111592879,0.7338844065468966,0.029779455676196318
60,0.4141553,T,S,11,0.9996789028275589,main,False,16591.692349596604,167914.62676174776,3.6093041662787133,1.9569821807857848
61,0.4494374,V,A,12,0.9997219274009824,main,False,598.6594295781447,169011.68042191234,0.110819603196341,0.052042450523805905
62,0.4503642,L,S,11,0.999750037263148,main,False,163769.76761299773,9204.028971404656,2.0162960380521957,0.059571094443106966
63,0.4531024,T,A,12,0.9997052974922168,main,False,14816.341077072377,167932.66135532333,3.489647060506551,1.9572570922194874
64,0.4632084,T,S,1,0.0006818878870644427,side_SE,False,1239.523877078001,37150.807511291685,10.552694797623213,0.0068486908204835545
65,0.4771483,T,S,1,0.0008186825973016586,side_NW,False,1013.8753935927518,32112.970316880328,9.122896131617741,0.005023596065248052
66,0.4856055,T,A,2,0.008953228319036414,side_SE,False,2884.9450681036687,41688.233021032705,11.842050332450942,0.01143960740479796
67,0.4886384,V,A,4,0.005136845506900184,side_SE,False,184.3660364593507,97998.84847346715,0.0740206368022985,0.14695161184889932
68,0.4894952,V,A,4,0.006576538631630097,side_SE,False,1380.2082583911215,97948.87820853204,0.4717286200318642,1.1378478399535197
69,0.4895227,T,A,2,0.9809804947232588,main,False,8718.08749169849,39968.26094190928,11.09837503643804,0.02925465452307735
70,0.489732,T,S,1,0.9981309964340634,main,False,7270.833447897201,39432.23784994231,11.151852582537003,0.01796048088839512
71,0.4918809,V,S,13,0.9980733544088435,main,False,410.51113754720626,168336.1738501295,0.15991247313195173,0.0382319910951221
72,0.4936753,T,A,10,0.9969066838321968,main,False,154136.64266933847,14115.792684879942,3.625205679774278,0.06622716071112826
73,0.4958099,T,S,13,0.998745868232733,main,False,11518.122936829259,168167.916121701,3.096425110656463,1.9599466396182732
74,0.5020248,T,S,1,0.0005285837692068855,side_SE,False,1461.666315372342,32762.997482773826,9.307483884674848,0.006038868336106349
75,0.5063794,T,A,2,0.9669138360472253,main,False,6868.380503736185,39996.080331106314,11.324238994390843,0.020837885637407356
76,0.5067077,T,A,2,0.9745568542073149,main,False,6080.47664156523,40797.60501135072,11.557475017876136,0.018890558781357876
77,0.5073223,T,A,2,0.03288059589719357,side_NW,False,2809.604889327039,34865.92876944722,9.903890971078255,0.01116870435705297
78,0.5081653,T,S,3,0.02567625314522851,side_SE,False,11133.575530043683,38096.86538135586,10.788504971809719,0.03321218225892906
79,0.512823,T,A,4,0.007464046856611813,side_SE,False,15983.897586366747,40074.81125364078,11.297069897538375,0.06281392493304505
80,0.5170197,T,A,2,0.01601418517630688,side_SE,False,18033.298671195156,39547.808257358614,11.040117214868445,0.05868698076484322
81,0.5208234,T,A,6,0.0031069155978920636,side_SE,False,39806.08585384308,40894.45418543678,11.359640679443604,0.2295104636641027
82,0.5249415,T,S,7,0.005556009761032347,side_SE,False,35147.379712457914,43528.03973464705,11.569844134330793,0.2174210282722799
83,0.5251187,T,S,5,0.9929710259795786,main,False,10683.244718323329,48018.424706421065,13.634760304811774,0.031525850519608524
84,0.5252907,T,A,6,0.9924896593973639,main,False,10415.190877216171,48078.81260085075,13.645716105236602,0.027185782623087403
85,0.5265151,T,A,4,0.0013884740848918793,side_NW,False,6611.630820266861,72084.21637695578,1.8613766389627022,0.5330815439091146
86,0.5267167,T,A,4,0.0017761166333731052,side_NW,False,9738.990690388287,66279.72553649878,2.7470364727614993,0.7710279543519951
87,0.5313585,V,S,3,0.0007076979545529401,side_SE,False,2130.3633375758964,86379.58974714372,0.4577989141428036,0.17778487265621606
88,0.5319794,T,A,4,0.011832930449551929,side_SE,False,20707.936022957863,89630.90765751581,4.212332650271683,0.960715642974818
89,0.5326182,T,S,5,0.04361325453541145,side_SE,False,49342.932334373894,64028.27325620096,9.609450328949235,0.5327665864671838
90,0.5342103,T,A,10,0.8071450546188036,main,False,83847.16705859269,54831.11202905749,13.19225257615598,0.30297140460839156
91,0.5342321,T,A,8,0.3894727000357697,side_NW,False,47289.415265436735,57644.78372184503,10.83720912304137,0.4234562418839828
92,0.536125,T,A,6,0.01576506656353339,side_SE,False,118079.84420932559,17614.461477906018,4.990825602214409,0.014468466068332016
93,0.5400681,T,A,8,0.99544415993585,main,False,34359.80934696731,57264.45004961127,15.530613851419092,0.2282433980643361
94,0.5417461,T,A,6,0.9981031756153805,main,False,34398.77884256888,58689.099756747826,16.59017217282426,0.20137091619421818
95,0.5420504,T,A,4,0.002445812415447861,side_NW,False,28761.35187449129,31217.42704563396,7.674403012742873,0.1897721241907712
96,0.5437045,T,A,14,0.9933692681248036,main,False,61229.80231315267,62470.227800679844,13.17678878154518,0.5693660906815758
97,0.5459534,V,A,14,0.999147049720955,main,False,4719.426323328129,173307.17043961363,1.1233803048909314,0.14501129340912194
98,0.5465463,T,A,2,0.0012104898452524526,side_SE,False,13633.973385143738,32758.611898325056,9.284308845617645,0.0173436264638877
99,0.5479567,T,A,14,0.9986146413393523,main,False,24618.158841643988,161659.07903219946,5.019529533201692,1.8831176641618754
100,0.549877,T,S,7,0.999653582918059,main,False,7266.807204808565,56134.94758979669,15.81162017851716,0.05620971796803131
