mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
1,7.757786e-05,L,A,12,0.744432248225411,main,True,4.402458379312225e-06,4.172457672935272e-06,9.146145557966606e-14,4.862250695247688e-11
2,0.0001140018,V,S,1,0.9999417589126207,main,True,7.415150064305722e-07,4.513976739344166e-06,9.672564955722334e-14,5.260438644250941e-11
3,0.0001727877,L,S,7,0.8964962040231187,main,True,1.5742156003693456e-05,6.427764472448791e-06,2.214025585622463e-13,7.490152924556099e-11
4,0.0001870982,L,S,1,0.999952827644342,main,True,8.202300169968478e-06,1.4108154027599583e-06,2.8410079735377594e-13,1.6414992105804986e-11
5,0.03946035,L,S,1,0.9999944134678488,main,False,175611.083935478,7277.987993768087,0.1854495903350282,0.08481903373903735
6,0.07211039,V,A,2,0.9999820725869406,main,False,47.59891439391187,165477.15099837034,0.0007414970101533067,0.00010337662805377504
7,0.07789742,L,A,2,0.999985184090069,main,False,173599.17249978048,38304.31724760848,0.8844562588225072,0.4464339967839334
8,0.1024393,V,S,3,0.9999701724045138,main,False,89.19593284104668,160464.26645094604,0.002631330302131804,0.0013017936917467676
9,0.1113104,T,S,3,0.9999719379851674,main,False,115375.18306275323,125812.0441736623,2.8051235975782856,1.4663408402461449
10,0.1167389,T,A,2,0.9999885556915923,main,False,29934.257631884757,159597.01427714532,3.7235585575401795,1.8601049132226846
11,0.12584,L,A,2,0.0007814477404136301,side_SE,False,102127.45772274648,14310.705897328451,0.4050410594800178,0.16670612589140732
12,0.1272637,T,S,3,0.999839029016992,main,False,132270.56044864515,95375.66957879002,2.232900926408684,1.1116021848595403
13,0.1367669,L,S,1,0.00016779739117838075,side_NW,False,89673.7449958011,2392.168604028627,0.14840063365130982,0.02567342039476493
14,0.1369338,V,A,2,0.00015274090422351058,side_SE,False,91.64209512323234,117808.3872276471,0.012473183570822775,0.006495771496002247
15,0.1431303,T,A,2,0.00013965598040476494,side_SE,False,9946.146742639416,114824.10487826842,2.560433045040117,1.3382762706387803
16,0.1480306,V,A,4,0.999897622050104,main,False,199.61771277811317,170202.1356549192,0.007074607264200667,0.003548335333815329
17,0.1494118,V,S,1,0.9999873823975316,main,False,589.0409416925529,161266.07620856352,0.13393324043810423,0.06671909105467046
18,0.1507041,T,S,1,0.9999640818629237,main,False,15627.828437900642,159415.923982331,3.7303375459966626,1.857994220837078
19,0.1541841,T,A,4,0.9999010138658305,main,False,90352.77166676994,149015.87094695726,3.2935908624443826,1.7367816553162312
20,0.1664179,L,A,4,0.9999449298612603,main,False,148161.61916517076,77293.73887634015,1.9399050254951022,0.9008225028710978
