mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
1,0.0001006916,L,A,20,0.542435309610844,side_SE,True,5.205124913612583e-05,1.6834550613862107e-05,1.2425450864658132e-13,1.962008291852212e-10
2,0.0001103403,V,S,1,0.48168575430366933,side_SE,True,2.78663640861306e-06,1.8751509078496535e-05,2.78553711873756e-13,2.185335114409909e-10
3,0.00063888,L,S,1,0.9999832639074742,main,True,3.0513044435074168e-05,5.3841528794465015e-06,2.5392331265446294e-13,6.273586103016154e-11
4,0.02896115,V,A,18,0.7211730229350144,main,False,3.3849329778224077e-06,5.5170312529649375e-06,1.5153185461608875e-13,6.429084630584741e-11
5,0.03896503,L,S,1,0.9999940699611405,main,False,175341.15508684173,5212.5175400034905,0.14092947386165156,0.060746524350746116
6,0.0723911,V,A,2,0.9999607492024656,main,False,91.11108659969186,165370.492705736,0.030592589981952932,0.00038065433843247694
7,0.07708243,L,A,2,0.9999841205644764,main,False,173415.97235851473,38244.299607905494,0.8693237784662107,0.4457346686900625
8,0.102828,V,S,3,0.9999338332196482,main,False,227.827198596674,160070.67006927676,0.0664573862662324,0.006081707556692777
9,0.1032239,T,A,2,0.9999631604877429,main,False,27740.00512301382,161055.87745199143,3.5846452196849112,1.8770859028219877
10,0.1088017,T,S,3,0.9999353833948246,main,False,88194.8421407372,141500.05884801745,3.0543074546921343,1.649184834580965
11,0.1213213,L,S,3,0.9996373629781509,main,False,151656.2779568791,70372.4113800977,1.5895153366776678,0.8201908893447735
12,0.1235608,L,A,2,0.0007646128508688999,side_SE,False,101338.70109976671,6958.988479900697,0.3286078902613199,0.08033548006140233
13,0.1363555,L,S,1,0.00015206991459857698,side_NW,False,89680.8550127492,1999.105208954565,0.16715571735081353,0.020744639963500414
14,0.1372867,V,A,2,0.00038592470048678685,side_SE,False,108.40570384427947,117755.16477100246,0.09501520912657338,0.02608794237459097
15,0.1393915,T,A,2,0.00034601291161520437,side_SE,False,5345.030841390202,115563.6360887591,2.5756636207828394,1.3468954960432609
16,0.1489252,V,A,4,0.9997580686364853,main,False,596.6941913801121,170042.46026885923,0.14011404467818908,0.024856552690833218
17,0.1489839,T,S,1,0.9998937885011769,main,False,12530.70138584558,154599.04036390423,3.5827940326055563,1.8018535699587341
18,0.1492203,V,S,1,0.9999397141162932,main,False,3514.3000201604004,155875.60573152022,1.0045230891678407,0.5058821922320728
19,0.1521357,T,A,4,0.9997736649913065,main,False,90199.43215819284,150197.94713125666,3.2193687101764876,1.7505439973971122
20,0.16068,L,A,4,0.9999382453027279,main,False,149918.4401631227,75479.9283422726,1.7137411439194994,0.8797189373802087
21,0.1687633,T,S,1,0.00040992061716602687,side_NW,False,4994.632487528245,80953.74875692128,1.9144777702054991,0.9435168159800186
22,0.1691118,V,S,1,0.00031744797058481044,side_NW,False,538.9700546597178,81908.3987671401,0.2051116242367844,0.10155680796835796
23,0.1792937,L,S,3,2.0918882250330187e-05,side_SE,False,90187.44723098878,6158.311159229522,0.3116584566310464,0.06941499873282558
24,0.1909187,V,S,5,0.9997784962819607,main,False,3086.2283171073445,167934.61644370764,0.24614636628463793,0.0904039422083019
25,0.1917241,T,S,5,0.9997839837107705,main,False,66162.96742587333,158825.52456997096,3.422348660626845,1.85110671380321
26,0.199992,L,S,5,0.9999380732817469,main,False,161923.34501558042,51693.80915904458,1.2412669883730314,0.6023754750742117
27,0.2005892,V,S,1,8.555459981132757e-05,side_SE,False,1775.320399032517,106297.63405186089,1.7819474211431587,0.3693057045325511
28,0.200887,T,S,1,0.00046725162071823036,side_SE,False,5626.664727775556,103345.33251054608,2.9965390448991602,1.2044790426718637
29,0.2030512,T,S,1,0.0007219101630934418,side_SE,False,4517.148031205004,48875.040176170645,11.01069431319776,0.20963988970431938
30,0.2118047,T,S,1,0.0013004089565481498,side_NW,False,3765.759577724284,35357.54763419611,10.044757762693855,0.01953046522183145
31,0.2155497,T,S,1,0.9994030188208173,main,False,7222.7541145967425,57661.87013100425,16.380960403019916,0.05432229192218186
32,0.2183408,T,A,2,0.999429141136795,main,False,7238.515412843666,57273.20692285785,16.244870335266423,0.038568119354178074
33,0.2250651,V,A,6,0.9994976696637595,main,False,830.954946501003,171061.26333366006,0.3617501822821985,0.04071250421609625
34,0.2270618,T,A,6,0.9994623344778748,main,False,39021.22428680117,167835.8414286864,3.5625707442743697,1.956098162257473
35,0.2343175,V,A,2,0.0013593589143998178,side_SE,False,1621.7316091902028,94401.33737003812,0.26438588744402824,0.09274694073581818
36,0.2353403,T,A,2,0.0013944672280806964,side_SE,False,19304.382283651343,93293.28124261838,2.0276885767736386,1.0872890923904297
37,0.2374558,T,S,1,1.2768484999430244e-05,side_SE,False,3146.769685924812,33879.61909187903,9.335327491559262,0.023023046254907316
38,0.2413073,L,A,6,0.9998127031226122,main,False,170485.9144668231,24912.696158428535,0.7225740783518118,0.2903397686028556
39,0.2441298,T,S,3,0.9997991206094966,main,False,7983.481935723518,67351.49031154407,19.13233459722217,0.029311372549964347
40,0.2524136,V,A,2,0.001009728165040465,side_NW,False,809.7850113485624,82935.66848262922,0.2169061702664828,0.06235440044375948
41,0.253195,L,A,4,0.00044233493482178905,side_SE,False,99764.93099646439,11223.513256976366,0.49668155484058596,0.128419177333313
42,0.2539789,T,A,2,0.0010244279000913247,side_NW,False,12575.07483556019,82065.27826814608,1.7538542296962303,0.9564717680571755
43,0.2630559,T,A,4,0.9996511398323608,main,False,8197.269180970725,70290.51772051913,19.31894670310205,0.031081265900854048
44,0.2636104,V,S,7,0.9996157710503826,main,False,1454.5583011676208,168822.12101244388,2.518981506753203,0.07506748802349134
45,0.2650176,T,S,7,0.9996152095226742,main,False,29731.90604238321,168009.85213968222,3.530815196872455,1.9581563877496042
46,0.2755744,L,A,2,0.000707060914042312,side_NW,False,87514.21497490472,5682.9041119947515,0.3451189219811011,0.06467539405595263
47,0.282983,L,S,7,0.9997409077363235,main,False,168992.73734475218,16169.89087355058,0.7928063904639772,0.1861735438261489
48,0.2864954,T,S,5,0.9987893359089526,main,False,8684.726989969673,68558.57256101583,19.47450429312483,0.03410896723443829
49,0.2932911,T,A,2,0.0033182455791101314,side_SE,False,4003.193464246383,39357.00013037401,11.180381784334388,0.012982808701369615
50,0.2999228,V,A,8,0.9997823413415463,main,False,795.5220908718483,170261.39641855774,0.5205004594959944,0.06071765556229537
51,0.3019176,T,A,8,0.9997830665885257,main,False,23691.730004104666,168815.0647735036,3.540134476405145,1.9675163913566847
52,0.312576,T,A,6,0.9958083532211329,main,False,8895.120124785652,69166.61875702473,19.641769322161387,0.03325022108793244
53,0.3139407,T,A,2,0.014372658978131248,side_NW,False,3617.207854627767,36518.016921716044,10.374386089043249,0.01048490723536208
54,0.3234541,L,A,8,0.9999010105139293,main,False,170558.2076526939,10564.567272049444,0.7933465385969343,0.11655999784164002
55,0.3366295,V,A,2,0.00012046983131183155,side_SE,False,853.04424477917,81390.96688658846,0.4572328554601685,0.05465797340278269
56,0.3388138,V,S,9,0.9994931220974131,main,False,783.0185778960999,170681.14950095426,0.6211497619863875,0.07240485034992643
57,0.3388628,T,A,2,0.0001647710429123157,side_SE,False,14843.104297586871,80093.75889173547,1.7954882590271548,0.9319478391255223
58,0.3406353,T,S,9,0.999478636335173,main,False,18987.269994265764,169463.89361403836,3.515375155923604,1.9750420164127542
59,0.3439238,T,S,7,0.9994520896098813,main,False,8238.493174058813,68474.75841191708,19.441201823036003,0.05101949977010007
60,0.352424,V,S,3,0.0014956241920576433,side_SE,False,1536.6379851555753,94630.56092326938,0.31500385043069845,0.13435530888810787
61,0.3537019,T,S,3,0.001550733281061101,side_SE,False,12659.37597519864,93411.50399672118,1.9985275973871732,1.0886767251162484
62,0.3641529,L,S,5,0.0007554722849388914,side_SE,False,108208.27956409512,10519.537529282232,0.6896999786111545,0.12110958861018657
63,0.3677837,L,S,9,0.9996136332025694,main,False,169791.38557482412,7513.336600445312,1.109695902474145,0.06664616001012863
64,0.3748781,T,A,10,0.998577693097845,main,False,1986.8722892957448,165616.74358020583,4.371927369744557,0.07479068437358731
65,0.3759527,T,A,8,0.9984600132430941,main,False,8347.997347901099,72840.01783558939,19.022663081567067,0.15207570643584725
66,0.3770512,T,A,10,0.9985822441788478,main,False,16097.722428516172,168171.27839354757,3.5724911350359285,1.9597003589714634
67,0.3775848,V,S,3,0.004035122534397544,side_NW,False,863.3653220305966,82193.62989958921,0.41022215329002987,0.10548409512052273
