reference_id,reference_hz,matched_mode,matched_hz,half_wave_fingerprint,family,parity,main_span_fraction,dominant_span,relative_error_percent,rom_locked_err,rom_upgraded_err
LS1,0.0365,5,0.03981748,1.0,L,S,0.999993995192562,,9.088986301369877,0.7467843600522661,0.891510721709321
VA1,0.07,6,0.07232187,2.0,V,A,0.9999609703808748,,3.316957142857128,2.065119010486227,1.6312810267824496
LA1,0.0726,7,0.0786004,2.0,L,A,0.9999839533062304,,8.265013774104688,1.2419472554285882,0.7527789175822974
TA1,0.0996,10,0.1184279,2.0,T,A,0.9999685409750498,,18.90351405622491,-28.221972258387407,-28.6210557704418
VS1,0.1028,8,0.1027106,3.0,V,S,0.9999340892066488,,-0.08696498054475035,-1.578960578578159,-1.1420398033873955
LS2,0.1087,28,0.2085326,5.0,L,S,0.9999581973773034,,91.84231830726772,1.2987147438622504,1.0106639774847048
TS1,0.1147,9,0.1125491,3.0,T,S,0.9999395499106092,,-1.8752397558849148,-11.960377731740769,-11.826220918478835
SIDE1,0.1149,11,0.1268577,,,,,side_SE,10.40704960835508,1.1153698256852085,5.267012539294957
SIDE2,0.1239,13,0.1372065,,,,,side_SE,10.739709443099283,0.7386902716745913,1.3677835932008442
VA2,0.1438,16,0.1485789,4.0,V,A,0.9997571008411756,,3.3232962447844248,1.839359620949521,1.5714675328666994
LA2,0.1449,20,0.1683183,4.0,L,A,0.9999277429067388,,16.16169772256729,1.1585317423574937,-0.0246264431561393
SIDE3,0.1557,15,0.1436809,,,,,side_SE,-7.7193962748876075,5.844113855378152,6.556152696061579
TS2,0.1571,12,0.1290613,3.0,T,S,0.9998036808450868,,-17.84767663908339,-8.457280200799078,-9.030243493251088
VS2,0.1744,17,0.1491797,1.0,V,S,0.9999457690804916,,-14.461181192660552,-16.666351161793823,-17.18835392065168
