mode,eigenvalue,omega,frequency_hz,omega_imaginary,frequency_imaginary_hz
1,-0.2016766,0.0,0.0,0.4490842,0.07147397029446935
2,-0.2016076,0.0,0.0,0.4490073,0.07146173127934558
3,-3.546324e-06,0.0,0.0,0.001883169,0.00029971565502742145
4,1.336223e-06,0.001155951,0.0001839754,0.0,0.0
5,2.016955e-05,0.004491052,0.0007147732,0.0,0.0
6,15.15693,3.89319,0.6196204,0.0,0.0
7,6563.328,81.01437,12.89384,0.0,0.0
8,6563.328,81.01437,12.89384,0.0,0.0
9,47584.57,218.1389,34.71788,0.0,0.0
10,47584.58,218.1389,34.71788,0.0,0.0
11,198716.9,445.7767,70.94757,0.0,0.0
12,198716.9,445.7767,70.94757,0.0,0.0
13,601626.3,775.6457,123.4479,0.0,0.0
14,601626.4,775.6458,123.4479,0.0,0.0
15,1469594.0,1212.268,192.9384,0.0,0.0
16,1469594.0,1212.268,192.9384,0.0,0.0
17,3246560.0,1801.821,286.7688,0.0,0.0
18,3247002.0,1801.944,286.7883,0.0,0.0
19,3247043.0,1801.955,286.7901,0.0,0.0
20,6203027.0,2490.588,396.3893,0.0,0.0
