
 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:43  JUL 13, 2026 Elapsed Time=     94.316

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2004320   1376.5     
 2004321   1628.6     
 2004322   2853.8     
 2004323   4579.8     
 2004324   5115.1     
 2004325   6670.5     
 2004326   3210.7     
 2004327   9328.3     
 2004328   30267.     
 2004329   40170.     
 2004330   40951.     
 2004331   41446.     
 2004332   42072.     
 2004333   41423.     
 2004334   14757.     
 2004335   15647.     
 2004336   16811.     
 2004337   17039.     
 2004397  -4015.7     
 2004398  -8765.6     
 2004399   2073.3     
 2004400   5807.6     
 2004401  -3208.5     
 2004402  -4271.8     
 2004403  -4883.1     
 2004404  -4607.1     
 2004405   1609.2     
 2004406   2171.4     
 2004407   2634.2     
 2004408   2584.7     
 2004502  -2729.5     
 2004503  -4615.8     
 2004504  -537.21     
 2004505   151.18     
 2004506  -519.41     
 2004507  -1118.3     
 2004508  -1524.5     
 2004509  -1361.5     
 2004510   518.77     
 2004511   454.34     
 2004512   441.95     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:43  JUL 13, 2026 Elapsed Time=     94.316

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2004513   505.12     
 2004604  -482.23     
 2004605   1185.6     
 2004606  -2816.2     
 2004607  -4623.8     
 2004608   755.60     
 2004609   784.05     
 2004610   857.28     
 2004611   915.43     
 2004612  -3494.0     
 2004613  -4340.7     
 2004614  -4829.6     
 2004615  -4638.5     
 2004694   2212.8     
 2004695   5913.5     
 2004696  -3745.5     
 2004697  -9034.7     
 2004698   1184.4     
 2004699   1938.9     
 2004700   2625.4     
 2004701   2776.3     
 2004702  -2911.2     
 2004703  -4140.3     
 2004704  -4904.4     
 2004705  -4789.8     
 2004839   2018.8     
 2004840   1060.5     
 2004841   3375.1     
 2004842   3761.5     
 2004843   7660.3     
 2004844   3709.0     
 2004845   9441.4     
 2004846   3111.3     
 2004847   30901.     
 2004848   41816.     
 2004849   43009.     
 2004850   43462.     
 2004851   43817.     
 2004852   42757.     
 2004853   16512.     
 2004854   17413.     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:43  JUL 13, 2026 Elapsed Time=     94.316

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2004855   17537.     
 2004856   16664.     
 2004894  -140.61     
 2004895  -3899.0     
 2004896  -1481.2     
 2004897  -142.26     
 2004898  -5279.7     
 2004899  -275.17     
 2004959   1375.2     
 2004960   1688.2     
 2004961   2460.7     
 2004962   4504.7     
 2004963   5154.6     
 2004964   7038.0     
 2004965   2576.0     
 2004966   9633.8     
 2004967   33800.     
 2004968   44933.     
 2004969   45874.     
 2004970   46347.     
 2004971   46980.     
 2004972   46349.     
 2004973   16427.     
 2004974   17239.     
 2004975   18435.     
 2004976   18749.     
 2005036  -3564.0     
 2005037  -8989.4     
 2005038   1673.7     
 2005039   6044.1     
 2005040  -2826.9     
 2005041  -3890.5     
 2005042  -4577.9     
 2005043  -4388.4     
 2005044   1165.4     
 2005045   1741.8     
 2005046   2257.5     
 2005047   2267.6     
 2005141  -2521.9     
 2005142  -4668.0     
 2005143  -616.48     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:43  JUL 13, 2026 Elapsed Time=     94.316

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2005144   240.93     
 2005145  -250.03     
 2005146  -836.98     
 2005147  -1279.3     
 2005148  -1156.9     
 2005149   462.18     
 2005150   412.91     
 2005151   405.05     
 2005152   473.00     
 2005243  -627.16     
 2005244   1317.6     
 2005245  -2610.3     
 2005246  -4671.7     
 2005247   616.67     
 2005248   658.89     
 2005249   745.78     
 2005250   819.71     
 2005251  -3694.1     
 2005252  -4554.6     
 2005253  -5083.6     
 2005254  -4918.8     
 2005333   1799.5     
 2005334   6161.3     
 2005335  -3268.9     
 2005336  -9287.6     
 2005337   729.86     
 2005338   1495.8     
 2005339   2231.4     
 2005340   2435.8     
 2005341  -2439.1     
 2005342  -3685.7     
 2005343  -4544.8     
 2005344  -4530.6     
 2005478   2122.4     
 2005479   1027.9     
 2005480   3176.0     
 2005481   3496.7     
 2005482   8170.2     
 2005483   3611.9     
 2005484   9754.4     
 2005485   2476.4     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:43  JUL 13, 2026 Elapsed Time=     94.316

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
