node_id,X_mm,Y_mm,Z_mm,family,component_class
2000001,89913.650000000023,24525.000000000000,72640.661247186901,CW1_GATE_01::bottom_beam_endpoint_start,gate
2000002,89913.650000000023,24360.000000000000,72640.661247186901,CW1_GATE_01::left_post_bottom_weld_projection,gate
2000003,89913.650000000023,24120.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_01,gate
2000004,89913.650000000023,23860.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_02,gate
2000005,89913.650000000023,23600.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_03,gate
2000006,89913.650000000023,23340.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_04,gate
2000007,89913.650000000023,23080.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_05,gate
2000008,89913.650000000023,22820.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_06,gate
2000009,89913.650000000023,22560.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_07,gate
2000010,89913.650000000023,22300.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_08,gate
2000011,89913.650000000023,20600.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_09,gate
2000012,89913.650000000023,20340.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_10,gate
2000013,89913.650000000023,20080.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_11,gate
2000014,89913.650000000023,19820.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_12,gate
2000015,89913.650000000023,19560.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_13,gate
2000016,89913.650000000023,19300.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_14,gate
2000017,89913.650000000023,19040.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_15,gate
2000018,89913.650000000023,18780.000000000000,72640.661247186901,CW1_GATE_01::bottom_rope_master_16,gate
2000019,89913.650000000023,18540.000000000000,72640.661247186901,CW1_GATE_01::right_post_bottom_weld_projection,gate
2000020,89913.650000000023,18375.000000000000,72640.661247186901,CW1_GATE_01::bottom_beam_endpoint_end,gate
2000040,89913.650000000023,25140.000000000000,81309.225927198000,CW1_GATE_01::top_beam_endpoint_start,gate
2000041,89913.650000000023,24360.000000000000,81309.225927198000,CW1_GATE_01::left_post_top_weld_projection,gate
2000042,89913.650000000023,23660.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_01,gate
2000043,89913.650000000023,23400.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_02,gate
2000044,89913.650000000023,23140.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_03,gate
2000045,89913.650000000023,19760.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_04,gate
2000046,89913.650000000023,19500.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_05,gate
2000047,89913.650000000023,19240.000000000000,81309.225927198000,CW1_GATE_01::gantry_rope_master_06,gate
2000048,89913.650000000023,18540.000000000000,81309.225927198000,CW1_GATE_01::right_post_top_weld_projection,gate
2000049,89913.650000000023,17760.000000000000,81309.225927198000,CW1_GATE_01::top_beam_endpoint_end,gate
2000059,89913.650000000023,24360.000000000000,72728.161247186901,CW1_GATE_01::left_post_physical_bottom,gate
2000060,89913.650000000023,24360.000000000000,81229.225927198000,CW1_GATE_01::left_post_physical_top,gate
2000062,89913.650000000023,18540.000000000000,72728.161247186901,CW1_GATE_01::right_post_physical_bottom,gate
2000063,89913.650000000023,18540.000000000000,81229.225927198000,CW1_GATE_01::right_post_physical_top,gate
2000065,146913.650000000023,24525.000000000000,91986.149977522393,CW1_GATE_02::bottom_beam_endpoint_start,gate
2000066,146913.650000000023,24360.000000000000,91986.149977522393,CW1_GATE_02::left_post_bottom_weld_projection,gate
2000067,146913.650000000023,24120.000000000000,91986.149977522393,CW1_GATE_02::bottom_rope_master_01,gate
2000068,146913.650000000023,23860.000000000000,91986.149977522393,CW1_GATE_02::bottom_rope_master_02,gate
2000069,146913.650000000023,23600.000000000000,91986.149977522393,CW1_GATE_02::bottom_rope_master_03,gate
2000070,146913.650000000023,23340.000000000000,91986.149977522393,CW1_GATE_02::bottom_rope_master_04,gate
2000071,146913.650000000023,23080.000000000000,91986.149977522393,CW1_GATE_02::bottom_rope_master_05,gate
