element_id,material_id,section_id,type_id,element_line_number,k_node_line_number,i_node,j_node,k_node,i_x_mm,i_y_mm,i_z_mm,j_x_mm,j_y_mm,j_z_mm,old_k_x_mm,old_k_y_mm,old_k_z_mm,new_k_x_mm,new_k_y_mm,new_k_z_mm,ex_x,ex_y,ex_z,ey_x,ey_y,ey_z,ez_x,ez_y,ez_z,old_ki_x_mm,old_ki_y_mm,old_ki_z_mm,new_ki_x_mm,new_ki_y_mm,new_ki_z_mm,old_ki_length_mm,new_ki_length_mm,dot_ex_ey,dot_ex_ez,dot_ey_ez,right_handed_triple_product,old_n_command,new_n_command
2000001,61,61,70,29683,73,2000001,2000002,2000021,89913.65000000002,24525.0,72640.6612471869,89913.65000000002,24360.0,72640.6612471869,89913.65000000002,24525.0,72740.6612471869,89813.65000000002,24525.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000021,89913.650000000023,24525.000000000000,72740.661247186901","N,2000021,89813.650000000023283,24525.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000002,61,61,70,29684,74,2000002,2000003,2000022,89913.65000000002,24360.0,72640.6612471869,89913.65000000002,24120.0,72640.6612471869,89913.65000000002,24360.0,72740.6612471869,89813.65000000002,24360.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000022,89913.650000000023,24360.000000000000,72740.661247186901","N,2000022,89813.650000000023283,24360.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000003,61,61,70,29685,75,2000003,2000004,2000023,89913.65000000002,24120.0,72640.6612471869,89913.65000000002,23860.0,72640.6612471869,89913.65000000002,24120.0,72740.6612471869,89813.65000000002,24120.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000023,89913.650000000023,24120.000000000000,72740.661247186901","N,2000023,89813.650000000023283,24120.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000004,61,61,70,29686,76,2000004,2000005,2000024,89913.65000000002,23860.0,72640.6612471869,89913.65000000002,23600.0,72640.6612471869,89913.65000000002,23860.0,72740.6612471869,89813.65000000002,23860.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000024,89913.650000000023,23860.000000000000,72740.661247186901","N,2000024,89813.650000000023283,23860.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000005,61,61,70,29687,77,2000005,2000006,2000025,89913.65000000002,23600.0,72640.6612471869,89913.65000000002,23340.0,72640.6612471869,89913.65000000002,23600.0,72740.6612471869,89813.65000000002,23600.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000025,89913.650000000023,23600.000000000000,72740.661247186901","N,2000025,89813.650000000023283,23600.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000006,61,61,70,29688,78,2000006,2000007,2000026,89913.65000000002,23340.0,72640.6612471869,89913.65000000002,23080.0,72640.6612471869,89913.65000000002,23340.0,72740.6612471869,89813.65000000002,23340.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000026,89913.650000000023,23340.000000000000,72740.661247186901","N,2000026,89813.650000000023283,23340.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000007,61,61,70,29689,79,2000007,2000008,2000027,89913.65000000002,23080.0,72640.6612471869,89913.65000000002,22820.0,72640.6612471869,89913.65000000002,23080.0,72740.6612471869,89813.65000000002,23080.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000027,89913.650000000023,23080.000000000000,72740.661247186901","N,2000027,89813.650000000023283,23080.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000008,61,61,70,29690,80,2000008,2000009,2000028,89913.65000000002,22820.0,72640.6612471869,89913.65000000002,22560.0,72640.6612471869,89913.65000000002,22820.0,72740.6612471869,89813.65000000002,22820.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000028,89913.650000000023,22820.000000000000,72740.661247186901","N,2000028,89813.650000000023283,22820.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000009,61,61,70,29691,81,2000009,2000010,2000029,89913.65000000002,22560.0,72640.6612471869,89913.65000000002,22300.0,72640.6612471869,89913.65000000002,22560.0,72740.6612471869,89813.65000000002,22560.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000029,89913.650000000023,22560.000000000000,72740.661247186901","N,2000029,89813.650000000023283,22560.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
2000010,61,61,70,29692,82,2000010,2000011,2000030,89913.65000000002,22300.0,72640.6612471869,89913.65000000002,20600.0,72640.6612471869,89913.65000000002,22300.0,72740.6612471869,89813.65000000002,22300.0,72640.6612471869,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,"N,2000030,89913.650000000023,22300.000000000000,72740.661247186901","N,2000030,89813.650000000023283,22300.000000000000000,72640.661247186901164 ! A10：H175方向点K=I+100*ez（100 mm）"
