
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
         1  UX     0.00000000      0.00000000    
         1  UY     0.00000000      0.00000000    
         1  UZ     0.00000000      0.00000000    
         3  UY     0.00000000      0.00000000    
         3  UZ     0.00000000      0.00000000    
         6  UY     0.00000000      0.00000000    
         6  UZ     0.00000000      0.00000000    
       154  UX     0.00000000      0.00000000    
       154  UY     0.00000000      0.00000000    
       154  UZ     0.00000000      0.00000000    
       157  UY     0.00000000      0.00000000    
       157  UZ     0.00000000      0.00000000    
       447  UY     0.00000000      0.00000000    
       447  UZ     0.00000000      0.00000000    
       450  UX     0.00000000      0.00000000    
       450  UY     0.00000000      0.00000000    
       450  UZ     0.00000000      0.00000000    
       608  UY     0.00000000      0.00000000    
       608  UZ     0.00000000      0.00000000    
       723  UY     0.00000000      0.00000000    
       723  UZ     0.00000000      0.00000000    
       726  UY     0.00000000      0.00000000    
       726  UZ     0.00000000      0.00000000    
       728  UX     0.00000000      0.00000000    
       728  UY     0.00000000      0.00000000    
       728  UZ     0.00000000      0.00000000    
       729  UX     0.00000000      0.00000000    
       729  UY     0.00000000      0.00000000    
       729  UZ     0.00000000      0.00000000    
       731  UY     0.00000000      0.00000000    
       731  UZ     0.00000000      0.00000000    
       734  UY     0.00000000      0.00000000    
       734  UZ     0.00000000      0.00000000    
       882  UX     0.00000000      0.00000000    
       882  UY     0.00000000      0.00000000    
       882  UZ     0.00000000      0.00000000    
       885  UY     0.00000000      0.00000000    
       885  UZ     0.00000000      0.00000000    
      1175  UY     0.00000000      0.00000000    
      1175  UZ     0.00000000      0.00000000    
      1178  UX     0.00000000      0.00000000    
      1178  UY     0.00000000      0.00000000    
