subsystem,catwalk,mct_node,rope_index,ansys_node,mct_total_fz_kn_per_catwalk,applied_fz_n_per_physical_rope
bottom,1,8,1,8,-62.7153,-3919.7062499999997
bottom,1,8,2,736,-62.7153,-3919.7062499999997
bottom,1,8,3,1464,-62.7153,-3919.7062499999997
bottom,1,8,4,2192,-62.7153,-3919.7062499999997
bottom,1,8,5,2920,-62.7153,-3919.7062499999997
bottom,1,8,6,3648,-62.7153,-3919.7062499999997
bottom,1,8,7,4376,-62.7153,-3919.7062499999997
bottom,1,8,8,5104,-62.7153,-3919.7062499999997
bottom,1,8,9,5832,-62.7153,-3919.7062499999997
bottom,1,8,10,6560,-62.7153,-3919.7062499999997
bottom,1,8,11,7288,-62.7153,-3919.7062499999997
bottom,1,8,12,8016,-62.7153,-3919.7062499999997
bottom,1,8,13,8744,-62.7153,-3919.7062499999997
bottom,1,8,14,9472,-62.7153,-3919.7062499999997
bottom,1,8,15,10200,-62.7153,-3919.7062499999997
bottom,1,8,16,10928,-62.7153,-3919.7062499999997
bottom,2,8,1,14026,-62.7153,-3919.7062499999997
bottom,2,8,2,14754,-62.7153,-3919.7062499999997
bottom,2,8,3,15482,-62.7153,-3919.7062499999997
bottom,2,8,4,16210,-62.7153,-3919.7062499999997
bottom,2,8,5,16938,-62.7153,-3919.7062499999997
bottom,2,8,6,17666,-62.7153,-3919.7062499999997
bottom,2,8,7,18394,-62.7153,-3919.7062499999997
bottom,2,8,8,19122,-62.7153,-3919.7062499999997
bottom,2,8,9,19850,-62.7153,-3919.7062499999997
bottom,2,8,10,20578,-62.7153,-3919.7062499999997
bottom,2,8,11,21306,-62.7153,-3919.7062499999997
bottom,2,8,12,22034,-62.7153,-3919.7062499999997
bottom,2,8,13,22762,-62.7153,-3919.7062499999997
bottom,2,8,14,23490,-62.7153,-3919.7062499999997
bottom,2,8,15,24218,-62.7153,-3919.7062499999997
bottom,2,8,16,24946,-62.7153,-3919.7062499999997
bottom,1,9,1,9,-2.53,-158.125
bottom,1,9,2,737,-2.53,-158.125
bottom,1,9,3,1465,-2.53,-158.125
bottom,1,9,4,2193,-2.53,-158.125
bottom,1,9,5,2921,-2.53,-158.125
bottom,1,9,6,3649,-2.53,-158.125
bottom,1,9,7,4377,-2.53,-158.125
bottom,1,9,8,5105,-2.53,-158.125
bottom,1,9,9,5833,-2.53,-158.125
bottom,1,9,10,6561,-2.53,-158.125
bottom,1,9,11,7289,-2.53,-158.125
bottom,1,9,12,8017,-2.53,-158.125
bottom,1,9,13,8745,-2.53,-158.125
bottom,1,9,14,9473,-2.53,-158.125
bottom,1,9,15,10201,-2.53,-158.125
bottom,1,9,16,10929,-2.53,-158.125
bottom,2,9,1,14027,-2.53,-158.125
bottom,2,9,2,14755,-2.53,-158.125
bottom,2,9,3,15483,-2.53,-158.125
bottom,2,9,4,16211,-2.53,-158.125
bottom,2,9,5,16939,-2.53,-158.125
bottom,2,9,6,17667,-2.53,-158.125
bottom,2,9,7,18395,-2.53,-158.125
bottom,2,9,8,19123,-2.53,-158.125
bottom,2,9,9,19851,-2.53,-158.125
bottom,2,9,10,20579,-2.53,-158.125
bottom,2,9,11,21307,-2.53,-158.125
bottom,2,9,12,22035,-2.53,-158.125
bottom,2,9,13,22763,-2.53,-158.125
bottom,2,9,14,23491,-2.53,-158.125
bottom,2,9,15,24219,-2.53,-158.125
bottom,2,9,16,24947,-2.53,-158.125
bottom,1,10,1,10,-1.32,-82.5
bottom,1,10,2,738,-1.32,-82.5
bottom,1,10,3,1466,-1.32,-82.5
bottom,1,10,4,2194,-1.32,-82.5
bottom,1,10,5,2922,-1.32,-82.5
bottom,1,10,6,3650,-1.32,-82.5
bottom,1,10,7,4378,-1.32,-82.5
bottom,1,10,8,5106,-1.32,-82.5
bottom,1,10,9,5834,-1.32,-82.5
bottom,1,10,10,6562,-1.32,-82.5
bottom,1,10,11,7290,-1.32,-82.5
bottom,1,10,12,8018,-1.32,-82.5
bottom,1,10,13,8746,-1.32,-82.5
bottom,1,10,14,9474,-1.32,-82.5
bottom,1,10,15,10202,-1.32,-82.5
bottom,1,10,16,10930,-1.32,-82.5
bottom,2,10,1,14028,-1.32,-82.5
bottom,2,10,2,14756,-1.32,-82.5
bottom,2,10,3,15484,-1.32,-82.5
bottom,2,10,4,16212,-1.32,-82.5
bottom,2,10,5,16940,-1.32,-82.5
bottom,2,10,6,17668,-1.32,-82.5
bottom,2,10,7,18396,-1.32,-82.5
bottom,2,10,8,19124,-1.32,-82.5
bottom,2,10,9,19852,-1.32,-82.5
bottom,2,10,10,20580,-1.32,-82.5
bottom,2,10,11,21308,-1.32,-82.5
bottom,2,10,12,22036,-1.32,-82.5
bottom,2,10,13,22764,-1.32,-82.5
bottom,2,10,14,23492,-1.32,-82.5
bottom,2,10,15,24220,-1.32,-82.5
bottom,2,10,16,24948,-1.32,-82.5
bottom,1,11,1,11,-1.21,-75.625
bottom,1,11,2,739,-1.21,-75.625
bottom,1,11,3,1467,-1.21,-75.625
bottom,1,11,4,2195,-1.21,-75.625
bottom,1,11,5,2923,-1.21,-75.625
bottom,1,11,6,3651,-1.21,-75.625
bottom,1,11,7,4379,-1.21,-75.625
bottom,1,11,8,5107,-1.21,-75.625
bottom,1,11,9,5835,-1.21,-75.625
bottom,1,11,10,6563,-1.21,-75.625
bottom,1,11,11,7291,-1.21,-75.625
bottom,1,11,12,8019,-1.21,-75.625
bottom,1,11,13,8747,-1.21,-75.625
bottom,1,11,14,9475,-1.21,-75.625
bottom,1,11,15,10203,-1.21,-75.625
bottom,1,11,16,10931,-1.21,-75.625
bottom,2,11,1,14029,-1.21,-75.625
bottom,2,11,2,14757,-1.21,-75.625
bottom,2,11,3,15485,-1.21,-75.625
bottom,2,11,4,16213,-1.21,-75.625
bottom,2,11,5,16941,-1.21,-75.625
bottom,2,11,6,17669,-1.21,-75.625
bottom,2,11,7,18397,-1.21,-75.625
bottom,2,11,8,19125,-1.21,-75.625
bottom,2,11,9,19853,-1.21,-75.625
bottom,2,11,10,20581,-1.21,-75.625
bottom,2,11,11,21309,-1.21,-75.625
bottom,2,11,12,22037,-1.21,-75.625
bottom,2,11,13,22765,-1.21,-75.625
bottom,2,11,14,23493,-1.21,-75.625
bottom,2,11,15,24221,-1.21,-75.625
bottom,2,11,16,24949,-1.21,-75.625
bottom,1,12,1,12,-1.32,-82.5
bottom,1,12,2,740,-1.32,-82.5
bottom,1,12,3,1468,-1.32,-82.5
bottom,1,12,4,2196,-1.32,-82.5
bottom,1,12,5,2924,-1.32,-82.5
bottom,1,12,6,3652,-1.32,-82.5
bottom,1,12,7,4380,-1.32,-82.5
bottom,1,12,8,5108,-1.32,-82.5
bottom,1,12,9,5836,-1.32,-82.5
bottom,1,12,10,6564,-1.32,-82.5
bottom,1,12,11,7292,-1.32,-82.5
bottom,1,12,12,8020,-1.32,-82.5
bottom,1,12,13,8748,-1.32,-82.5
bottom,1,12,14,9476,-1.32,-82.5
bottom,1,12,15,10204,-1.32,-82.5
bottom,1,12,16,10932,-1.32,-82.5
bottom,2,12,1,14030,-1.32,-82.5
bottom,2,12,2,14758,-1.32,-82.5
bottom,2,12,3,15486,-1.32,-82.5
bottom,2,12,4,16214,-1.32,-82.5
bottom,2,12,5,16942,-1.32,-82.5
bottom,2,12,6,17670,-1.32,-82.5
bottom,2,12,7,18398,-1.32,-82.5
bottom,2,12,8,19126,-1.32,-82.5
bottom,2,12,9,19854,-1.32,-82.5
bottom,2,12,10,20582,-1.32,-82.5
bottom,2,12,11,21310,-1.32,-82.5
bottom,2,12,12,22038,-1.32,-82.5
bottom,2,12,13,22766,-1.32,-82.5
bottom,2,12,14,23494,-1.32,-82.5
bottom,2,12,15,24222,-1.32,-82.5
bottom,2,12,16,24950,-1.32,-82.5
bottom,1,13,1,13,-2.53,-158.125
bottom,1,13,2,741,-2.53,-158.125
bottom,1,13,3,1469,-2.53,-158.125
bottom,1,13,4,2197,-2.53,-158.125
bottom,1,13,5,2925,-2.53,-158.125
bottom,1,13,6,3653,-2.53,-158.125
bottom,1,13,7,4381,-2.53,-158.125
bottom,1,13,8,5109,-2.53,-158.125
bottom,1,13,9,5837,-2.53,-158.125
bottom,1,13,10,6565,-2.53,-158.125
bottom,1,13,11,7293,-2.53,-158.125
bottom,1,13,12,8021,-2.53,-158.125
bottom,1,13,13,8749,-2.53,-158.125
bottom,1,13,14,9477,-2.53,-158.125
bottom,1,13,15,10205,-2.53,-158.125
bottom,1,13,16,10933,-2.53,-158.125
bottom,2,13,1,14031,-2.53,-158.125
bottom,2,13,2,14759,-2.53,-158.125
bottom,2,13,3,15487,-2.53,-158.125
bottom,2,13,4,16215,-2.53,-158.125
bottom,2,13,5,16943,-2.53,-158.125
bottom,2,13,6,17671,-2.53,-158.125
bottom,2,13,7,18399,-2.53,-158.125
bottom,2,13,8,19127,-2.53,-158.125
bottom,2,13,9,19855,-2.53,-158.125
bottom,2,13,10,20583,-2.53,-158.125
bottom,2,13,11,21311,-2.53,-158.125
bottom,2,13,12,22039,-2.53,-158.125
bottom,2,13,13,22767,-2.53,-158.125
bottom,2,13,14,23495,-2.53,-158.125
bottom,2,13,15,24223,-2.53,-158.125
bottom,2,13,16,24951,-2.53,-158.125
bottom,1,14,1,14,-1.32,-82.5
bottom,1,14,2,742,-1.32,-82.5
bottom,1,14,3,1470,-1.32,-82.5
bottom,1,14,4,2198,-1.32,-82.5
bottom,1,14,5,2926,-1.32,-82.5
bottom,1,14,6,3654,-1.32,-82.5
bottom,1,14,7,4382,-1.32,-82.5
bottom,1,14,8,5110,-1.32,-82.5
bottom,1,14,9,5838,-1.32,-82.5
bottom,1,14,10,6566,-1.32,-82.5
bottom,1,14,11,7294,-1.32,-82.5
bottom,1,14,12,8022,-1.32,-82.5
bottom,1,14,13,8750,-1.32,-82.5
bottom,1,14,14,9478,-1.32,-82.5
bottom,1,14,15,10206,-1.32,-82.5
bottom,1,14,16,10934,-1.32,-82.5
bottom,2,14,1,14032,-1.32,-82.5
bottom,2,14,2,14760,-1.32,-82.5
bottom,2,14,3,15488,-1.32,-82.5
bottom,2,14,4,16216,-1.32,-82.5
bottom,2,14,5,16944,-1.32,-82.5
bottom,2,14,6,17672,-1.32,-82.5
bottom,2,14,7,18400,-1.32,-82.5
bottom,2,14,8,19128,-1.32,-82.5
bottom,2,14,9,19856,-1.32,-82.5
bottom,2,14,10,20584,-1.32,-82.5
bottom,2,14,11,21312,-1.32,-82.5
bottom,2,14,12,22040,-1.32,-82.5
bottom,2,14,13,22768,-1.32,-82.5
bottom,2,14,14,23496,-1.32,-82.5
bottom,2,14,15,24224,-1.32,-82.5
bottom,2,14,16,24952,-1.32,-82.5
bottom,1,15,1,15,-1.21,-75.625
bottom,1,15,2,743,-1.21,-75.625
