conn_id,source_file,source_line,original_command,master_node,slave_node,dof_label,system,assembly_name,reason,aux_node,rigid_element,joint_element,implementation,penalty_n_per_mm
C10-CONN-00001,apply_finite_gates_and_passages_v2.inp,49787,"CERIG,2000002,2000059,ALL",2000002,2000059,ALL,gate,CW1_GATE_01,left_post 下端焊接中心线偏置：平动+转动,,2017680,,MPC184_TYPE72_DIRECT_ELIMINATION_RIGID_BEAM,
C10-CONN-00002,apply_finite_gates_and_passages_v2.inp,49788,"CERIG,2000041,2000060,ALL",2000041,2000060,ALL,gate,CW1_GATE_01,left_post 上端焊接中心线偏置：平动+转动,,2017681,,MPC184_TYPE72_DIRECT_ELIMINATION_RIGID_BEAM,
C10-CONN-00003,apply_finite_gates_and_passages_v2.inp,49789,"CERIG,2000019,2000062,ALL",2000019,2000062,ALL,gate,CW1_GATE_01,right_post 下端焊接中心线偏置：平动+转动,,2017682,,MPC184_TYPE72_DIRECT_ELIMINATION_RIGID_BEAM,
C10-CONN-00004,apply_finite_gates_and_passages_v2.inp,49790,"CERIG,2000048,2000063,ALL",2000048,2000063,ALL,gate,CW1_GATE_01,right_post 上端焊接中心线偏置：平动+转动,,2017683,,MPC184_TYPE72_DIRECT_ELIMINATION_RIGID_BEAM,
C10-CONN-00005,apply_finite_gates_and_passages_v2.inp,49791,"CERIG,2000003,16,UXYZ",2000003,16,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动,2029627,2017684,2017685,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
C10-CONN-00006,apply_finite_gates_and_passages_v2.inp,49792,"CERIG,2000004,744,UXYZ",2000004,744,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动,2029628,2017686,2017687,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
C10-CONN-00007,apply_finite_gates_and_passages_v2.inp,49793,"CERIG,2000005,1472,UXYZ",2000005,1472,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动,2029629,2017688,2017689,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
C10-CONN-00008,apply_finite_gates_and_passages_v2.inp,49794,"CERIG,2000006,2200,UXYZ",2000006,2200,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动,2029630,2017690,2017691,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
C10-CONN-00009,apply_finite_gates_and_passages_v2.inp,49795,"CERIG,2000007,2928,UXYZ",2000007,2928,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动,2029631,2017692,2017693,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
C10-CONN-00010,apply_finite_gates_and_passages_v2.inp,49796,"CERIG,2000008,3656,UXYZ",2000008,3656,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动,2029632,2017694,2017695,MPC184_TYPE72_OFFSET_RIGID_BEAM_PLUS_TYPE73_COINCIDENT_UXYZ_PENALTY_JOINT,50000000000
