order,name,change_class,parent_name,parent_sha256,input_snapshot_sha256,solver_sha256,all_expected_hashes_match
1,full_line_beam4_crossbeam_mesh_xlong.inp,BYTE_INVARIANT,full_line_beam4_crossbeam_mesh_xlong.inp,be556489f10b90389c786c70e0455d29bc186c16ebbad61cd29c5b90a4c79957,be556489f10b90389c786c70e0455d29bc186c16ebbad61cd29c5b90a4c79957,be556489f10b90389c786c70e0455d29bc186c16ebbad61cd29c5b90a4c79957,True
2,convert_crossbeams_beam4_to_beam188.inp,BYTE_INVARIANT,convert_crossbeams_beam4_to_beam188.inp,2b78c42fea4d7bd234794aeb620a7453a5f20bca5b4e735208fc1c514b7f919f,2b78c42fea4d7bd234794aeb620a7453a5f20bca5b4e735208fc1c514b7f919f,2b78c42fea4d7bd234794aeb620a7453a5f20bca5b4e735208fc1c514b7f919f,True
3,apply_mct_downpull_equivalent_xlong.inp,BYTE_INVARIANT,apply_mct_downpull_equivalent_xlong.inp,41e7282e8858626a111854c703d459baabe6541d4ca70d0771fd3a5dea8a58d3,41e7282e8858626a111854c703d459baabe6541d4ca70d0771fd3a5dea8a58d3,41e7282e8858626a111854c703d459baabe6541d4ca70d0771fd3a5dea8a58d3,True
4,apply_mct_constraints_xlong.inp,BYTE_INVARIANT,apply_mct_constraints_xlong.inp,aaabb8bf3f6ebfe075b7c5a2ffb837d1b0cd1cb8f5bcd397c5473b87db550022,aaabb8bf3f6ebfe075b7c5a2ffb837d1b0cd1cb8f5bcd397c5473b87db550022,aaabb8bf3f6ebfe075b7c5a2ffb837d1b0cd1cb8f5bcd397c5473b87db550022,True
5,apply_mct_authoritative_initial_state_link180.inp,BYTE_INVARIANT,apply_mct_authoritative_initial_state_link180.inp,d5958628a0e5b3159114aab35811bd2cceaffdc5ae865a4a295e359674ed9b53,d5958628a0e5b3159114aab35811bd2cceaffdc5ae865a4a295e359674ed9b53,d5958628a0e5b3159114aab35811bd2cceaffdc5ae865a4a295e359674ed9b53,True
6,apply_finite_gates_and_passages_v2.inp,CONTROLLED_CONNECTION_REPLACEMENT,apply_finite_gates_and_passages_v2.inp,72012ebbd107cf377c2178561b9008606aeb894c4f7879110d13c30d2a417330,4f7da8425a25739c694880422c4d2188088b83c1d64170baf44accd922b5b01e,4f7da8425a25739c694880422c4d2188088b83c1d64170baf44accd922b5b01e,True
7,apply_modal_roty_stabilization_xlong.inp,BYTE_INVARIANT,apply_modal_roty_stabilization_xlong.inp,14b470525a3927233d4ec9da23b1b40c68e60611c767ae3c29758c728a08a253,14b470525a3927233d4ec9da23b1b40c68e60611c767ae3c29758c728a08a253,14b470525a3927233d4ec9da23b1b40c68e60611c767ae3c29758c728a08a253,True
8,define_representative_rope_component.inp,BYTE_INVARIANT,define_representative_rope_component.inp,647672b0e39eb1d5ecdf934d467771c34c038dd400e6737a0726d41999ca708f,647672b0e39eb1d5ecdf934d467771c34c038dd400e6737a0726d41999ca708f,647672b0e39eb1d5ecdf934d467771c34c038dd400e6737a0726d41999ca708f,True
9,apply_authoritative_mct_deadload_v1.inp,BYTE_INVARIANT,apply_authoritative_mct_deadload_v1.inp,3feb7eec692762d8324865611ae600a39e4b13cd777d8d5bb29896b2e1a1223e,3feb7eec692762d8324865611ae600a39e4b13cd777d8d5bb29896b2e1a1223e,3feb7eec692762d8324865611ae600a39e4b13cd777d8d5bb29896b2e1a1223e,True
10,apply_dynamic_mass21_spatialized_v2.inp,BYTE_INVARIANT,apply_dynamic_mass21_spatialized_v2.inp,4f9cf3cac4d1b032abccf0c3dcca208f3a9e5c7d064b25fb47ebcdd3e6bcbc9f,4f9cf3cac4d1b032abccf0c3dcca208f3a9e5c7d064b25fb47ebcdd3e6bcbc9f,4f9cf3cac4d1b032abccf0c3dcca208f3a9e5c7d064b25fb47ebcdd3e6bcbc9f,True
11,apply_authoritative_mct_gravity_v1.inp,BYTE_INVARIANT,apply_authoritative_mct_gravity_v1.inp,33238c02d9f8a0c7bfb4cd2d777e866453f5d51e5084254e21c09353337edb5e,33238c02d9f8a0c7bfb4cd2d777e866453f5d51e5084254e21c09353337edb5e,33238c02d9f8a0c7bfb4cd2d777e866453f5d51e5084254e21c09353337edb5e,True
12,c10_mpc_only_main.inp,CONTROLLED_RUNTIME_IDENTITY_AND_TOPOLOGY_AUDIT,s10_section_shear_main.inp,fbfc0501ea21278c0ea65d3733ce220912b89a5a2e3a5bb06679c5f8f77009e8,c97f3d54b2f1eef83471f4c3c712ec4f8b01fd52c111c29c31681bf9e8c99755,c97f3d54b2f1eef83471f4c3c712ec4f8b01fd52c111c29c31681bf9e8c99755,True
