mode,freq_hz
1,3.6821195934140002e-02
2,7.1535890974239999e-02
3,7.3356589395999997e-02
4,7.3788522297360007e-02
5,1.0128568268030000e-01
6,1.0338014146350000e-01
7,1.1026628285770000e-01
8,1.1622468511280000e-01
9,1.2485672920599999e-01
10,1.3548486482200001e-01
11,1.3786226755190001e-01
12,1.4540174479070000e-01
13,1.4647906816060000e-01
14,1.4663286690370000e-01
15,1.4669739823440001e-01
16,1.4966220952350001e-01
17,1.6588229163050000e-01
18,1.6740032122420001e-01
19,1.6795231290220000e-01
20,1.8334529494060001e-01
21,1.8753719894699999e-01
22,1.9089345128560001e-01
23,1.9753006502930001e-01
24,1.9999640659310000e-01
25,2.2022984469689999e-01
26,2.2115988019120000e-01
27,2.2342549336980000e-01
28,2.2520252150680001e-01
29,2.2539007947049999e-01
30,2.3126032339229999e-01
31,2.3149265870050001e-01
32,2.3169145245010001e-01
33,2.3567280629279999e-01
34,2.4085088182570000e-01
35,2.4832334048589999e-01
36,2.4836400111619999e-01
37,2.5168577382730001e-01
38,2.5326060008099999e-01
39,2.5505154359530002e-01
40,2.5625416838249998e-01
41,2.5746212904650001e-01
42,2.5816566405430003e-01
43,2.5861331250960001e-01
44,2.6375453226619999e-01
45,2.6587252333750000e-01
46,2.6766319138099998e-01
47,2.7369248783959998e-01
48,2.8676096980600002e-01
49,2.8739799603170002e-01
50,2.9268401093649998e-01
51,2.9432995322270000e-01
52,2.9558124984759998e-01
53,2.9883546462249999e-01
54,3.0018805041020002e-01
55,3.1131308238049998e-01
56,3.1400795475130000e-01
57,3.1463851674080001e-01
58,3.2973611920500001e-01
59,3.3188431940140001e-01
60,3.3193960482099999e-01
61,3.3215775643439999e-01
62,3.3227185081979999e-01
63,3.3350390396849999e-01
64,3.3557950919009999e-01
65,3.3866388383489998e-01
66,3.3955276803899997e-01
67,3.4021967873400000e-01
68,3.4532894410560000e-01
69,3.4735371194659997e-01
70,3.5139205434460002e-01
71,3.5436688464290000e-01
72,3.6244483974460001e-01
73,3.6508442889199999e-01
74,3.6736199516000001e-01
75,3.6791942780859999e-01
76,3.6875095421229998e-01
77,3.7142554034809999e-01
78,3.7507520024399998e-01
79,3.7998001823680000e-01
80,3.8670116847510000e-01
