label,existing_mode,independent_mode,f_fem,f_ref,family_sign,hint_sign,s10_effm_dir,s10_df_hz,confidence,why
LS1,1,1,0.03682119593414085,0.0365,L,LS,Y(lat),4.3621172351321347e-07,HIGH,测点符号、主跨幅值、S10 同频方向一致
VA1,2,2,0.07153589097424329,0.07,V,VA,mixed/weak,5.181765440342989e-07,HIGH,测点符号、主跨幅值、S10 同频方向一致
LA1,4,,0.07378852229735794,0.0726,T,TA,mixed/weak,1.1061565542563878e-05,QUESTIONABLE,独立符号法没有物理候选
TA1,3,4,0.07335658939599751,0.0996,T,TA,mixed/weak,2.733629499401813e-06,POSSIBLE_MISPAIR,独立方法配到 M4，原配对 M3
VS1,5,5,0.1012856826803289,0.1028,V,VS,Z(vert),8.356390768932132e-07,HIGH,测点符号、主跨幅值、S10 同频方向一致
LS2,7,7,0.1102662828577342,0.1087,L,LS,Y(lat),7.3664624853087e-06,HIGH,测点符号、主跨幅值、S10 同频方向一致
TS1,6,6,0.1033801414634735,0.1147,T,TS,ROTX(tors-ish),3.213291613869684e-05,HIGH,跨中两幅猫道 UZ 反相且 Q1/Q3 同号
SIDE1,8,8,0.1162246851128233,0.1149,SIDE,SIDE,Y(lat),2.3613362274604865e-05,HIGH,主跨测点近零，边跨主导
SIDE2,9,9,0.1248567292060132,0.1239,SIDE,SIDE,Y(lat),3.106832952409766e-05,HIGH,主跨测点近零，边跨主导
VA2,12,12,0.1454017447906793,0.1438,V,VA,Z(vert),1.6096328848969055e-06,HIGH,测点符号、主跨幅值、S10 同频方向一致
LA2,25,,0.2202298446969265,0.1449,LOCAL_GATE_ROTX,LOCAL,ROTX(tors-ish),4.423782905060847e-05,QUESTIONABLE,独立符号法没有物理候选
SIDE3,17,17,0.1658822916305146,0.1557,SIDE,SIDE,Z(vert),2.1825174426060023e-06,MEDIUM,边跨候选，频率偏差大于 SIDE1/2
TS2,16,16,0.1496622095234522,0.1571,T,TS,ROTX(tors-ish),1.0083325740012361e-05,MEDIUM,扭转正对称，但门架 SENE 偏高
VS2,21,21,0.1875371989470002,0.1744,V,VS,Z(vert),2.6395338365015064e-06,HIGH,测点符号、主跨幅值、S10 同频方向一致
