label,desc,mode,f_fem,f_ref,rel_err,order_hint,basis
LS1,一阶正对称横弯,1,0.03682119593414085,0.0365,0.008799888606598666,LS,family=L symmetry=S shareL=1.000 shareV=0.000 shareT=0.000 EY=1.75e+03 EZ=2.31e-13 ERX=4.38e+13 ERY=1.69 gateSENE=0.909 cableSENE=0.090 sideRatio=0.00
VA1,一阶反对称竖弯,2,0.07153589097424329,0.07,0.021941299632046874,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=3.14e-13 EZ=1.76e-08 ERX=8.41 ERY=6.19e+14 gateSENE=0.087 cableSENE=0.913 sideRatio=0.00
LA1,一阶反对称横弯,4,0.07378852229735794,0.0726,0.016370830542120404,LA,family=L symmetry=A shareL=0.550 shareV=0.006 shareT=0.443 EY=4.05e-09 EZ=1.31e-10 ERX=4.35e+05 ERY=1.3e+04 gateSENE=0.848 cableSENE=0.146 sideRatio=0.00
TA1,一阶反对称扭转,3,0.07335658939599751,0.0996,-0.2634880582731173,TA,family=T symmetry=A shareL=0.509 shareV=0.007 shareT=0.484 EY=5.77e-08 EZ=1.21e-10 ERX=4.23e+05 ERY=2.62e+04 gateSENE=0.837 cableSENE=0.157 sideRatio=0.00
VS1,一阶正对称竖弯,5,0.1012856826803289,0.1028,-0.014730713226372531,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=1.83e-10 EZ=140 ERX=267 ERY=4.8e+14 gateSENE=0.001 cableSENE=0.999 sideRatio=0.00
LS2,二阶正对称横弯,7,0.1102662828577342,0.1087,0.014409225922117675,LS,family=L symmetry=S shareL=0.999 shareV=0.000 shareT=0.001 EY=197 EZ=9.29e-12 ERX=2.02e+13 ERY=11.9 gateSENE=0.314 cableSENE=0.686 sideRatio=0.00
TS1,一阶正对称扭转,6,0.1033801414634735,0.1147,-0.09869100729316907,TS,family=T symmetry=S shareL=0.013 shareV=0.015 shareT=0.972 EY=0.349 EZ=6.13e-08 ERX=1.98e+11 ERY=2.81e+05 gateSENE=0.016 cableSENE=0.984 sideRatio=0.00
SIDE1,边跨模态1（附件未细分）,8,0.1162246851128233,0.1149,0.011529026221264563,SIDE,family=SIDE symmetry=NA shareL=0.851 shareV=0.068 shareT=0.016 EY=553 EZ=2.12e-12 ERX=2.62e+13 ERY=5.46 gateSENE=0.802 cableSENE=0.198 sideRatio=1.00
SIDE2,边跨模态2（附件未细分）,9,0.1248567292060132,0.1239,0.007721785359267231,SIDE,family=SIDE symmetry=NA shareL=0.404 shareV=0.352 shareT=0.027 EY=526 EZ=4.55e-11 ERX=1.84e+13 ERY=19.9 gateSENE=0.852 cableSENE=0.147 sideRatio=1.00
VA2,二阶反对称竖弯,12,0.1454017447906793,0.1438,0.01113869812711605,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=1.26e-09 EZ=1.47e+03 ERX=5.95e+04 ERY=5.08e+15 gateSENE=0.000 cableSENE=1.000 sideRatio=0.00
LA2,二阶反对称横弯,25,0.2202298446969265,0.1449,0.5198747046026673,LA,family=L symmetry=A shareL=0.984 shareV=0.001 shareT=0.015 EY=0.000125 EZ=3.49e-14 ERX=1.69e+07 ERY=5.59e+03 gateSENE=0.981 cableSENE=0.019 sideRatio=0.00
SIDE3,边跨模态3（附件未细分）,17,0.1658822916305146,0.1557,0.06539686339444184,SIDE,family=SIDE symmetry=NA shareL=0.220 shareV=0.011 shareT=0.525 EY=1.02e-08 EZ=427 ERX=2.57e+04 ERY=9.1e+13 gateSENE=0.001 cableSENE=0.999 sideRatio=1.00
TS2,二阶正对称扭转,16,0.1496622095234522,0.1571,-0.04734430602512923,TS,family=T symmetry=S shareL=0.005 shareV=0.015 shareT=0.980 EY=4.75e-06 EZ=9.14e-08 ERX=7.4e+06 ERY=5.79e+05 gateSENE=0.733 cableSENE=0.261 sideRatio=0.00
VS2,二阶正对称竖弯,21,0.1875371989470002,0.1744,0.0753279756135332,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=1.47e-09 EZ=285 ERX=649 ERY=9.82e+14 gateSENE=0.005 cableSENE=0.995 sideRatio=0.00
