master_node,slave_node,reason,mz,sz
2000041,2000060,top_pin_rotx,81309.225927,81229.225927
2000048,2000063,top_pin_rotx,81309.225927,81229.225927
2000105,2000124,top_pin_rotx,100859.026597,100779.026597
2000112,2000127,top_pin_rotx,100859.026597,100779.026597
2000169,2000188,top_pin_rotx,121521.541763,121441.541763
2000176,2000191,top_pin_rotx,121521.541763,121441.541763
2000233,2000252,top_pin_rotx,143364.627106,143284.627106
2000240,2000255,top_pin_rotx,143364.627106,143284.627106
2000297,2000316,top_pin_rotx,166330.768180,166250.768180
2000304,2000319,top_pin_rotx,166330.768180,166250.768180
2000361,2000380,top_pin_rotx,190425.383196,190345.383196
2000368,2000383,top_pin_rotx,190425.383196,190345.383196
2000425,2000444,top_pin_rotx,215717.124846,215637.124846
2000432,2000447,top_pin_rotx,215717.124846,215637.124846
2000489,2000508,top_pin_rotx,242149.411112,242069.411112
2000496,2000511,top_pin_rotx,242149.411112,242069.411112
2000553,2000572,top_pin_rotx,269728.777314,269648.777314
2000560,2000575,top_pin_rotx,269728.777314,269648.777314
2000617,2000636,top_pin_rotx,298524.102581,298444.102581
2000624,2000639,top_pin_rotx,298524.102581,298444.102581
2000681,2000700,top_pin_rotx,328479.474810,328399.474810
2000688,2000703,top_pin_rotx,328479.474810,328399.474810
2000745,2000764,top_pin_rotx,325707.590843,325627.590843
2000752,2000767,top_pin_rotx,325707.590843,325627.590843
2000809,2000828,top_pin_rotx,304865.926958,304785.926958
2000816,2000831,top_pin_rotx,304865.926958,304785.926958
2000873,2000892,top_pin_rotx,285134.591256,285054.591256
2000880,2000895,top_pin_rotx,285134.591256,285054.591256
2000937,2000956,top_pin_rotx,266578.030817,266498.030817
2000944,2000959,top_pin_rotx,266578.030817,266498.030817
2001001,2001020,top_pin_rotx,249125.603532,249045.603532
2001008,2001023,top_pin_rotx,249125.603532,249045.603532
2001065,2001084,top_pin_rotx,232773.153448,232693.153448
2001072,2001087,top_pin_rotx,232773.153448,232693.153448
2001129,2001148,top_pin_rotx,217579.491916,217499.491916
2001136,2001151,top_pin_rotx,217579.491916,217499.491916
2001193,2001212,top_pin_rotx,203478.061519,203398.061519
2001200,2001215,top_pin_rotx,203478.061519,203398.061519
2001257,2001276,top_pin_rotx,190465.488463,190385.488463
2001264,2001279,top_pin_rotx,190465.488463,190385.488463
2001321,2001340,top_pin_rotx,178601.388687,178521.388687
2001328,2001343,top_pin_rotx,178601.388687,178521.388687
2001385,2001404,top_pin_rotx,167820.010162,167740.010162
2001392,2001407,top_pin_rotx,167820.010162,167740.010162
2001449,2001468,top_pin_rotx,158118.763593,158038.763593
2001456,2001471,top_pin_rotx,158118.763593,158038.763593
2001513,2001532,top_pin_rotx,150424.124552,150344.124552
2001520,2001535,top_pin_rotx,150424.124552,150344.124552
2001577,2001596,top_pin_rotx,143621.913674,143541.913674
2001584,2001599,top_pin_rotx,143621.913674,143541.913674
2001641,2001660,top_pin_rotx,137931.398326,137851.398326
