mode,freq_hz
1,3.6826310843319998e-02
2,7.1525315608109999e-02
3,7.3368585006520007e-02
4,7.3782345710400002e-02
5,1.0127107631990000e-01
6,1.0337066685769999e-01
7,1.1028007290540000e-01
8,1.1622468482490000e-01
9,1.2485672919309999e-01
10,1.3548486482450001e-01
11,1.3786226761470000e-01
12,1.4540718329620000e-01
13,1.4648118844409999e-01
14,1.4661269203569999e-01
15,1.4672210441250000e-01
16,1.4964337379439999e-01
17,1.6588229163269999e-01
18,1.6740032156000001e-01
19,1.6795231298800001e-01
20,1.8337159502059999e-01
21,1.8752287822950001e-01
22,1.9088190086800000e-01
23,1.9753006504359999e-01
24,1.9999640662140000e-01
25,2.2026510966970000e-01
26,2.2113002629049999e-01
27,2.2342760997170000e-01
28,2.2520282191409999e-01
29,2.2536113702640001e-01
30,2.3126032338010000e-01
31,2.3149265869579999e-01
32,2.3169145240840000e-01
33,2.3567280632939999e-01
34,2.4085088183549999e-01
35,2.4832334050900001e-01
36,2.4836400112630000e-01
37,2.5170362813590003e-01
38,2.5326060014020002e-01
39,2.5506300622299999e-01
40,2.5627961320129999e-01
41,2.5749961827540002e-01
42,2.5816566402239999e-01
43,2.5858329396210000e-01
44,2.6372712940990001e-01
45,2.6587955058029999e-01
46,2.6766319143389999e-01
47,2.7369248799570001e-01
48,2.8679150141880000e-01
49,2.8740130050340001e-01
50,2.9271894745159999e-01
51,2.9429100245430001e-01
52,2.9562783976860002e-01
53,2.9883546479150003e-01
54,3.0014946370890000e-01
55,3.1131518094040000e-01
56,3.1400795471170001e-01
57,3.1468026778769997e-01
58,3.2979406314580001e-01
59,3.3188431953390002e-01
60,3.3193960481750001e-01
61,3.3211770731419998e-01
62,3.3227185083779998e-01
63,3.3350390389439999e-01
64,3.3563591371980001e-01
65,3.3862496896060001e-01
66,3.3955276802970003e-01
67,3.4021528651799998e-01
68,3.4532894401920000e-01
69,3.4735371195409998e-01
70,3.5139205430780002e-01
71,3.5436688469930000e-01
72,3.6252295348609997e-01
73,3.6514811689999999e-01
74,3.6731411946859999e-01
75,3.6790332496720002e-01
76,3.6875095419460002e-01
77,3.7142554035550002e-01
78,3.7502767809030002e-01
79,3.7998001829720002e-01
80,3.8680109538840002e-01
