mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
1,0.03682631084493624,L,S,LS,False,0.9999993948109147,5.49567692224732e-08,5.502323160632084e-07,0.0,0.3399902191837457,0.1547688705058317,0.6462665624856325,4.535506163551487e-10,1753.334580148754,5.500105725713319e-10,43762582302327.23,922.8681580216714,6032583855901937.0
2,0.07152531560824289,V,A,VA,False,1.9901332407763915e-08,0.9999998065560198,1.7354264783653966e-07,0.0,0.07691888232893206,0.02995225584291424,0.8822499849550605,239.5388669686258,2.929102549618829e-12,5.519382503531515e-06,15.57290924023072,618618838539362.4,10008329.44341461
3,0.07336858500593386,T,A,TA,False,0.48988163153232683,0.007572665128130799,0.5025457033395424,0.0,0.8042334315736354,0.02453619448580127,0.1826482687158247,7.616454023470926e-06,6.222719040689527e-08,3.912586731514185e-11,208525.4632822905,21075561.95928364,250233017526674.1
4,0.07378234570978383,L,A,LA,False,0.5719534233488414,0.006113828064817109,0.4219327485863415,0.0,0.8381246718287236,0.09697416369882605,0.1504409610049205,4.331998998557637e-10,1.122504069273192e-08,3.559302233185947e-10,301317.902629784,1156.743468476211,327692024581860.1
5,0.1012710763197937,V,S,VS,False,2.958220126336799e-09,0.9999994375483051,5.594934748179386e-07,0.0,0.001162126220672461,0.0003227342349461257,0.9983315411478816,2.219668100696876e-06,5.095583709750332e-07,139.5171185109492,91101.3862092823,480014490618703.2,1757497.136814539
6,0.1033706668576148,T,S,TS,False,0.012063243220475,0.014986108030494525,0.9729506487490305,0.0,0.01561747004996958,0.00525500254506713,0.983828608852522,3.744629759218367e-09,0.2790275169058774,3.936174190451126e-06,180889818172.141,14111030.68238461,960614370317.906
7,0.1102800729052392,L,S,LS,False,0.9987735087927948,2.0936269530118582e-05,0.0012055549376751831,0.0,0.3135250049773618,0.245821953202565,0.6834609456383365,5.939656679870635e-10,197.4634016827069,1.448302779287307e-07,20181819232792.33,498551.3787023354,679454913352669.5
8,0.1162246848242218,SIDE,NA,SIDE,False,0.5531895172055413,0.09852571581788247,0.08600569595264179,1.0,0.8019495079794335,0.7308123636730169,0.1976076273119205,4.054702282503518e-11,553.1011850350858,1.318084492932576e-12,26197880562260.14,2.62887022548696,6266080375225360.0
9,0.124856729194286,SIDE,NA,SIDE,False,0.06681779409691917,0.19139712073934237,0.3105561446721416,1.0,0.8521675691349377,0.776226183031637,0.1472199260910986,7.614648961122941e-11,526.3783866385336,4.009672979223205e-11,18426571576373.65,16.90938398962787,74429580119809.16
10,0.1354848648244493,SIDE,NA,SIDE,False,0.014425281126909687,0.147726189840044,0.326186939962257,1.0,0.001451769761046243,0.0001994155263561324,0.9985477571606796,57.79870342103288,1.00128173208679e-10,132.3029994423655,18.95066281040899,1026596753497585.0,1171.944229937361
11,0.1378622676147372,SIDE,NA,SIDE,False,0.05923596273898171,0.5346495319252479,0.07989768225035013,1.0,0.01847546758065778,0.003240199153542748,0.9813911244380961,1.259527519346463e-08,0.5941777040457251,1.246727902838192e-08,152135544606.8914,117703.1933426751,8391455967290.167
12,0.1454071832962746,V,A,VA,False,1.2758525756906723e-09,0.999997372155725,2.6265684222839534e-06,0.0,0.0003748501166947447,6.634249626763511e-05,0.9995766344146949,2.202400273589994e-05,3.709631550285604e-09,1473.481809042784,77373.82812618079,5071100392315040.0,172320.0836515585
13,0.1464811884441969,T,A,TA,False,0.010777443587905724,0.019137920130837847,0.9700846362812563,0.0,0.009716019323003255,0.006881574025847794,0.9902181025425637,0.0001186611837537887,0.01820553550095096,0.0001111783476960942,753147577673.191,6218526.830704539,58874925578.13921
14,0.1466126920357241,V,S,VS,False,5.221182847737119e-05,0.9990006235647241,0.0009471646067987396,0.0,0.2923094790377536,0.05367750645625087,0.655574414731196,53.86462057362749,3.028319700018548e-08,0.001572619177684812,1504770.207502014,144754047338711.5,3102776889.159854
15,0.146722104413038,L,S,LS,False,0.9770481273372642,0.0005913018257043957,0.022360570837031433,0.0,0.7194665965524588,0.498676652828993,0.2701652164191651,0.001145394138739453,2.151550310450843e-05,1.303619788584033e-06,1719737.61494267,2901519510.764687,143002506424719.8
16,0.149643373794435,T,S,TS,False,0.004500802803491223,0.015250228599730138,0.9802489685967786,0.0,0.692598517135302,0.065578353907786,0.2812328394158091,9.433907977541557e-07,3.498824156633338e-06,8.335590958439144e-09,1594660.884611015,3424568.880885508,2464371165470.791
17,0.1658822916327076,SIDE,NA,SIDE,False,0.2788324010575841,0.07796618775080567,0.21535498843409775,1.0,0.0006970049589536424,0.0001076374992646401,0.9993026789320454,85.4630499866262,1.285115244058555e-08,427.3867534669121,28326.8675519251,90999322300524.47,312.6335925270663
18,0.1674003215605719,SIDE,NA,SIDE,False,0.1883804336001319,0.45334939858222245,0.14335689819500402,1.0,0.7399142587978366,0.6739482055411348,0.2598474576100019,2.306931581593136e-10,378.3187564666546,1.268977027403731e-11,2337429222096.489,180.9664919526307,5967278046166920.0
19,0.1679523129879919,SIDE,NA,SIDE,False,0.18110020086648582,0.011454213020988684,0.2903019662258169,1.0,0.008416254475239587,0.003135988687065401,0.9915396269231751,7.059654130989616e-06,0.1042290074964643,4.573592938908025e-05,260146692633.3628,9301193.443158325,4090579810.846381
