label,desc,mode,f_fem,f_ref,rel_err,order_hint,basis
LS1,一阶正对称横弯,1,0.03682631084493624,0.0365,0.008940023148938145,LS,family=L symmetry=S shareL=1.000 shareV=0.000 shareT=0.000 EY=1.75e+03 EZ=5.5e-10 ERX=4.38e+13 ERY=923 gateSENE=0.340 cableSENE=0.646 sideRatio=0.00
VA1,一阶反对称竖弯,2,0.07152531560824289,0.07,0.02179022297489837,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=2.93e-12 EZ=5.52e-06 ERX=15.6 ERY=6.19e+14 gateSENE=0.077 cableSENE=0.882 sideRatio=0.00
LA1,一阶反对称横弯,4,0.07378234570978383,0.0726,0.016285753578289673,LA,family=L symmetry=A shareL=0.572 shareV=0.006 shareT=0.422 EY=1.12e-08 EZ=3.56e-10 ERX=3.01e+05 ERY=1.16e+03 gateSENE=0.838 cableSENE=0.150 sideRatio=0.00
TA1,一阶反对称扭转,3,0.07336858500593386,0.0996,-0.26336762042235073,TA,family=T symmetry=A shareL=0.490 shareV=0.008 shareT=0.503 EY=6.22e-08 EZ=3.91e-11 ERX=2.09e+05 ERY=2.11e+07 gateSENE=0.804 cableSENE=0.183 sideRatio=0.00
VS1,一阶正对称竖弯,5,0.1012710763197937,0.1028,-0.014872798445586668,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=5.1e-07 EZ=140 ERX=9.11e+04 ERY=4.8e+14 gateSENE=0.001 cableSENE=0.998 sideRatio=0.00
LS2,二阶正对称横弯,7,0.1102800729052392,0.1087,0.014536089284629171,LS,family=L symmetry=S shareL=0.999 shareV=0.000 shareT=0.001 EY=197 EZ=1.45e-07 ERX=2.02e+13 ERY=4.99e+05 gateSENE=0.314 cableSENE=0.683 sideRatio=0.00
TS1,一阶正对称扭转,6,0.1033706668576148,0.1147,-0.098773610657238,TS,family=T symmetry=S shareL=0.012 shareV=0.015 shareT=0.973 EY=0.279 EZ=3.94e-06 ERX=1.81e+11 ERY=1.41e+07 gateSENE=0.016 cableSENE=0.984 sideRatio=0.00
SIDE1,边跨模态1（附件未细分）,8,0.1162246848242218,0.1149,0.011529023709502128,SIDE,family=SIDE symmetry=NA shareL=0.553 shareV=0.099 shareT=0.086 EY=553 EZ=1.32e-12 ERX=2.62e+13 ERY=2.63 gateSENE=0.802 cableSENE=0.198 sideRatio=1.00
SIDE2,边跨模态2（附件未细分）,9,0.124856729194286,0.1239,0.0077217852646166854,SIDE,family=SIDE symmetry=NA shareL=0.067 shareV=0.191 shareT=0.311 EY=526 EZ=4.01e-11 ERX=1.84e+13 ERY=16.9 gateSENE=0.852 cableSENE=0.147 sideRatio=1.00
VA2,二阶反对称竖弯,12,0.1454071832962746,0.1438,0.011176518054760779,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=3.71e-09 EZ=1.47e+03 ERX=7.74e+04 ERY=5.07e+15 gateSENE=0.000 cableSENE=1.000 sideRatio=0.00
LA2,二阶反对称横弯,25,0.2202651096699858,0.1449,0.5201180791579421,LA,family=L symmetry=A shareL=0.985 shareV=0.001 shareT=0.014 EY=0.000119 EZ=1.85e-12 ERX=1.58e+07 ERY=4.71e+07 gateSENE=0.863 cableSENE=0.132 sideRatio=0.00
SIDE3,边跨模态3（附件未细分）,17,0.1658822916327076,0.1557,0.06539686340852659,SIDE,family=SIDE symmetry=NA shareL=0.279 shareV=0.078 shareT=0.215 EY=1.29e-08 EZ=427 ERX=2.83e+04 ERY=9.1e+13 gateSENE=0.001 cableSENE=0.999 sideRatio=1.00
TS2,二阶正对称扭转,16,0.149643373794435,0.1571,-0.047464202454264824,TS,family=T symmetry=S shareL=0.005 shareV=0.015 shareT=0.980 EY=3.5e-06 EZ=8.34e-09 ERX=1.59e+06 ERY=3.42e+06 gateSENE=0.693 cableSENE=0.281 sideRatio=0.00
VS2,二阶正对称竖弯,21,0.187522878229459,0.1744,0.07524586140744846,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=6.12e-07 EZ=286 ERX=9.83e+04 ERY=9.84e+14 gateSENE=0.005 cableSENE=0.994 sideRatio=0.00
