mode,d10_hz,c20_hz,delta_hz
1,3.6826310843319998e-02,3.6821195934140002e-02,5.1149091799956858e-06
2,7.1525315608109999e-02,7.1535890974239999e-02,-1.0575366130000097e-05
3,7.3368585006520007e-02,7.3356589395999997e-02,1.1995610520010302e-05
4,7.3782345710400002e-02,7.3788522297360007e-02,-6.1765869600050038e-06
5,1.0127107631990000e-01,1.0128568268030000e-01,-1.4606360400001850e-05
6,1.0337066685769999e-01,1.0338014146350000e-01,-9.4746058000028111e-06
7,1.1028007290540000e-01,1.1026628285770000e-01,1.3790047699996366e-05
8,1.1622468482490000e-01,1.1622468511280000e-01,-2.8789999551026568e-10
9,1.2485672919309999e-01,1.2485672920599999e-01,-1.2900000512239274e-11
10,1.3548486482450001e-01,1.3548486482200001e-01,2.5000002068509275e-12
11,1.3786226761470000e-01,1.3786226755190001e-01,6.2799987432526905e-11
12,1.4540718329620000e-01,1.4540174479070000e-01,5.4385054999994686e-06
13,1.4648118844409999e-01,1.4647906816060000e-01,2.1202834999956011e-06
14,1.4661269203569999e-01,1.4663286690370000e-01,-2.0174868000016888e-05
15,1.4672210441250000e-01,1.4669739823440001e-01,2.4706178099992426e-05
16,1.4964337379439999e-01,1.4966220952350001e-01,-1.8835729100025178e-05
17,1.6588229163269999e-01,1.6588229163050000e-01,2.1999901900215946e-12
18,1.6740032156000001e-01,1.6740032122420001e-01,3.3579999891841794e-10
19,1.6795231298800001e-01,1.6795231290220000e-01,8.5800005988900807e-11
20,1.8337159502059999e-01,1.8334529494060001e-01,2.6300079999985737e-05
21,1.8752287822950001e-01,1.8753719894699999e-01,-1.4320717499988200e-05
22,1.9088190086800000e-01,1.9089345128560001e-01,-1.1550417600009188e-05
23,1.9753006504359999e-01,1.9753006502930001e-01,1.4299977868503788e-11
24,1.9999640662140000e-01,1.9999640659310000e-01,2.8300001231329475e-11
25,2.2026510966970000e-01,2.2022984469689999e-01,3.5264972800014283e-05
26,2.2113002629049999e-01,2.2115988019120000e-01,-2.9853900700010927e-05
27,2.2342760997170000e-01,2.2342549336980000e-01,2.1166018999985159e-06
28,2.2520282191409999e-01,2.2520252150680001e-01,3.0040729998015436e-07
29,2.2536113702640001e-01,2.2539007947049999e-01,-2.8942444099983033e-05
30,2.3126032338010000e-01,2.3126032339229999e-01,-1.2199991017425305e-11
31,2.3149265869579999e-01,2.3149265870050001e-01,-4.7000181524481377e-12
32,2.3169145240840000e-01,2.3169145245010001e-01,-4.1700004560496495e-11
33,2.3567280632939999e-01,2.3567280629279999e-01,3.6600000807851529e-11
34,2.4085088183549999e-01,2.4085088182570000e-01,9.7999941495174880e-12
35,2.4832334050900001e-01,2.4832334048589999e-01,2.3100021895317013e-11
36,2.4836400112630000e-01,2.4836400111619999e-01,1.0100004166346821e-11
37,2.5170362813590003e-01,2.5168577382730001e-01,1.7854308600018243e-05
38,2.5326060014020002e-01,2.5326060008099999e-01,5.9200033764028603e-11
39,2.5506300622299999e-01,2.5505154359530002e-01,1.1462627699965200e-05
40,2.5627961320129999e-01,2.5625416838249998e-01,2.5444818800013369e-05
41,2.5749961827540002e-01,2.5746212904650001e-01,3.7489228900011717e-05
42,2.5816566402239999e-01,2.5816566405430003e-01,-3.1900038166554623e-11
43,2.5858329396210000e-01,2.5861331250960001e-01,-3.0018547500010317e-05
44,2.6372712940990001e-01,2.6375453226619999e-01,-2.7402856299985068e-05
45,2.6587955058029999e-01,2.6587252333750000e-01,7.0272427999951148e-06
46,2.6766319143389999e-01,2.6766319138099998e-01,5.2900017699641921e-11
47,2.7369248799570001e-01,2.7369248783959998e-01,1.5610002179755611e-10
48,2.8679150141880000e-01,2.8676096980600002e-01,3.0531612799977736e-05
49,2.8740130050340001e-01,2.8739799603170002e-01,3.3044716999941492e-06
