mode,freq_hz
1,3.6826292738310000e-02
2,7.1525312611519995e-02
3,7.3325057939760005e-02
4,7.3755956616419996e-02
5,1.0127107262350001e-01
6,1.0334505331660000e-01
7,1.1027990247630000e-01
8,1.1622431148900000e-01
9,1.2485630273290001e-01
10,1.3548485133730001e-01
11,1.3781546419269999e-01
12,1.4540717182259999e-01
13,1.4644126161089999e-01
14,1.4661267871040001e-01
15,1.4672106391029999e-01
16,1.4960901810659999e-01
17,1.6588226878519999e-01
18,1.6739916798650001e-01
19,1.6789385698890000e-01
20,1.8337095328639999e-01
21,1.8752285445330000e-01
22,1.9085323445360000e-01
23,1.9753003289099999e-01
24,1.9996989475909999e-01
25,2.2026381916560001e-01
26,2.2112997010009999e-01
27,2.2264806312579999e-01
28,2.2441910549120000e-01
29,2.2533804325000001e-01
30,2.3104500935660000e-01
31,2.3126608858289999e-01
32,2.3148842552000001e-01
33,2.3564285443569999e-01
34,2.4025045369449999e-01
35,2.4831628633690001e-01
36,2.4836389348150001e-01
37,2.5078878386370002e-01
38,2.5321834992620001e-01
39,2.5419213138219998e-01
40,2.5609314930089999e-01
41,2.5679126297010002e-01
42,2.5740103449520002e-01
43,2.5858322519589999e-01
44,2.6369075354100002e-01
45,2.6512158297110000e-01
46,2.6694326637370003e-01
47,2.7302860247490002e-01
48,2.8571409637160000e-01
49,2.8670915502360000e-01
50,2.9270438404619997e-01
51,2.9429089268149999e-01
52,2.9472937857710002e-01
53,2.9802493998090002e-01
54,3.0012986648090001e-01
55,3.1069236899359998e-01
56,3.1351438487760003e-01
57,3.1380700087460001e-01
58,3.2979029948850003e-01
59,3.3131680073589997e-01
60,3.3188626165730001e-01
61,3.3211756345600002e-01
62,3.3227166620550003e-01
63,3.3302759630239998e-01
64,3.3484040856289998e-01
65,3.3860818604019999e-01
66,3.3953775456200003e-01
67,3.3963653375920000e-01
68,3.4531936221990001e-01
69,3.4735348988400000e-01
70,3.5080427568430000e-01
71,3.5434309890010002e-01
72,3.6178376781999999e-01
73,3.6514362967940001e-01
74,3.6731359026690003e-01
75,3.6740392998310001e-01
76,3.6873496041120002e-01
77,3.7142520575389998e-01
78,3.7501111616389998e-01
79,3.7994493774749999e-01
80,3.8617010427479997e-01
