mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
1,0.03682629273831039,L,S,LS,False,0.9999993951286726,5.60415727403849e-08,5.488297546367013e-07,0.0,0.3436356331276665,0.1541255890729557,0.6424864740246176,4.260182307825885e-10,1753.335201963978,5.574304799330376e-10,43762596440920.55,956.8618978683099,6032586081536162.0
2,0.0715253126115229,V,A,VA,False,1.9840390143994386e-08,0.999999806161785,1.739978248881228e-07,0.0,0.076950089124708,0.02995094343992367,0.8822199368407236,239.5392346411981,3.4239854070488e-12,5.519386446889747e-06,29.42628224881077,618618762023979.0,9961845.59560905
3,0.07332505793975658,T,A,TA,False,0.4154874955609254,0.00865428706670758,0.575858217372367,0.0,0.7495862921514336,0.03695654725851804,0.2344694872516687,7.632927787485433e-06,5.865047559390557e-08,3.523183608170412e-11,179505.5282272649,21171524.86432585,204996005667217.4
4,0.07375595661642424,L,A,LA,False,0.6552545295083732,0.004900996065737988,0.3398444744258889,0.0,0.7921578461650503,0.1380457351638159,0.1944705597812363,3.522438466610972e-08,1.545212199125612e-08,3.735356574752263e-10,330187.8111478295,96651.0440997062,372929607430730.1
5,0.1012710726235331,V,S,VS,False,2.945875057872936e-09,0.999999438611616,5.584425089724136e-07,0.0,0.001162705663133278,0.000322717016392108,0.9983309584030069,2.21902976133922e-06,5.074665119465968e-07,139.5171606878955,90837.84313740619,480014634763221.4,1748981.681142525
6,0.1033450533166489,T,S,TS,False,0.012041660458122973,0.014988043800092775,0.9729702957417843,0.0,0.01250591979749245,0.005247115286504871,0.9869542949532166,3.965979417808289e-09,0.2773598150160618,3.90455662013056e-06,180289457912.535,14245966.57913633,954875636006.1171
7,0.1102799024762718,L,S,LS,False,0.9987810525052483,2.0883500102937093e-05,0.0011980639946488313,0.0,0.315505315731726,0.2446749391337753,0.6814458715988153,5.657546675536153e-10,197.4648252757039,1.432856379548235e-07,20182177334545.88,491719.0424959504,679459809726883.5
8,0.1162243114890276,SIDE,NA,SIDE,False,0.5510745256282317,0.09405524364988053,0.09750136360247376,1.0,0.8022403958068217,0.7228603764438999,0.1973118668701919,6.655171065680018e-11,553.0981200193723,4.440803203816239e-12,26197527558296.55,16.2949002457556,6266045330021517.0
9,0.1248563027328964,SIDE,NA,SIDE,False,0.46462858014469754,0.020316136828927692,0.2371607533000193,1.0,0.8525183893873485,0.7682521307952442,0.1468600038594028,8.997508733119201e-11,526.3760518389557,5.722664909812481e-11,18426350465992.29,22.14539996337957,74429183361224.08
10,0.1354848513372677,SIDE,NA,SIDE,False,0.0357096830405035,0.18847503381987749,0.43857387127345837,1.0,0.001452744911473443,0.0001993715855237661,0.9985467762984157,57.79885541686112,1.539200753544654e-09,132.3029480489992,367.8464008885544,1026596185469586.0,20448.37233693507
11,0.1378154641926697,SIDE,NA,SIDE,False,0.05655498507937762,0.17888321571825247,0.3178999364269906,1.0,0.01375172706101772,0.003232580751357968,0.9861422078152101,7.410225300266597e-09,0.5947813569257352,2.962722602591408e-07,152333616613.7104,2481067.196156376,8396267984833.434
12,0.1454071718225607,V,A,VA,False,1.339945284164276e-09,0.9999973438272414,2.6548328133301767e-06,0.0,0.0003750904037320875,6.634123076723654e-05,0.999576394078304,2.200783913203614e-05,3.869110753879711e-09,1473.48180886363,81542.64564264241,5071100149289834.0,173461.5671759099
13,0.1464412616108864,T,A,TA,False,0.010814734945771266,0.019191720038635514,0.9699935450155932,0.0,0.009115201553238535,0.00688188872057095,0.9908217883334356,0.0001389360390630758,0.01824954982486364,0.0001184362594356886,753326502810.2914,4155050.26751914,58788331248.40536
