label,desc,mode,f_fem,f_ref,rel_err,order_hint,basis
LS1,一阶正对称横弯,1,0.03682629273831039,0.0365,0.00893952707699701,LS,family=L symmetry=S shareL=1.000 shareV=0.000 shareT=0.000 EY=1.75e+03 EZ=5.57e-10 ERX=4.38e+13 ERY=957 gateSENE=0.344 cableSENE=0.642 sideRatio=0.00
VA1,一阶反对称竖弯,2,0.0715253126115229,0.07,0.021790180164612694,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=3.42e-12 EZ=5.52e-06 ERX=29.4 ERY=6.19e+14 gateSENE=0.077 cableSENE=0.882 sideRatio=0.00
LA1,一阶反对称横弯,4,0.07375595661642424,0.0726,0.01592226744386012,LA,family=L symmetry=A shareL=0.655 shareV=0.005 shareT=0.340 EY=1.55e-08 EZ=3.74e-10 ERX=3.3e+05 ERY=9.67e+04 gateSENE=0.792 cableSENE=0.194 sideRatio=0.00
TA1,一阶反对称扭转,3,0.07332505793975658,0.0996,-0.2638046391590705,TA,family=T symmetry=A shareL=0.415 shareV=0.009 shareT=0.576 EY=5.87e-08 EZ=3.52e-11 ERX=1.8e+05 ERY=2.12e+07 gateSENE=0.750 cableSENE=0.234 sideRatio=0.00
VS1,一阶正对称竖弯,5,0.1012710726235331,0.1028,-0.014872834401428975,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=5.07e-07 EZ=140 ERX=9.08e+04 ERY=4.8e+14 gateSENE=0.001 cableSENE=0.998 sideRatio=0.00
LS2,二阶正对称横弯,7,0.1102799024762718,0.1087,0.01453452140084447,LS,family=L symmetry=S shareL=0.999 shareV=0.000 shareT=0.001 EY=197 EZ=1.43e-07 ERX=2.02e+13 ERY=4.92e+05 gateSENE=0.316 cableSENE=0.681 sideRatio=0.00
TS1,一阶正对称扭转,6,0.1033450533166489,0.1147,-0.09899691964560682,TS,family=T symmetry=S shareL=0.012 shareV=0.015 shareT=0.973 EY=0.277 EZ=3.9e-06 ERX=1.8e+11 ERY=1.42e+07 gateSENE=0.013 cableSENE=0.987 sideRatio=0.00
SIDE1,边跨模态1（附件未细分）,8,0.1162243114890276,0.1149,0.011525774491101868,SIDE,family=SIDE symmetry=NA shareL=0.551 shareV=0.094 shareT=0.098 EY=553 EZ=4.44e-12 ERX=2.62e+13 ERY=16.3 gateSENE=0.802 cableSENE=0.197 sideRatio=1.00
SIDE2,边跨模态2（附件未细分）,9,0.1248563027328964,0.1239,0.007718343284071045,SIDE,family=SIDE symmetry=NA shareL=0.465 shareV=0.020 shareT=0.237 EY=526 EZ=5.72e-11 ERX=1.84e+13 ERY=22.1 gateSENE=0.853 cableSENE=0.147 sideRatio=1.00
VA2,二阶反对称竖弯,12,0.1454071718225607,0.1438,0.011176438265373274,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=3.87e-09 EZ=1.47e+03 ERX=8.15e+04 ERY=5.07e+15 gateSENE=0.000 cableSENE=1.000 sideRatio=0.00
LA2,二阶反对称横弯,25,0.220263819165628,0.1449,0.5201091729857006,LA,family=L symmetry=A shareL=0.985 shareV=0.001 shareT=0.014 EY=0.000119 EZ=1.27e-12 ERX=1.57e+07 ERY=4.64e+07 gateSENE=0.865 cableSENE=0.131 sideRatio=0.00
SIDE3,边跨模态3（附件未细分）,17,0.1658822687852368,0.1557,0.06539671666818746,SIDE,family=SIDE symmetry=NA shareL=0.438 shareV=0.061 shareT=0.097 EY=2.11e-08 EZ=427 ERX=4.7e+04 ERY=9.1e+13 gateSENE=0.001 cableSENE=0.999 sideRatio=1.00
TS2,二阶正对称扭转,16,0.149609018106641,0.1571,-0.04768288920024811,TS,family=T symmetry=S shareL=0.005 shareV=0.015 shareT=0.980 EY=3.57e-06 EZ=4.97e-08 ERX=1.73e+06 ERY=4.24e+06 gateSENE=0.620 cableSENE=0.348 sideRatio=0.00
VS2,二阶正对称竖弯,21,0.1875228544532981,0.1744,0.07524572507625063,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=5.97e-07 EZ=286 ERX=9.55e+04 ERY=9.84e+14 gateSENE=0.005 cableSENE=0.994 sideRatio=0.00
