mode,freq_hz
1,3.6826009328569997e-02
2,7.1525434841149996e-02
3,7.3604160564280000e-02
4,8.4445420766879997e-02
5,1.0127106263270000e-01
6,1.0607327842760000e-01
7,1.1028388094920000e-01
8,1.1622381592240000e-01
9,1.2485492366310000e-01
10,1.3548482291680000e-01
11,1.3877923377660001e-01
12,1.4540689896480000e-01
13,1.4654411841310000e-01
14,1.4661250191149999e-01
15,1.4674106062670000e-01
16,1.5099995860540000e-01
17,1.6588128574649999e-01
18,1.6739614710680001e-01
19,1.6781886414399999e-01
20,1.8337239117109999e-01
21,1.8752210621890000e-01
22,1.9112223188760000e-01
23,1.9752974634430001e-01
24,2.0003863125210000e-01
25,2.2013984811519999e-01
26,2.2027263650730000e-01
27,2.2112930290480001e-01
28,2.2191585709490000e-01
29,2.2575279440640000e-01
30,2.2889868420260001e-01
31,2.3126081438540000e-01
32,2.3152007704530000e-01
33,2.3593578404390000e-01
34,2.3819703869400000e-01
35,2.4791599440510001e-01
36,2.4833247732120001e-01
37,2.4835948630640001e-01
38,2.5106826667220000e-01
39,2.5326471652950000e-01
40,2.5339798361200000e-01
41,2.5452367730559999e-01
42,2.5640532050199999e-01
43,2.5858143019710000e-01
44,2.6267625234109998e-01
45,2.6377513265680003e-01
46,2.6410762382719999e-01
47,2.7094426684599998e-01
48,2.8178829789210003e-01
49,2.8445131093089998e-01
50,2.9121276340640001e-01
51,2.9279947026740000e-01
52,2.9428869610179997e-01
53,2.9505548682589999e-01
54,3.0029055872369997e-01
55,3.0865996794029998e-01
56,3.1052975108809999e-01
57,3.1183736438870002e-01
58,3.2886621219410000e-01
59,3.2978966527129999e-01
60,3.3129356143889999e-01
61,3.3184583011550001e-01
62,3.3189532809000000e-01
63,3.3211378507880002e-01
64,3.3227135619970000e-01
65,3.3773306822190002e-01
66,3.3864752804280002e-01
67,3.3963065606350001e-01
68,3.4530567102940002e-01
69,3.4734709266230002e-01
70,3.4834936782690001e-01
71,3.5434613375539997e-01
72,3.5899854786289997e-01
73,3.6514347959380000e-01
74,3.6574425167419999e-01
75,3.6730977758580002e-01
76,3.6869246919609999e-01
77,3.7140705324290002e-01
78,3.7509576480820001e-01
79,3.7989215632899997e-01
80,3.8376479836639998e-01
