mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
1,0.0368260093285685,L,S,LS,False,0.9999995965420396,5.745604769404778e-08,3.46001912650896e-07,0.0,0.3550907953279167,0.1749030588618894,0.5818094775692928,2.137329007881013e-10,1753.350463298739,7.222166099273137e-10,43764209392460.22,1772.20184258386,6032639226352500.0
2,0.07152543484115148,V,A,VA,False,1.1272605767235802e-08,0.999999919317653,6.940974129073123e-08,0.0,0.07497540661905087,0.03003644746309558,0.8832144626384149,239.5145606827072,4.574347939722735e-12,5.487588618843108e-06,56.03248359832381,618624823141269.9,6663867.399632005
3,0.07360416056428197,L,A,LA,False,0.9996973023799172,1.0482569581431005e-05,0.000292215050501437,0.0,0.5734472035479313,0.2364477402062437,0.2647269825667012,2.050931631911756e-06,6.080497314091352e-08,1.277376013067985e-10,505295.2743420112,5720722.629810165,577911059897704.5
4,0.0844454207668788,T,A,TA,False,0.004277230707558746,0.014606765861424443,0.9811160034310168,0.0,0.5333266945375226,0.003413946586526394,0.129924035214075,1.998314104916595e-08,1.045262292057377e-07,4.197767574739098e-08,451.6524185701562,49084.32889844295,21970795411.39886
5,0.1012710626327292,V,S,VS,False,1.7680727138455533e-09,0.9999995971211985,4.011107288701677e-07,0.0,0.001152053968606057,0.0003228552577596599,0.9983342158746086,2.217580220620386e-06,4.080003394231083e-07,139.512910580731,63447.49214874421,479999849526054.6,1430307.759297392
6,0.1060732784275706,T,S,TS,False,0.016871655089488544,0.014840243150651904,0.9682881017598596,0.0,0.152627681997115,0.004754204626422842,0.7441353122727656,2.975429856726239e-08,0.6880524432289743,3.745548027267009e-07,274709748848.372,646270.150497031,2368242200268.859
7,0.1102838809491831,L,S,LS,False,0.9968388589500489,4.772142666476887e-05,0.0031134196232862946,0.0,0.2486084870337668,0.1378589085651581,0.6787758461421347,4.877918058698977e-10,197.0550031828804,1.111197046831479e-07,20091176820131.18,401858.3810620251,678049413877196.9
8,0.1162238159223793,SIDE,NA,SIDE,False,0.3400138898572965,0.2293298474066036,0.0832763121787479,1.0,0.8047732767652094,0.7021071055397129,0.1779714107849282,2.252430883866265e-12,553.1387562300388,8.074697144239514e-15,26201977591330.68,10.24296316333452,6266574735955958.0
9,0.1248549236630771,SIDE,NA,SIDE,False,0.23975071610881282,0.21528821642934137,0.13079568962695515,1.0,0.8463648123270555,0.7447269184629322,0.139585562908266,4.02056673811478e-13,526.370287043973,4.964852590857746e-12,18426618235128.73,0.8587007538944683,74428058605071.3
10,0.1354848229168121,SIDE,NA,SIDE,False,0.03321219270521878,0.6646512038630227,0.014772349264029877,1.0,0.001461163029364065,0.000200171686041725,0.9985245039536464,57.79090529732392,3.727401406628148e-09,132.3070832785575,1004.852328666048,1026640832664724.0,51928.73066658716
11,0.1387792337765784,SIDE,NA,SIDE,False,0.09428964895930486,0.17491265621543367,0.05916872129245583,1.0,0.05855482059116464,0.003137050732835545,0.9027296611181814,4.235449288230708e-07,0.5353072436093381,1.275644513801059e-06,149486675519.9682,11359765.13499542,7600059685774.433
12,0.1454068989648461,V,A,VA,False,7.81471995413062e-10,0.9999976745778413,2.324640686714858e-06,0.0,0.0003776820216215269,6.646762473702799e-05,0.999571560172411,2.42959217015927e-05,2.45385128861049e-09,1473.483096226877,39620.26127080365,5071146279140598.0,117912.3247611885
13,0.1465441184130931,T,A,TA,False,0.011093606393142398,0.019191231452784653,0.9697151621540729,0.0,0.009745475418919309,0.006853814026174018,0.988475656743261,0.0006413864575424736,0.01676273328778484,4.795495845559783e-05,753144438457.69,2997345737.798735,55394547968.94673
14,0.1466125019114778,V,S,VS,False,2.9412709988957212e-05,0.9953081608041209,0.004662426485890292,0.0,0.2895268011277973,0.05334480593264405,0.6564628846467006,53.84752217192408,2.096374399013144e-07,0.00165247075440898,9112038.418756323,144713399129394.9,1657252614.359298
15,0.1467410606267048,L,S,LS,False,0.9875206085420956,0.0006142420788891621,0.011865149379015325,0.0,0.7304166412323945,0.4013594021486513,0.1116571269205852,0.0006317011571673558,2.25227179310052e-05,7.121843113505926e-07,2384576.347946739,1604931355.32468,144478960657492.0
16,0.1509999586053632,T,S,TS,False,0.004127314959303883,0.020318513010847045,0.9755541720298492,0.0,0.5487001025704296,0.009978673116539648,0.07942392652407528,3.044335433152176e-07,2.884320358848186e-06,9.979257950215022e-07,1833058.002616015,7951300.421654553,990219000609.6912
17,0.1658812857465265,SIDE,NA,SIDE,False,0.06975756138705924,0.19803091714809432,0.24160217330506092,1.0,0.000724783262255517,0.0001087657877424455,0.9992661741264514,85.46873931425235,1.342511494273121e-09,427.3805468380307,3327.817204613511,90999997673655.77,60.66197517005043
18,0.1673961471067575,SIDE,NA,SIDE,False,0.031906859347456,0.3879470005452432,0.34760507003909563,1.0,0.7456828382050769,0.6528139070944509,0.2414811013141481,2.668551239284649e-14,378.326959421589,3.433736591570909e-13,2339062496770.986,6.213292402632542,5967400515516197.0
19,0.1678188641439923,SIDE,NA,SIDE,False,0.3604852335829271,0.07690127602986643,0.075258780356214,1.0,0.004343799308136381,0.003064277646760639,0.9948674721785891,9.85132087348606e-07,0.1033506552445717,4.893736893991308e-06,260076536682.6781,1048351.979516638,4107958128.543031
20,0.1833723911711263,L,S,LS,False,0.9969182204860438,8.0956789041948e-05,0.00300082272491426,0.0,0.45472444942399,0.3713402201392495,0.5236374348580284,4.289109832550307e-10,70.03785036938498,4.165257206389965e-06,7663792208793.47,14244634.36313597,241321021821535.4
21,0.1875221062189153,V,S,VS,False,7.506645230826927e-09,0.9999963399854195,3.652507935256702e-06,0.0,0.005279164676308448,0.0007439141336946982,0.9943664421805105,7.396761336337877e-05,4.450657000991905e-07,285.8056776988935,71366.16257595683,984099124271307.4,1499342.448124303
22,0.191122231887598,T,S,TS,False,0.001414180651131892,0.013373781809887238,0.9852120375389808,0.0,0.04777898370259187,0.01870782868984053,0.9318871481124724,2.143175226254492e-09,0.305983777743034,2.887401681770641e-06,279646987889.1062,10293572.90266451,1059330832374.302
23,0.197529746344312,SIDE,NA,SIDE,False,0.039183968819671136,0.4300409880666735,0.4712145130683467,1.0,0.001305126557037509,0.0001583729727767588,0.9986880042736648,20.21055844337001,1.405765751011103e-08,710.6427482861789,17662.34895486491,9886555941666658.0,227096.9247394155
24,0.20003863125213,SIDE,NA,SIDE,False,0.07050725739803747,0.3372158640831431,0.12074756815922826,1.0,0.01336428319197868,0.009850962573404379,0.9847274487845155,7.844370863601142e-07,0.3282132898700286,2.835315718897139e-05,394722300207.4811,395469543.535674,5325030551616.407
25,0.2201398481152272,T,A,TA,False,0.00010316919284290632,0.0004028846535942204,0.9994939461535629,0.0,0.9620697015035523,0.7993348407459647,0.02092015491418216,0.0008794094224660933,1.486813837905284e-10,0.01164989060645449,540.102663963962,47217250962.78938,418865250.6551656
26,0.2202726365072622,L,A,LA,False,0.9884392100949112,0.0005775714024173573,0.010983218502671439,0.0,0.869937992380992,0.7044634275390559,0.0819262492029613,1.843371425160315e-05,0.0001195675328312398,7.560363620117192e-08,15894102.11851598,49622516.50278374,62932740286115.8
27,0.221129302904846,V,A,VA,False,6.769954421657192e-07,0.9999893952812553,9.927723302414645e-06,0.0,0.4837574676529356,0.06486150110037536,0.4734984521132741,24.50144087721378,5.103480985853397e-10,0.000193880182035614,30.33855033838586,62502465860604.35,39488016.40486709
28,0.2219158570948821,LOCAL_GATE_ROTX,NA,LOCAL,True,2.8105196516612824e-05,0.000743383710539373,0.999228511092944,0.0,0.9655055627822484,0.8010340580057851,0.01746379891323299,0.0006482234997946694,1.328565147490325e-10,0.004207124005186145,11.40022232280776,16932487090.44892,2010853.168915719
29,0.2257527944064152,T,A,TA,False,0.0011195846571265462,0.014297233661082636,0.9845831816817908,0.0,0.5374141991091046,0.02971310056342242,0.09428354584039525,3.67430109713692e-07,1.181024783377491e-05,1.883649864976433e-09,2244292.783656443,1380978.066644707,654012565997.2448
30,0.2288986842025637,LOCAL_GATE_ROTX,NA,LOCAL,True,0.01459072745290009,0.042224403554466265,0.9139147207953318,1.0,0.9628644980504952,0.805235825585196,0.02019144220817353,0.002200818697647608,5.45784554082414e-10,0.008776932434955682,8335.615064144838,95625389158.6772,175265.1078519145
31,0.2312608143854114,SIDE,NA,SIDE,False,0.015131090460545867,0.3033581680132818,0.4195775367352684,1.0,0.4566960013314486,0.06483446283449118,0.5396839826136983,6.120858884751008,5.584859078797477e-10,1.708917205517789,47864.13751635889,90531945151949.17,386185.724769506
