label,desc,mode,f_fem,f_ref,rel_err,order_hint,basis
LS1,一阶正对称横弯,1,0.0368260093285685,0.0365,0.008931762426534273,LS,family=L symmetry=S shareL=1.000 shareV=0.000 shareT=0.000 EY=1.75e+03 EZ=7.22e-10 ERX=4.38e+13 ERY=1.77e+03 gateSENE=0.355 cableSENE=0.582 sideRatio=0.00
VA1,一阶反对称竖弯,2,0.07152543484115148,0.07,0.02179192630216391,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=4.57e-12 EZ=5.49e-06 ERX=56 ERY=6.19e+14 gateSENE=0.075 cableSENE=0.883 sideRatio=0.00
LA1,一阶反对称横弯,3,0.07360416056428197,0.0726,0.013831412731156643,LA,family=L symmetry=A shareL=1.000 shareV=0.000 shareT=0.000 EY=6.08e-08 EZ=1.28e-10 ERX=5.05e+05 ERY=5.72e+06 gateSENE=0.573 cableSENE=0.265 sideRatio=0.00
TA1,一阶反对称扭转,4,0.0844454207668788,0.0996,-0.1521544099710963,TA,family=T symmetry=A shareL=0.004 shareV=0.015 shareT=0.981 EY=1.05e-07 EZ=4.2e-08 ERX=452 ERY=4.91e+04 gateSENE=0.533 cableSENE=0.130 sideRatio=0.00
VS1,一阶正对称竖弯,5,0.1012710626327292,0.1028,-0.014872931588237404,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=4.08e-07 EZ=140 ERX=6.34e+04 ERY=4.8e+14 gateSENE=0.001 cableSENE=0.998 sideRatio=0.00
LS2,二阶正对称横弯,7,0.1102838809491831,0.1087,0.014571121887608915,LS,family=L symmetry=S shareL=0.997 shareV=0.000 shareT=0.003 EY=197 EZ=1.11e-07 ERX=2.01e+13 ERY=4.02e+05 gateSENE=0.249 cableSENE=0.679 sideRatio=0.00
TS1,一阶正对称扭转,6,0.1060732784275706,0.1147,-0.07521117325570531,TS,family=T symmetry=S shareL=0.017 shareV=0.015 shareT=0.968 EY=0.688 EZ=3.75e-07 ERX=2.75e+11 ERY=6.46e+05 gateSENE=0.153 cableSENE=0.744 sideRatio=0.00
SIDE1,边跨模态1（附件未细分）,8,0.1162238159223793,0.1149,0.011521461465442157,SIDE,family=SIDE symmetry=NA shareL=0.340 shareV=0.229 shareT=0.083 EY=553 EZ=8.07e-15 ERX=2.62e+13 ERY=10.2 gateSENE=0.805 cableSENE=0.178 sideRatio=1.00
SIDE2,边跨模态2（附件未细分）,9,0.1248549236630771,0.1239,0.0077072127770549115,SIDE,family=SIDE symmetry=NA shareL=0.240 shareV=0.215 shareT=0.131 EY=526 EZ=4.96e-12 ERX=1.84e+13 ERY=0.859 gateSENE=0.846 cableSENE=0.140 sideRatio=1.00
VA2,二阶反对称竖弯,12,0.1454068989648461,0.1438,0.011174540784743305,VA,family=V symmetry=A shareL=0.000 shareV=1.000 shareT=0.000 EY=2.45e-09 EZ=1.47e+03 ERX=3.96e+04 ERY=5.07e+15 gateSENE=0.000 cableSENE=1.000 sideRatio=0.00
LA2,二阶反对称横弯,26,0.2202726365072622,0.1449,0.520170024204708,LA,family=L symmetry=A shareL=0.988 shareV=0.001 shareT=0.011 EY=0.00012 EZ=7.56e-08 ERX=1.59e+07 ERY=4.96e+07 gateSENE=0.870 cableSENE=0.082 sideRatio=0.00
SIDE3,边跨模态3（附件未细分）,17,0.1658812857465265,0.1557,0.06539040299631659,SIDE,family=SIDE symmetry=NA shareL=0.070 shareV=0.198 shareT=0.242 EY=1.34e-09 EZ=427 ERX=3.33e+03 ERY=9.1e+13 gateSENE=0.001 cableSENE=0.999 sideRatio=1.00
TS2,二阶正对称扭转,16,0.1509999586053632,0.1571,-0.03882903497540927,TS,family=T symmetry=S shareL=0.004 shareV=0.020 shareT=0.976 EY=2.88e-06 EZ=9.98e-07 ERX=1.83e+06 ERY=7.95e+06 gateSENE=0.549 cableSENE=0.079 sideRatio=0.00
VS2,二阶正对称竖弯,21,0.1875221062189153,0.1744,0.0752414347414868,VS,family=V symmetry=S shareL=0.000 shareV=1.000 shareT=0.000 EY=4.45e-07 EZ=286 ERX=7.14e+04 ERY=9.84e+14 gateSENE=0.005 cableSENE=0.994 sideRatio=0.00
