run_id,result_scope,mapdl_error_count,negative_pivot_count,zero_pivot_count,ls1_converged,ls2_hold_converged,ls1_endpoint_abs_sten_over_sene,full_history_peak_abs_sten_over_sene,ls2_abs_sten_over_sene,reaction_relative_error,total_mass_error_tonne,link180_nonpositive_count,actual_modal_sets,band_not_truncated,status,evidence
A10_H175_AXIS_ONLY,EXECUTED_FULL_BRIDGE,0,0,0,true,true,2.667479851077623e-34,CONTROL_FLOW_OFF_NUMERIC_HISTORY_NOT_SAVED,2.667479843364189e-34,1.907675526569801e-11,1.061380316969007e-09,0,80,true,PASS_WITH_DOCUMENTED_LIMITATION,A10_H175_AXIS_20260715T172214962299Z/qa/a10_external_completion_qa.json
A20_RHS5030_AXIS_ONLY,ZERO_PHYSICAL_CHANGE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_APPLICABLE_ZERO_CHANGE,A20_RHS5030_AXIS_20260715T214637371159Z/A20_status.json
A30_ALL_AXES,REUSED_A10_BY_INPUT_IDENTITY,0,0,0,true,true,2.667479851077623e-34,CONTROL_FLOW_OFF_NUMERIC_HISTORY_NOT_SAVED,2.667479843364189e-34,1.907675526569801e-11,1.061380316969007e-09,0,80,true,PASS_WITH_DOCUMENTED_LIMITATION,A30_ALL_AXES_20260715T230922215766Z/qa/a30_taskbook_gate_summary.json
S10_SECTION_SHEAR,PREPARE_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,RESOURCE_BLOCKED,S10_SOURCE_GATE_20260715T231708917397Z/status.json
C10_MPC_ONLY,READ_ONLY_VALIDATION_GATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,VALIDATION_GATE_MISSING,C10_VALIDATION_GATE_20260715T232502Z/status.json
C20_HINGES,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
D10_DOWNPULL,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
M20_ROTARY_SOURCE,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
W_R_SELECTED,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
F00_PRODUCTION,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
F10_MESH_CHECK,NOT_CREATED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UPSTREAM_REJECTED,04_run_matrix_actual.csv
