parameter_id,component,final_value,unit,source_type,source_file,page_or_detail,implementation_file,run_ids,static_gate,modal_effect,decision,status
A10_H175_LOCAL_Y,GATE_BOTTOM_E,local_y=+global_Z,direction,DERIVED_FROM_GEOMETRY,00张靖皋长江大桥南航道桥猫道图纸1225.pdf,MD4-01_to_MD4-07,apply_finite_gates_and_passages_v2.inp,A10_H175_AXIS_ONLY,PASS,NOT_CAUSALLY_MAPPED,KEEP_PHYSICALLY_CORRECT,IMPLEMENTED
A20_RHS5030_FACE,PASS_RHS5030_E,50mm_longitudinal_30mm_vertical,direction,DERIVED_FROM_GEOMETRY,rhs50_direction_ledger.csv,2898_of_2898,A20_status.json,A20_RHS5030_AXIS_ONLY,NOT_APPLICABLE_ZERO_CHANGE,ZERO_DELTA,KEEP_EXISTING_CORRECT_ORIENTATION,CLOSED_ZERO_CHANGE
S10_SEC61_SHEAR,H175,"TKz=175;TKy=175;TSxz=0.6712958043168660;TSxy=0.2363842696133852",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
S10_SEC62_SHEAR,RHS160x160x4,"TKz=160;TKy=160;TSxz=0.4260313674231808;TSxy=0.4260313674224075",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
S10_SEC63_SHEAR,PHI152x6,"TKz=152;TKy=152;TSxz=0.5014069989778299;TSxy=0.5014069989777504",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
S10_SEC64_SHEAR,PHI102x4,"TKz=102;TKy=102;TSxz=0.5013879262913112;TSxy=0.5013879262914291",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
S10_SEC65_SHEAR,PHI51x4,"TKz=51;TKy=51;TSxz=0.5060286117392122;TSxy=0.5060286117392480",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
S10_SEC66_SHEAR,RHS50x30x4,"TKz=30;TKy=50;TSxz=0.2874280543410113;TSxy=0.6098841965465526",mm_and_dimensionless,IDENTIFIED_WITH_BOUNDS,U01_UNIT_TESTS_20260715T225028311569Z,12_native_ASEC_pairs,ultra_s10_prepare.py,S10_SECTION_SHEAR,NOT_RUN,NOT_RUN,RETAIN_AS_PREPARED_CANDIDATE,PREPARED_NOT_EXECUTED
C10_PNLT,MPC184_TRANSLATION_JOINT,5.0e10_candidate,N_per_mm,IDENTIFIED_WITH_BOUNDS,builder/build_finite_gate_passage_apdl.py,candidate_not_selected,NOT_IMPLEMENTED_IN_SEALED_S10_LINE,C10_MPC_ONLY,REJECTED,NOT_RUN,DO_NOT_SELECT_BEFORE_FIVE_TIER_VALIDATION,REJECTED_TO_LAUNCH
C20_HINGE_AXIS,GATE_POST_CONNECTIONS,drawing_defined_pin_axis,direction,SOURCE,00张靖皋长江大桥南航道桥猫道图纸1225.pdf,MD4-03_to_MD4-05,NOT_IMPLEMENTED,C20_HINGES,NOT_RUN,NOT_RUN,BUILD_6DOF_LEDGER_AFTER_C10_PASS,SOURCE_AVAILABLE_NOT_IMPLEMENTED
D10_DISTRIBUTOR,DOWNPULL_INTERFACE,4x80t_pulley_groups_each_8_ropes,assembly,SOURCE,00张靖皋长江大桥南航道桥猫道图纸1225.pdf,MD3-28,NOT_IMPLEMENTED,D10_DOWNPULL,NOT_RUN,NOT_RUN,BUILD_PHYSICAL_DISTRIBUTOR_AFTER_C20_PASS,SOURCE_AVAILABLE_NOT_IMPLEMENTED
TARGET_R19_VECTOR,REPORT_14_MODES,missing_full_node_double_precision_vectors,vector,SOURCE,附件2-3：猫道结构抗风性能试验报告.pdf,pages_16_to_18,NOT_APPLICABLE,MODE_MAPPING,NOT_APPLICABLE,MAC_UNAVAILABLE,DO_NOT_HARD_PAIR_BY_ORDER,HARD_SOURCE_EVIDENCE_BLOCK
