apdl_elem_id,n1,n2,orientation_node,system,assembly_name,member,section_key,material_id,section_id,length_mm,area_mm2,volume_mm3,iyy_mm4,izz_mm4,shear_correction_xz,shear_correction_xy,source_member_id
2000001,2000001,2000002,2000021,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,165.000000000000,4997.500000000000,824587.500000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_01
2000002,2000002,2000003,2000022,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,240.000000000000,4997.500000000000,1199400.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_02
2000003,2000003,2000004,2000023,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_03
2000004,2000004,2000005,2000024,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_04
2000005,2000005,2000006,2000025,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_05
2000006,2000006,2000007,2000026,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_06
2000007,2000007,2000008,2000027,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_07
2000008,2000008,2000009,2000028,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_08
2000009,2000009,2000010,2000029,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_09
2000010,2000010,2000011,2000030,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,1700.000000000000,4997.500000000000,8495750.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_10
2000011,2000011,2000012,2000031,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_11
2000012,2000012,2000013,2000032,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_12
2000013,2000013,2000014,2000033,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_13
2000014,2000014,2000015,2000034,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_14
2000015,2000015,2000016,2000035,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_15
2000016,2000016,2000017,2000036,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_16
2000017,2000017,2000018,2000037,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,260.000000000000,4997.500000000000,1299350.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_17
2000018,2000018,2000019,2000038,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,240.000000000000,4997.500000000000,1199400.000000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_18
2000019,2000019,2000020,2000039,gate,CW1_GATE_01,bottom_beam,gate_bottom,61,61,165.000000000000,4997.500000000000,824587.500000000000,28164706.458333332092,9830899.739583333954,0.236384269613385,0.671295804316866,CW1_GATE_01:bottom_beam:segment_19
2000020,2000040,2000041,2000050,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,780.000000000000,2496.000000000000,1946880.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_01
2000021,2000041,2000042,2000051,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,700.000000000000,2496.000000000000,1747200.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_02
2000022,2000042,2000043,2000052,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,260.000000000000,2496.000000000000,648960.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_03
2000023,2000043,2000044,2000053,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,260.000000000000,2496.000000000000,648960.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_04
2000024,2000044,2000045,2000054,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,3380.000000000000,2496.000000000000,8436480.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_05
2000025,2000045,2000046,2000055,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,260.000000000000,2496.000000000000,648960.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_06
2000026,2000046,2000047,2000056,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,260.000000000000,2496.000000000000,648960.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_07
2000027,2000047,2000048,2000057,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,700.000000000000,2496.000000000000,1747200.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_08
2000028,2000048,2000049,2000058,gate,CW1_GATE_01,top_beam,gate_top_post,62,62,780.000000000000,2496.000000000000,1946880.000000000000,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:top_beam:segment_09
2000029,2000059,2000060,2000061,gate,CW1_GATE_01,left_post,gate_top_post,62,62,8501.064680011099,2496.000000000000,21218657.441307701170,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:left_post
2000030,2000062,2000063,2000064,gate,CW1_GATE_01,right_post,gate_top_post,62,62,8501.064680011099,2496.000000000000,21218657.441307701170,10130432.000000000000,10130432.000000000000,0.426031367422794,0.426031367422794,CW1_GATE_01:right_post
