apdl_elem_id,offset_elem_id,offset_node_id,master_node,slave_node,source_semantics,system,assembly_name,reason
2017680,,,2000002,2000059,ALL,gate,CW1_GATE_01,left_post 下端焊接中心线偏置：平动+转动
2017681,,,2000041,2000060,ALL,gate,CW1_GATE_01,left_post 上端焊接中心线偏置：平动+转动
2017682,,,2000019,2000062,ALL,gate,CW1_GATE_01,right_post 下端焊接中心线偏置：平动+转动
2017683,,,2000048,2000063,ALL,gate,CW1_GATE_01,right_post 上端焊接中心线偏置：平动+转动
2017685,2017684,2000065,2000003,16,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017687,2017686,2000066,2000004,744,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017689,2017688,2000067,2000005,1472,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017691,2017690,2000068,2000006,2200,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017693,2017692,2000069,2000007,2928,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017695,2017694,2000070,2000008,3656,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017697,2017696,2000071,2000009,4384,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017699,2017698,2000072,2000010,5112,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017701,2017700,2000073,2000011,5840,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017703,2017702,2000074,2000012,6568,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017705,2017704,2000075,2000013,7296,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
