name,span,gate_index,cw1_gate_name,cw2_gate_name,station_y_mm,top_chord_reference_z_mm,local_slope_degree,source_mct_gate_node,source_gate_total_fz_kn,source_load_station_y_mm,gate_to_load_y_offset_mm
H01,north_side,3,CW1_GATE_03,CW2_GATE_03,203913.65000000002,112301.044092026,20.36151986850172,1018,21.556,203918.30000000005,-4.650000000023
H02,north_side,6,CW1_GATE_06,CW2_GATE_06,374913.6499999999,181248.47221642,23.53036552574458,1033,21.556,374918.30000000005,-4.650000000140
H03,north_side,9,CW1_GATE_09,CW2_GATE_09,545913.6499999999,261294.046462196,26.609205114619282,1048,21.556,545918.3,-4.650000000140
H04,main_span,14,CW1_GATE_14,CW2_GATE_14,882913.6499999999,276040.031984883,-18.571270671730552,1083,21.556,882918.3,-4.650000000140
H05,main_span,17,CW1_GATE_17,CW2_GATE_17,1053913.65,223724.186533411,-15.430811130940763,1098,21.556,1053918.3,-4.650000000140
H06,main_span,20,CW1_GATE_20,CW2_GATE_20,1224913.65,181596.562478559,-12.232137330732876,1113,21.556,1224918.3,-4.650000000140
H07,main_span,23,CW1_GATE_23,CW2_GATE_23,1395913.65,149546.421815958,-8.986094198671868,1128,21.556,1395918.2999999998,-4.649999999907
H08,main_span,26,CW1_GATE_26,CW2_GATE_26,1546918.2999999998,129617.42236002,-6.188352139479248,1143,21.556,1546918.2999999998,0.000000000000
H09,main_span,29,CW1_GATE_29,CW2_GATE_29,1703917.5,117230.263832353,-2.830003130701277,1158,21.556,1703917.5,0.000000000000
H10,main_span,32,CW1_GATE_32,CW2_GATE_32,1854913.25,113300.0,-0.0026715702286720737,1173,21.556,1854917.5,-4.250000000000
H11,main_span,35,CW1_GATE_35,CW2_GATE_35,2005917.5,117215.765178323,2.823955351101044,1188,21.556,2005917.5,0.000000000000
H12,main_span,38,CW1_GATE_38,CW2_GATE_38,2162918.3,129591.682718469,6.182278325594333,1203,21.556,2162918.3,0.000000000000
H13,main_span,41,CW1_GATE_41,CW2_GATE_41,2313913.65,149503.224113289,8.980830716211893,1218,21.556,2313918.3,-4.649999999907
H14,main_span,44,CW1_GATE_44,CW2_GATE_44,2484913.65,181537.186912644,12.226940837079939,1233,21.556,2484918.3,-4.649999999907
H15,main_span,47,CW1_GATE_47,CW2_GATE_47,2655913.65,223648.475809119,15.425699965862602,1248,21.556,2655918.3,-4.649999999907
H16,main_span,50,CW1_GATE_50,CW2_GATE_50,2826913.65,275947.786240305,18.56626139616939,1263,21.556,2826918.3,-4.649999999907
H17,south_side,55,CW1_GATE_55,CW2_GATE_55,3183413.65,272942.519985505,-20.247296239846616,1300,21.556,3183418.3,-4.649999999907
H18,south_side,58,CW1_GATE_58,CW2_GATE_58,3363413.6500000004,212497.108361869,-16.852215960394865,1315,21.556,3363418.3,-4.649999999441
H19,south_side,61,CW1_GATE_61,CW2_GATE_61,3543413.6500000004,163836.628224247,-13.380993844692945,1330,21.556,3543418.3,-4.649999999441
H20,south_aux,66,CW1_GATE_66,CW2_GATE_66,3887913.6500000004,90402.4350296035,-10.870144525260978,1363,21.556,3887918.3,-4.649999999441
H21,south_aux,69,CW1_GATE_69,CW2_GATE_69,4058913.6500000004,62791.7276232776,-7.461325948438306,1378,21.556,4058918.3,-4.649999999441
