target_index,target_id,source_frequency_hz,source_label,source_pdf_absolute_path,source_pdf_sha256,frequency_table_pdf_page,shape_figure_pdf_page,evidence_level,evidence_basis,source_vector_available,strict_mac_status,matched_mode,status
1,LS1,0.0365,LS1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,16,A,表4-1四位频率及图4-3粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
2,VA1,0.0700,VA1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,16,A,表4-1四位频率及图4-4粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
3,LA1,0.0726,LA1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,17,A,表4-1四位频率及图4-6粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
4,TA1,0.0996,TA1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,17,A,表4-1四位频率及图4-5粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
5,VS1,0.1028,VS1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,17,A,表4-1四位频率及图4-7粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
6,LS2,0.1087,LS2,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,B,表4-1四位频率及物理标签但无独立粗略图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
7,TS1,0.1147,TS1,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,18,A,表4-1四位频率及图4-8粗略截图,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
8,SIDE1,0.1149,边跨模态,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,C,表4-1仅笼统标注边跨模态,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
9,SIDE2,0.1239,边跨模态,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,C,表4-1仅笼统标注边跨模态,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
10,VA2,0.1438,VA2,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,B,表4-1四位频率及物理标签,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
11,LA2,0.1449,LA2,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,B,表4-1四位频率及物理标签,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
12,SIDE3,0.1557,边跨模态,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,C,表4-1仅笼统标注边跨模态,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
13,TS2,0.1571,TS2,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,B,表4-1四位频率及物理标签,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
14,VS2,0.1744,VS2,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3,16,,B,表4-1四位频率及物理标签,FALSE,HARD_SOURCE_EVIDENCE_BLOCK,,UNRESOLVED_SOURCE_VECTOR_MISSING
